# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=$W \rightarrow e \nu$ (MC) vs $W \rightarrow \ell \nu$ (data), dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490/d20-x01-y01
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$H_\text{T}$ [GeV]
YLabel=$\text{d}\sigma_{W + 3j} / \text{d}H_\text{T}$
DrawOnly=/REF/ATLAS_2014_I1319490/d20-x01-y01 /home/iwsatlas1/scyboz/Work/Herwig/LHC-Matchbox-TTBA-FULL_LO.yoda/ATLAS_2014_I1319490/d20-x01-y01
LegendYPos=0.3
Legend=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490/d20-x01-y01
ConnectBins=0
ErrorBars=1
Path=/REF/ATLAS_2014_I1319490/d20-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.500000e+02	1.600000e+02	1.793000e-03	7.522985e-04	7.522985e-04
1.600000e+02	1.700000e+02	7.403000e-03	2.309116e-03	2.309116e-03
1.700000e+02	1.800000e+02	2.209000e-02	5.977407e-03	5.977407e-03
1.800000e+02	1.900000e+02	4.763000e-02	1.012785e-02	1.012785e-02
1.900000e+02	2.000000e+02	7.534000e-02	1.363304e-02	1.363304e-02
2.000000e+02	2.200000e+02	9.695000e-02	1.502062e-02	1.502062e-02
2.200000e+02	2.400000e+02	1.034000e-01	1.482194e-02	1.482194e-02
2.400000e+02	2.600000e+02	9.753000e-02	1.308205e-02	1.308205e-02
2.600000e+02	2.800000e+02	8.604000e-02	1.080582e-02	1.080582e-02
2.800000e+02	3.000000e+02	7.386000e-02	8.748703e-03	8.748703e-03
3.000000e+02	3.200000e+02	6.118000e-02	7.139783e-03	7.139783e-03
3.200000e+02	3.400000e+02	5.052000e-02	5.861169e-03	5.861169e-03
3.400000e+02	3.600000e+02	4.120000e-02	4.504376e-03	4.504376e-03
3.600000e+02	3.800000e+02	3.466000e-02	3.575402e-03	3.575402e-03
3.800000e+02	4.000000e+02	2.820000e-02	2.916213e-03	2.916213e-03
4.000000e+02	4.200000e+02	2.324000e-02	2.233428e-03	2.233428e-03
4.200000e+02	4.400000e+02	1.927000e-02	1.723166e-03	1.723166e-03
4.400000e+02	4.600000e+02	1.612000e-02	1.478310e-03	1.478310e-03
4.600000e+02	4.800000e+02	1.353000e-02	1.297074e-03	1.297074e-03
4.800000e+02	5.000000e+02	1.143000e-02	1.055509e-03	1.055509e-03
5.000000e+02	5.300000e+02	8.860000e-03	7.941543e-04	7.941543e-04
5.300000e+02	5.900000e+02	5.930000e-03	5.661890e-04	5.661890e-04
5.900000e+02	6.800000e+02	3.167000e-03	2.866287e-04	2.866287e-04
6.800000e+02	1.000000e+03	9.337000e-04	7.948497e-05	7.948497e-05
1.000000e+03	1.400000e+03	1.033000e-04	1.417180e-05	1.417180e-05
1.400000e+03	2.000000e+03	1.060000e-05	3.380533e-06	3.380533e-06
# END HISTO1D

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/Herwig/LHC-Matchbox-TTBA-FULL_LO.yoda/ATLAS_2014_I1319490/d20-x01-y01
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/Herwig/LHC-Matchbox-TTBA-FULL_LO.yoda/ATLAS_2014_I1319490/d20-x01-y01
ScaledBy=0.020141384112503286
Title=LHC-Matchbox-TTBA-FULL_LO
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
1.500000e+02	1.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+02	1.700000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.700000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+02	1.900000e+02	-4.028277e-03	4.028276e-03	4.028276e-03
1.900000e+02	2.000000e+02	1.409897e-02	5.328909e-03	5.328909e-03
2.000000e+02	2.200000e+02	1.510604e-02	5.035345e-03	5.035345e-03
2.200000e+02	2.400000e+02	2.114846e-02	6.904118e-03	6.904118e-03
2.400000e+02	2.600000e+02	5.438175e-02	9.339176e-03	9.339176e-03
2.600000e+02	2.800000e+02	7.855140e-02	1.112344e-02	1.112344e-02
2.800000e+02	3.000000e+02	7.150190e-02	1.269866e-02	1.269866e-02
3.000000e+02	3.200000e+02	7.955845e-02	1.178744e-02	1.178744e-02
3.200000e+02	3.400000e+02	6.646655e-02	1.130432e-02	1.130432e-02
3.400000e+02	3.600000e+02	7.955845e-02	1.187317e-02	1.187317e-02
