# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=$W \rightarrow e \nu$ (MC) vs $W \rightarrow \ell \nu$ (data), dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490/d23-x01-y01
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$\Delta\phi_{j1,j2}$
YLabel=$\text{d}\sigma_{W + \geq 2j} / \text{d}\Delta\phi_{j1,j2}$
DrawOnly=/REF/ATLAS_2014_I1319490/d23-x01-y01 /home/iwsatlas1/scyboz/Work/Herwig/LHC-Matchbox-TTBA-FULL_LO.yoda/ATLAS_2014_I1319490/d23-x01-y01
LegendYPos=0.9
Legend=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490/d23-x01-y01
ConnectBins=0
ErrorBars=1
Path=/REF/ATLAS_2014_I1319490/d23-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.161000e+01	1.865288e+00	1.865288e+00
2.000000e-01	3.900000e-01	1.283000e+01	2.035166e+00	2.035166e+00
3.900000e-01	5.900000e-01	1.588000e+01	2.523609e+00	2.523609e+00
5.900000e-01	7.900000e-01	1.470000e+01	2.189543e+00	2.189543e+00
7.900000e-01	9.800000e-01	1.360000e+01	1.941211e+00	1.941211e+00
9.800000e-01	1.200000e+00	1.413000e+01	1.941778e+00	1.941778e+00
1.200000e+00	1.400000e+00	1.504000e+01	2.065769e+00	2.065769e+00
1.400000e+00	1.600000e+00	1.740000e+01	2.271167e+00	2.271167e+00
1.600000e+00	1.800000e+00	2.078000e+01	2.615836e+00	2.615836e+00
1.800000e+00	2.000000e+00	2.553000e+01	2.859808e+00	2.859808e+00
2.000000e+00	2.200000e+00	3.266000e+01	3.287233e+00	3.287233e+00
2.200000e+00	2.400000e+00	4.275000e+01	4.042116e+00	4.042116e+00
2.400000e+00	2.600000e+00	5.700000e+01	4.815766e+00	4.815766e+00
2.600000e+00	2.800000e+00	7.524000e+01	5.759175e+00	5.759175e+00
2.800000e+00	3.000000e+00	9.496000e+01	6.652721e+00	6.652721e+00
3.000000e+00	3.200000e+00	1.067000e+02	7.523962e+00	7.523962e+00
# END HISTO1D

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/Herwig/LHC-Matchbox-TTBA-FULL_LO.yoda/ATLAS_2014_I1319490/d23-x01-y01
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/Herwig/LHC-Matchbox-TTBA-FULL_LO.yoda/ATLAS_2014_I1319490/d23-x01-y01
ScaledBy=0.020141384112503286
Title=LHC-Matchbox-TTBA-FULL_LO
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	4.229691e+00	8.894195e-01	8.894195e-01
2.000000e-01	3.900000e-01	3.604248e+00	9.830711e-01	9.830711e-01
3.900000e-01	5.900000e-01	7.150190e+00	1.061013e+00	1.061013e+00
5.900000e-01	7.900000e-01	7.955845e+00	1.221007e+00	1.221007e+00
7.900000e-01	9.800000e-01	6.678458e+00	1.185197e+00	1.185197e+00
9.800000e-01	1.200000e+00	1.016225e+01	1.231703e+00	1.231703e+00
1.200000e+00	1.400000e+00	1.017140e+01	1.285740e+00	1.285740e+00
1.400000e+00	1.600000e+00	9.768570e+00	1.285740e+00	1.285740e+00
1.600000e+00	1.800000e+00	1.027211e+01	1.431314e+00	1.431314e+00
1.800000e+00	2.000000e+00	1.258837e+01	1.503875e+00	1.503875e+00
2.000000e+00	2.200000e+00	1.339402e+01	1.503875e+00	1.503875e+00
2.200000e+00	2.400000e+00	1.621382e+01	1.735552e+00	1.735552e+00
2.400000e+00	2.600000e+00	1.913431e+01	1.755885e+00	1.755885e+00
2.600000e+00	2.800000e+00	2.064492e+01	1.976012e+00	1.976012e+00
2.800000e+00	3.000000e+00	2.467319e+01	2.185595e+00	2.185595e+00
3.000000e+00	3.200000e+00	1.933573e+01	1.873257e+00	1.873257e+00
# END HISTO1D

