# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=$W \rightarrow e \nu$ (MC) vs $W \rightarrow \ell \nu$ (data), dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490/d26-x01-y01
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$m_{12}$ [GeV]
YLabel=$\text{d}\sigma_{W + \geq 2j} / \text{d}m_{12}$
DrawOnly=/REF/ATLAS_2014_I1319490/d26-x01-y01 /home/iwsatlas1/scyboz/Work/Herwig/LHC-Matchbox-TTBA-FULL_LO.yoda/ATLAS_2014_I1319490/d26-x01-y01
LegendYPos=0.3
Legend=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490/d26-x01-y01
ConnectBins=0
ErrorBars=1
Path=/REF/ATLAS_2014_I1319490/d26-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e+01	1.372000e-02	2.476247e-03	2.476247e-03
2.500000e+01	5.000000e+01	1.888000e-01	3.140159e-02	3.140159e-02
5.000000e+01	7.500000e+01	3.661000e-01	4.196403e-02	4.196403e-02
7.500000e+01	1.000000e+02	6.875000e-01	6.523289e-02	6.523289e-02
1.000000e+02	1.200000e+02	6.545000e-01	5.401055e-02	5.401055e-02
1.200000e+02	1.500000e+02	5.242000e-01	4.106397e-02	4.106397e-02
1.500000e+02	1.800000e+02	4.061000e-01	3.260521e-02	3.260521e-02
1.800000e+02	2.000000e+02	3.116000e-01	2.563767e-02	2.563767e-02
2.000000e+02	2.200000e+02	2.434000e-01	1.987209e-02	1.987209e-02
2.200000e+02	2.500000e+02	1.915000e-01	1.584582e-02	1.584582e-02
2.500000e+02	2.800000e+02	1.505000e-01	1.338693e-02	1.338693e-02
2.800000e+02	3.000000e+02	1.208000e-01	1.110856e-02	1.110856e-02
3.000000e+02	3.200000e+02	9.917000e-02	9.175762e-03	9.175762e-03
3.200000e+02	3.500000e+02	8.058000e-02	7.494691e-03	7.494691e-03
3.500000e+02	3.800000e+02	6.596000e-02	6.589454e-03	6.589454e-03
3.800000e+02	4.000000e+02	5.593000e-02	6.072405e-03	6.072405e-03
4.000000e+02	4.500000e+02	4.188000e-02	4.600663e-03	4.600663e-03
4.500000e+02	5.000000e+02	2.978000e-02	3.423361e-03	3.423361e-03
5.000000e+02	5.800000e+02	2.078000e-02	2.722903e-03	2.722903e-03
5.800000e+02	6.800000e+02	1.270000e-02	1.922836e-03	1.922836e-03
6.800000e+02	8.000000e+02	6.759000e-03	1.075462e-03	1.075462e-03
8.000000e+02	1.000000e+03	3.042000e-03	5.564620e-04	5.564620e-04
1.000000e+03	1.200000e+03	1.322000e-03	2.618568e-04	2.618568e-04
1.200000e+03	1.400000e+03	5.730000e-04	1.159888e-04	1.159888e-04
1.400000e+03	1.600000e+03	2.575000e-04	7.001657e-05	7.001657e-05
1.600000e+03	1.800000e+03	1.346000e-04	3.802657e-05	3.802657e-05
1.800000e+03	2.000000e+03	5.449000e-05	3.393978e-05	3.393978e-05
# END HISTO1D

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/Herwig/LHC-Matchbox-TTBA-FULL_LO.yoda/ATLAS_2014_I1319490/d26-x01-y01
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/Herwig/LHC-Matchbox-TTBA-FULL_LO.yoda/ATLAS_2014_I1319490/d26-x01-y01
ScaledBy=0.020141384112503286
Title=LHC-Matchbox-TTBA-FULL_LO
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e+01	8.056552e-04	8.056554e-04	8.056554e-04
2.500000e+01	5.000000e+01	4.028276e-02	7.643118e-03	7.643118e-03
5.000000e+01	7.500000e+01	7.412028e-02	1.122148e-02	1.122148e-02
7.500000e+01	1.000000e+02	1.490462e-01	1.496438e-02	1.496438e-02
1.000000e+02	1.200000e+02	2.255835e-01	1.947579e-02	1.947579e-02
1.200000e+02	1.500000e+02	1.993997e-01	1.570224e-02	1.570224e-02
1.500000e+02	1.800000e+02	1.497176e-01	1.380824e-02	1.380824e-02
1.800000e+02	2.000000e+02	1.339402e-01	1.510604e-02	1.510604e-02
2.000000e+02	2.200000e+02	1.208483e-01	1.417072e-02	1.417072e-02
2.200000e+02	2.500000e+02	8.459380e-02	1.027013e-02	1.027013e-02
2.500000e+02	2.800000e+02	5.975277e-02	8.465773e-03	8.465773e-03
2.800000e+02	3.000000e+02	5.740295e-02	1.002021e-02	1.002021e-02
3.000000e+02	3.200000e+02	6.243830e-02	9.119400e-03	9.119400e-03
3.200000e+02	3.500000e+02	2.752656e-02	6.474549e-03	6.474549e-03
3.500000e+02	3.800000e+02	2.148414e-02	5.696844e-03	5.696844e-03
3.800000e+02	4.000000e+02	2.618380e-02	6.369264e-03	6.369264e-03
4.000000e+02	4.500000e+02	1.812725e-02	3.488590e-03	3.488590e-03
4.500000e+02	5.000000e+02	1.087635e-02	3.146185e-03	3.146185e-03
5.000000e+02	5.800000e+02	1.107776e-02	2.014138e-03	2.014138e-03
5.800000e+02	6.800000e+02	4.632518e-03	1.289678e-03	1.289678e-03
6.800000e+02	8.000000e+02	3.524742e-03	1.074732e-03	1.074732e-03
8.000000e+02	1.000000e+03	1.309190e-03	4.389713e-04	4.389713e-04
1.000000e+03	1.200000e+03	1.107776e-03	4.152253e-04	4.152253e-04
1.200000e+03	1.400000e+03	5.035345e-04	2.251875e-04	2.251875e-04
1.400000e+03	1.600000e+03	1.007069e-04	1.744295e-04	1.744295e-04
1.600000e+03	1.800000e+03	2.014139e-04	1.424211e-04	1.424211e-04
