# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=$W \rightarrow e \nu$ (MC) vs $W \rightarrow \ell \nu$ (data), dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490/d33-x01-y01
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$S_\text{T}$ [GeV]
YLabel=$\text{d}\sigma_{W + \geq 3j} / \text{d}S_\text{T}$
DrawOnly=/REF/ATLAS_2014_I1319490/d33-x01-y01 /home/iwsatlas1/scyboz/Work/Herwig/LHC-Matchbox-TTBA-FULL_LO.yoda/ATLAS_2014_I1319490/d33-x01-y01
LegendYPos=0.3
Legend=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490/d33-x01-y01
ConnectBins=0
ErrorBars=1
Path=/REF/ATLAS_2014_I1319490/d33-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
9.000000e+01	1.000000e+02	1.632000e-02	3.840651e-03	3.840651e-03
1.000000e+02	1.100000e+02	6.500000e-02	1.308592e-02	1.308592e-02
1.100000e+02	1.200000e+02	1.040000e-01	1.771948e-02	1.771948e-02
1.200000e+02	1.300000e+02	1.262000e-01	1.985346e-02	1.985346e-02
1.300000e+02	1.400000e+02	1.362000e-01	2.025833e-02	2.025833e-02
1.400000e+02	1.500000e+02	1.395000e-01	2.046973e-02	2.046973e-02
1.500000e+02	1.600000e+02	1.335000e-01	1.947742e-02	1.947742e-02
1.600000e+02	1.700000e+02	1.267000e-01	1.777920e-02	1.777920e-02
1.700000e+02	1.800000e+02	1.185000e-01	1.636857e-02	1.636857e-02
1.800000e+02	1.900000e+02	1.081000e-01	1.495426e-02	1.495426e-02
1.900000e+02	2.000000e+02	9.920000e-02	1.359368e-02	1.359368e-02
2.000000e+02	2.200000e+02	8.651000e-02	1.146892e-02	1.146892e-02
2.200000e+02	2.400000e+02	7.159000e-02	9.343500e-03	9.343500e-03
2.400000e+02	2.600000e+02	5.952000e-02	7.606846e-03	7.606846e-03
2.600000e+02	2.800000e+02	4.914000e-02	6.389061e-03	6.389061e-03
2.800000e+02	3.000000e+02	3.937000e-02	5.006346e-03	5.006346e-03
3.000000e+02	3.200000e+02	3.198000e-02	3.900295e-03	3.900295e-03
3.200000e+02	3.400000e+02	2.723000e-02	3.313141e-03	3.313141e-03
3.400000e+02	3.600000e+02	2.257000e-02	2.862674e-03	2.862674e-03
3.600000e+02	3.800000e+02	1.872000e-02	2.427777e-03	2.427777e-03
3.800000e+02	4.000000e+02	1.515000e-02	1.975804e-03	1.975804e-03
4.000000e+02	4.400000e+02	1.127000e-02	1.479899e-03	1.479899e-03
4.400000e+02	5.000000e+02	7.553000e-03	9.728479e-04	9.728479e-04
5.000000e+02	6.500000e+02	3.560000e-03	4.389601e-04	4.389601e-04
6.500000e+02	1.000000e+03	7.567000e-04	9.260308e-05	9.260308e-05
1.000000e+03	1.400000e+03	7.791000e-05	1.612367e-05	1.612367e-05
1.400000e+03	2.000000e+03	7.094000e-06	2.949230e-06	2.949230e-06
# END HISTO1D

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/Herwig/LHC-Matchbox-TTBA-FULL_LO.yoda/ATLAS_2014_I1319490/d33-x01-y01
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/Herwig/LHC-Matchbox-TTBA-FULL_LO.yoda/ATLAS_2014_I1319490/d33-x01-y01
ScaledBy=0.020141384112503286
Title=LHC-Matchbox-TTBA-FULL_LO
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
9.000000e+01	1.000000e+02	4.028277e-03	2.848422e-03	2.848422e-03
1.000000e+02	1.100000e+02	4.028277e-03	4.933611e-03	4.933611e-03
1.100000e+02	1.200000e+02	3.021208e-02	9.229941e-03	9.229941e-03
1.200000e+02	1.300000e+02	4.833932e-02	1.366055e-02	1.366055e-02
1.300000e+02	1.400000e+02	4.028277e-02	1.366055e-02	1.366055e-02
1.400000e+02	1.500000e+02	9.063623e-02	1.720881e-02	1.720881e-02
1.500000e+02	1.600000e+02	1.289049e-01	2.034180e-02	2.034180e-02
1.600000e+02	1.700000e+02	9.667864e-02	2.112446e-02	2.112446e-02
1.700000e+02	1.800000e+02	1.027211e-01	2.159923e-02	2.159923e-02
1.800000e+02	1.900000e+02	1.671735e-01	2.322818e-02	2.322818e-02
1.900000e+02	2.000000e+02	1.007069e-01	2.187914e-02	2.187914e-02
2.000000e+02	2.200000e+02	1.319260e-01	1.537224e-02	1.537224e-02
2.200000e+02	2.400000e+02	1.571028e-01	1.585934e-02	1.585934e-02
2.400000e+02	2.600000e+02	1.107776e-01	1.343598e-02	1.343598e-02
2.600000e+02	2.800000e+02	1.047352e-01	1.366055e-02	1.366055e-02
2.800000e+02	3.000000e+02	6.445245e-02	1.121425e-02	1.121425e-02
3.000000e+02	3.200000e+02	5.337465e-02	1.161409e-02	1.161409e-02
3.200000e+02	3.400000e+02	6.143120e-02	1.079961e-02	1.079961e-02
3.400000e+02	3.600000e+02	5.236760e-02	9.229942e-03	9.229942e-03
3.600000e+02	3.800000e+02	3.826863e-02	8.304505e-03	8.304505e-03
3.800000e+02	4.000000e+02	4.229691e-02	7.800724e-03	7.800724e-03
4.000000e+02	4.400000e+02	3.222622e-02	5.035346e-03	5.035346e-03
4.400000e+02	5.000000e+02	1.477035e-02	3.289074e-03	3.289074e-03
