# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=$W \rightarrow e \nu$ (MC) vs $W \rightarrow \ell \nu$ (data), dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490/d34-x01-y01
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$S_\text{T}$ [GeV]
YLabel=$\text{d}\sigma_{W + 3j} / \text{d}S_\text{T}$
DrawOnly=/REF/ATLAS_2014_I1319490/d34-x01-y01 /home/iwsatlas1/scyboz/Work/Herwig/LHC-Matchbox-TTBA-FULL_LO.yoda/ATLAS_2014_I1319490/d34-x01-y01
LegendYPos=0.3
Legend=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490/d34-x01-y01
ConnectBins=0
ErrorBars=1
Path=/REF/ATLAS_2014_I1319490/d34-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
9.000000e+01	1.000000e+02	1.642000e-02	3.942258e-03	3.942258e-03
1.000000e+02	1.100000e+02	6.513000e-02	1.328522e-02	1.328522e-02
1.100000e+02	1.200000e+02	1.043000e-01	1.782807e-02	1.782807e-02
1.200000e+02	1.300000e+02	1.261000e-01	1.956681e-02	1.956681e-02
1.300000e+02	1.400000e+02	1.345000e-01	1.947742e-02	1.947742e-02
1.400000e+02	1.500000e+02	1.343000e-01	1.887750e-02	1.887750e-02
1.500000e+02	1.600000e+02	1.255000e-01	1.739511e-02	1.739511e-02
1.600000e+02	1.700000e+02	1.154000e-01	1.509470e-02	1.509470e-02
1.700000e+02	1.800000e+02	1.050000e-01	1.347182e-02	1.347182e-02
1.800000e+02	1.900000e+02	9.338000e-02	1.197729e-02	1.197729e-02
1.900000e+02	2.000000e+02	8.345000e-02	1.048754e-02	1.048754e-02
2.000000e+02	2.200000e+02	6.940000e-02	8.040908e-03	8.040908e-03
2.200000e+02	2.400000e+02	5.441000e-02	5.634900e-03	5.634900e-03
2.400000e+02	2.600000e+02	4.330000e-02	4.229574e-03	4.229574e-03
2.600000e+02	2.800000e+02	3.454000e-02	3.453520e-03	3.453520e-03
2.800000e+02	3.000000e+02	2.639000e-02	2.569883e-03	2.569883e-03
3.000000e+02	3.200000e+02	2.041000e-02	1.807899e-03	1.807899e-03
3.200000e+02	3.400000e+02	1.682000e-02	1.481553e-03	1.481553e-03
3.400000e+02	3.600000e+02	1.326000e-02	1.210372e-03	1.210372e-03
3.600000e+02	3.800000e+02	1.073000e-02	9.802041e-04	9.802041e-04
3.800000e+02	4.000000e+02	8.494000e-03	7.347095e-04	7.347095e-04
4.000000e+02	4.400000e+02	5.895000e-03	5.160717e-04	5.160717e-04
4.400000e+02	5.000000e+02	3.608000e-03	3.141114e-04	3.141114e-04
5.000000e+02	6.500000e+02	1.634000e-03	1.413436e-04	1.413436e-04
6.500000e+02	1.000000e+03	3.001000e-04	2.617995e-05	2.617995e-05
1.000000e+03	1.400000e+03	2.669000e-05	9.111317e-06	9.111317e-06
# END HISTO1D

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/Herwig/LHC-Matchbox-TTBA-FULL_LO.yoda/ATLAS_2014_I1319490/d34-x01-y01
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/Herwig/LHC-Matchbox-TTBA-FULL_LO.yoda/ATLAS_2014_I1319490/d34-x01-y01
ScaledBy=0.020141384112503286
Title=LHC-Matchbox-TTBA-FULL_LO
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
9.000000e+01	1.000000e+02	4.028277e-03	2.848422e-03	2.848422e-03
1.000000e+02	1.100000e+02	4.028277e-03	4.933611e-03	4.933611e-03
1.100000e+02	1.200000e+02	3.021208e-02	9.229941e-03	9.229941e-03
1.200000e+02	1.300000e+02	4.833932e-02	1.366055e-02	1.366055e-02
1.300000e+02	1.400000e+02	4.028277e-02	1.366055e-02	1.366055e-02
1.400000e+02	1.500000e+02	8.862209e-02	1.709053e-02	1.709053e-02
1.500000e+02	1.600000e+02	1.228624e-01	1.983696e-02	1.983696e-02
1.600000e+02	1.700000e+02	7.653726e-02	1.973444e-02	1.973444e-02
1.700000e+02	1.800000e+02	7.653726e-02	1.952780e-02	1.952780e-02
1.800000e+02	1.900000e+02	1.369614e-01	2.073682e-02	2.073682e-02
1.900000e+02	2.000000e+02	8.459381e-02	1.823880e-02	1.823880e-02
2.000000e+02	2.200000e+02	7.754435e-02	1.195828e-02	1.195828e-02
2.200000e+02	2.400000e+02	8.459380e-02	1.174434e-02	1.174434e-02
2.400000e+02	2.600000e+02	5.236760e-02	9.229942e-03	9.229942e-03
2.600000e+02	2.800000e+02	3.826863e-02	8.425745e-03	8.425745e-03
2.800000e+02	3.000000e+02	1.309190e-02	5.785173e-03	5.785173e-03
3.000000e+02	3.200000e+02	1.208483e-02	6.680142e-03	6.680142e-03
3.200000e+02	3.400000e+02	9.063625e-03	5.423235e-03	5.423235e-03
3.400000e+02	3.600000e+02	1.309190e-02	4.152253e-03	4.152253e-03
3.600000e+02	3.800000e+02	9.063625e-03	3.900362e-03	3.900362e-03
3.800000e+02	4.000000e+02	6.042415e-03	3.488590e-03	3.488590e-03
4.000000e+02	4.400000e+02	6.042415e-03	2.136316e-03	2.136316e-03
4.400000e+02	5.000000e+02	3.021208e-03	1.463238e-03	1.463238e-03
5.000000e+02	6.500000e+02	1.074207e-03	4.651453e-04	4.651453e-04
6.500000e+02	1.000000e+03	-1.150936e-04	1.150936e-04	1.150936e-04
1.000000e+03	1.400000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

