# BEGIN PLOT
DrawOnly=emubB_homemade_scales.yoda/ATLAS_sherpa/Eta1 WWbBSherpa2DScatter.yoda/ATLAS_sherpa/Eta1 WWbBPOWHEGScatter.yoda/ATLAS_sherpa/Eta1
Title=$W^+W^-b \bar{b}$ cross-section vs. first jet rapidity
RatioPlotReference=emubB_homemade_scales.yoda/ATLAS_sherpa/Eta1
RatioPlot=1
LogY=1
LegendXPos=0.65
XLabel=$\eta_{\mathrm{b}_1}$
YLabel=$\mathrm{d}\sigma/{d\eta}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D emubB_homemade_scales.yoda/ATLAS_sherpa/Eta1
ErrorBandColor=Gray
ErrorBandOpacity=0.1
ErrorBands=1
ErrorBars=0
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=emubB_homemade_scales.yoda/ATLAS_sherpa/Eta1
Title=emubB_homemade_scales
XLabel=$\eta_{\mathrm{b}_1}$
YLabel=$\mathrm{d}\sigma/{d\eta}$ [pb]
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.250000e+00	7.906313e-03	2.251865e-03	3.733527e-03
-2.250000e+00	-2.000000e+00	1.387700e-02	4.260211e-03	6.552490e-03
-2.000000e+00	-1.750000e+00	2.122918e-02	5.852750e-03	9.340810e-03
-1.750000e+00	-1.500000e+00	3.103333e-02	9.121000e-03	1.511531e-02
-1.500000e+00	-1.250000e+00	4.214590e-02	1.241865e-02	1.938937e-02
-1.250000e+00	-1.000000e+00	5.314929e-02	1.540999e-02	2.335137e-02
-1.000000e+00	-7.500000e-01	6.321800e-02	1.813173e-02	2.697569e-02
-7.500000e-01	-5.000000e-01	7.263108e-02	2.063092e-02	3.088732e-02
-5.000000e-01	-2.500000e-01	7.861613e-02	2.261213e-02	3.145247e-02
-2.500000e-01	0.000000e+00	8.125268e-02	2.234548e-02	3.958562e-02
0.000000e+00	2.500000e-01	8.220148e-02	2.344150e-02	3.653392e-02
2.500000e-01	5.000000e-01	7.783588e-02	2.170355e-02	3.716572e-02
5.000000e-01	7.500000e-01	7.248423e-02	2.027633e-02	3.031317e-02
7.500000e-01	1.000000e+00	6.394159e-02	1.855448e-02	2.491551e-02
1.000000e+00	1.250000e+00	5.314908e-02	1.535529e-02	2.554446e-02
1.250000e+00	1.500000e+00	4.190527e-02	1.234190e-02	1.871036e-02
1.500000e+00	1.750000e+00	3.038189e-02	8.692610e-03	1.561252e-02
1.750000e+00	2.000000e+00	2.144384e-02	5.778560e-03	1.022099e-02
2.000000e+00	2.250000e+00	1.392781e-02	4.321408e-03	7.444410e-03
2.250000e+00	2.500000e+00	7.966218e-03	2.545354e-03	3.893382e-03
# END HISTO1D

# BEGIN HISTO1D WWbBSherpa2DScatter.yoda/ATLAS_sherpa/Eta1
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=WWbBSherpa2DScatter.yoda/ATLAS_sherpa/Eta1
Title=WWbBSherpa2DScatter
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.250000e+00	8.056409e-03	7.027100e-05	7.027100e-05
-2.250000e+00	-2.000000e+00	1.363807e-02	8.955480e-05	8.955480e-05
-2.000000e+00	-1.750000e+00	2.121384e-02	1.095729e-04	1.095729e-04
-1.750000e+00	-1.500000e+00	3.109253e-02	1.278360e-04	1.278360e-04
-1.500000e+00	-1.250000e+00	4.171299e-02	1.444530e-04	1.444530e-04
-1.250000e+00	-1.000000e+00	5.303240e-02	1.602642e-04	1.602642e-04
-1.000000e+00	-7.500000e-01	6.364852e-02	1.733489e-04	1.733489e-04
-7.500000e-01	-5.000000e-01	7.229286e-02	1.807302e-04	1.807302e-04
-5.000000e-01	-2.500000e-01	7.840141e-02	1.854444e-04	1.854444e-04
-2.500000e-01	0.000000e+00	8.195306e-02	1.883545e-04	1.883545e-04
0.000000e+00	2.500000e-01	8.186514e-02	1.871558e-04	1.871558e-04
2.500000e-01	5.000000e-01	7.854350e-02	1.827225e-04	1.827225e-04
5.000000e-01	7.500000e-01	7.226688e-02	1.761538e-04	1.761538e-04
7.500000e-01	1.000000e+00	6.331847e-02	1.658092e-04	1.658092e-04
1.000000e+00	1.250000e+00	5.324704e-02	1.547254e-04	1.547254e-04
1.250000e+00	1.500000e+00	4.226981e-02	1.406953e-04	1.406953e-04
1.500000e+00	1.750000e+00	3.118349e-02	1.240517e-04	1.240517e-04
1.750000e+00	2.000000e+00	2.145877e-02	1.056754e-04	1.056754e-04
2.000000e+00	2.250000e+00	1.380251e-02	8.885461e-05	8.885461e-05
2.250000e+00	2.500000e+00	8.009773e-03	6.783375e-05	6.783375e-05
# END HISTO1D

# BEGIN HISTO1D WWbBPOWHEGScatter.yoda/ATLAS_sherpa/Eta1
ErrorBars=1
LineColor={[HTML]{109618}}
LineStyle=solid
Path=WWbBPOWHEGScatter.yoda/ATLAS_sherpa/Eta1
Title=WWbBPOWHEGScatter
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.250000e+00	7.745134e-03	7.511410e-05	7.511410e-05
-2.250000e+00	-2.000000e+00	1.355471e-02	9.936928e-05	9.936928e-05
-2.000000e+00	-1.750000e+00	2.087952e-02	1.233296e-04	1.233296e-04
-1.750000e+00	-1.500000e+00	3.036352e-02	1.487247e-04	1.487247e-04
