# BEGIN PLOT
DrawOnly=emubB_homemade.yoda/ATLAS_sherpa/HT WWbBPOWHEGRES.yoda/ATLAS_sherpa/HT
Title=$W^+W^-b \bar{b}$ cross-section vs. final state pT sum
RatioPlotReference=emubB_homemade.yoda/ATLAS_sherpa/HT
RatioPlot=1
LogY=1
LegendXPos=0.65
XLabel=$H_T$
YLabel=$\mathrm{d}\sigma/{dH_T}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D emubB_homemade.yoda/ATLAS_sherpa/HT
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=emubB_homemade.yoda/ATLAS_sherpa/HT
ScaledBy=0.0012419526589890135
Title=emubB_homemade
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	6.000000e+01	3.405506e-03	2.074019e-05	2.074019e-05
6.000000e+01	8.000000e+01	8.916580e-03	3.451387e-05	3.451387e-05
8.000000e+01	1.000000e+02	1.001091e-02	3.740413e-05	3.740413e-05
1.000000e+02	1.200000e+02	8.117650e-03	3.019395e-05	3.019395e-05
1.200000e+02	1.400000e+02	5.579120e-03	2.215466e-05	2.215466e-05
1.400000e+02	1.600000e+02	3.570071e-03	1.677748e-05	1.677748e-05
1.600000e+02	1.800000e+02	2.260674e-03	1.342879e-05	1.342879e-05
1.800000e+02	2.000000e+02	1.478177e-03	1.124745e-05	1.124745e-05
2.000000e+02	2.200000e+02	9.677095e-04	8.463058e-06	8.463058e-06
2.200000e+02	2.400000e+02	6.359395e-04	6.077160e-06	6.077160e-06
2.400000e+02	2.600000e+02	4.323856e-04	4.792438e-06	4.792438e-06
2.600000e+02	2.800000e+02	3.055682e-04	4.405468e-06	4.405468e-06
2.800000e+02	3.000000e+02	2.113562e-04	3.226381e-06	3.226381e-06
3.000000e+02	3.200000e+02	1.531394e-04	3.113884e-06	3.113884e-06
3.200000e+02	3.400000e+02	1.112140e-04	2.245210e-06	2.245210e-06
3.400000e+02	3.600000e+02	8.415650e-05	1.936594e-06	1.936594e-06
3.600000e+02	3.800000e+02	6.114630e-05	1.785464e-06	1.785464e-06
3.800000e+02	4.000000e+02	4.624890e-05	1.293136e-06	1.293136e-06
4.000000e+02	4.200000e+02	3.651765e-05	1.143779e-06	1.143779e-06
4.200000e+02	4.400000e+02	2.579243e-05	7.782951e-07	7.782951e-07
4.400000e+02	4.600000e+02	2.370338e-05	2.713058e-06	2.713058e-06
4.600000e+02	4.800000e+02	1.661002e-05	7.827033e-07	7.827033e-07
4.800000e+02	5.000000e+02	1.237028e-05	5.353877e-07	5.353877e-07
5.000000e+02	5.200000e+02	9.701860e-06	5.128092e-07	5.128092e-07
5.200000e+02	5.400000e+02	8.333725e-06	4.613764e-07	4.613764e-07
5.400000e+02	5.600000e+02	6.057565e-06	3.535379e-07	3.535379e-07
5.600000e+02	5.800000e+02	4.827957e-06	3.082924e-07	3.082924e-07
5.800000e+02	6.000000e+02	4.417219e-06	3.020313e-07	3.020313e-07
6.000000e+02	6.200000e+02	3.313517e-06	2.816910e-07	2.816910e-07
