# BEGIN PLOT
DrawOnly=emubB_homemade.yoda/ATLAS_sherpa/Mlb WWbBPOWHEGRES.yoda/ATLAS_sherpa/Mlb
Title=$W^+W^-b \bar{b}$ cross-section vs. invariant lepton + b system mass
RatioPlotReference=emubB_homemade.yoda/ATLAS_sherpa/Mlb
RatioPlot=1
LogY=1
LegendXPos=0.65
XLabel=$m_{lb}$
YLabel=$\mathrm{d}\sigma/{dm_{lb}}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D emubB_homemade.yoda/ATLAS_sherpa/Mlb
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=emubB_homemade.yoda/ATLAS_sherpa/Mlb
ScaledBy=0.0012419526589890135
Title=emubB_homemade
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.800000e+01	3.271575e-09	2.767236e-09	2.767236e-09
1.800000e+01	2.400000e+01	4.249677e-06	1.004928e-06	1.004928e-06
2.400000e+01	3.000000e+01	4.570950e-05	3.785811e-06	3.785811e-06
3.000000e+01	3.600000e+01	1.769878e-04	9.410836e-06	9.410836e-06
3.600000e+01	4.200000e+01	3.617710e-04	1.118906e-05	1.118906e-05
4.200000e+01	4.800000e+01	7.467365e-04	1.635435e-05	1.635435e-05
4.800000e+01	5.400000e+01	1.296359e-03	2.337290e-05	2.337290e-05
5.400000e+01	6.000000e+01	2.076177e-03	2.883563e-05	2.883563e-05
6.000000e+01	6.600000e+01	2.885423e-03	3.090596e-05	3.090596e-05
6.600000e+01	7.200000e+01	4.054428e-03	4.248498e-05	4.248498e-05
7.200000e+01	7.800000e+01	5.190250e-03	4.523256e-05	4.523256e-05
7.800000e+01	8.400000e+01	6.267268e-03	4.805611e-05	4.805611e-05
8.400000e+01	9.000000e+01	7.133777e-03	7.393392e-05	7.393392e-05
9.000000e+01	9.600000e+01	7.393955e-03	4.951976e-05	4.951976e-05
9.600000e+01	1.020000e+02	7.367838e-03	5.787928e-05	5.787928e-05
1.020000e+02	1.080000e+02	6.646078e-03	5.258387e-05	5.258387e-05
1.080000e+02	1.140000e+02	5.633810e-03	4.435153e-05	4.435153e-05
1.140000e+02	1.200000e+02	4.082783e-03	3.328958e-05	3.328958e-05
1.200000e+02	1.260000e+02	2.664465e-03	2.431459e-05	2.431459e-05
1.260000e+02	1.320000e+02	1.453697e-03	1.435670e-05	1.435670e-05
1.320000e+02	1.380000e+02	6.196270e-04	7.997566e-06	7.997566e-06
1.380000e+02	1.440000e+02	2.124130e-04	4.728164e-06	4.728164e-06
1.440000e+02	1.500000e+02	9.251150e-05	3.539823e-06	3.539823e-06
1.500000e+02	1.560000e+02	6.200422e-05	2.865026e-06	2.865026e-06
1.560000e+02	1.620000e+02	5.247258e-05	2.712104e-06	2.712104e-06
1.620000e+02	1.680000e+02	3.818105e-05	2.007316e-06	2.007316e-06
1.680000e+02	1.740000e+02	3.260572e-05	1.812144e-06	1.812144e-06
1.740000e+02	1.800000e+02	2.824397e-05	2.212555e-06	2.212555e-06
1.800000e+02	1.860000e+02	2.210302e-05	1.328640e-06	1.328640e-06
1.860000e+02	1.920000e+02	2.070413e-05	1.738225e-06	1.738225e-06
1.920000e+02	1.980000e+02	1.607140e-05	1.155389e-06	1.155389e-06
1.980000e+02	2.040000e+02	1.548880e-05	1.312586e-06	1.312586e-06
2.040000e+02	2.100000e+02	1.136535e-05	7.790994e-07	7.790994e-07
2.100000e+02	2.160000e+02	1.718032e-05	6.173584e-06	6.173584e-06
2.160000e+02	2.220000e+02	9.443485e-06	1.082983e-06	1.082983e-06
2.220000e+02	2.280000e+02	8.226575e-06	1.477419e-06	1.477419e-06
2.280000e+02	2.340000e+02	7.242367e-06	9.371336e-07	9.371336e-07
2.340000e+02	2.400000e+02	6.328748e-06	7.444573e-07	7.444573e-07
2.400000e+02	2.460000e+02	4.580973e-06	4.344669e-07	4.344669e-07
2.460000e+02	2.520000e+02	5.024102e-06	7.192380e-07	7.192380e-07
2.520000e+02	2.580000e+02	3.311518e-06	3.386628e-07	3.386628e-07
2.580000e+02	2.640000e+02	7.450272e-06	2.800489e-06	2.800489e-06
2.640000e+02	2.700000e+02	3.138223e-06	3.892703e-07	3.892703e-07
2.700000e+02	2.760000e+02	2.783270e-06	4.411716e-07	4.411716e-07
2.760000e+02	2.820000e+02	2.558827e-06	3.861407e-07	3.861407e-07
2.820000e+02	2.880000e+02	2.257920e-06	5.523093e-07	5.523093e-07
2.880000e+02	2.940000e+02	1.615498e-06	1.970474e-07	1.970474e-07
2.940000e+02	3.000000e+02	1.078699e-06	1.363833e-07	1.363833e-07
# END HISTO1D

# BEGIN HISTO1D WWbBPOWHEGRES.yoda/ATLAS_sherpa/Mlb
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=WWbBPOWHEGRES.yoda/ATLAS_sherpa/Mlb
ScaledBy=9.9999999999999995e-07
Title=WWbBPOWHEGRES
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+01	2.400000e+01	3.492900e-06	1.164300e-06	1.164300e-06
2.400000e+01	3.000000e+01	4.851250e-05	4.339090e-06	4.339090e-06
3.000000e+01	3.600000e+01	2.014238e-04	8.841528e-06	8.841528e-06
3.600000e+01	4.200000e+01	3.919810e-04	1.233401e-05	1.233401e-05
4.200000e+01	4.800000e+01	7.781405e-04	1.737804e-05	1.737804e-05
4.800000e+01	5.400000e+01	1.308285e-03	2.253321e-05	2.253321e-05
5.400000e+01	6.000000e+01	1.996775e-03	2.783789e-05	2.783789e-05
6.000000e+01	6.600000e+01	2.847490e-03	3.324321e-05	3.324321e-05
6.600000e+01	7.200000e+01	3.782035e-03	3.831198e-05	3.831198e-05
7.200000e+01	7.800000e+01	4.807007e-03	4.319258e-05	4.319258e-05
7.800000e+01	8.400000e+01	5.742328e-03	4.720802e-05	4.720802e-05
8.400000e+01	9.000000e+01	6.587998e-03	5.056483e-05	5.056483e-05
9.000000e+01	9.600000e+01	6.952812e-03	5.194599e-05	5.194599e-05
9.600000e+01	1.020000e+02	6.899253e-03	5.174553e-05	5.174553e-05
1.020000e+02	1.080000e+02	6.464970e-03	5.009047e-05	5.009047e-05
1.080000e+02	1.140000e+02	5.681008e-03	4.695529e-05	4.695529e-05
1.140000e+02	1.200000e+02	4.536113e-03	4.195790e-05	4.195790e-05
1.200000e+02	1.260000e+02	3.296910e-03	3.577053e-05	3.577053e-05
1.260000e+02	1.320000e+02	2.093023e-03	2.850092e-05	2.850092e-05
1.320000e+02	1.380000e+02	1.050199e-03	2.018866e-05	2.018866e-05
1.380000e+02	1.440000e+02	4.144908e-04	1.268321e-05	1.268321e-05
1.440000e+02	1.500000e+02	1.567924e-04	7.800714e-06	7.800714e-06
1.500000e+02	1.560000e+02	1.284611e-04	7.060860e-06	7.060860e-06
1.560000e+02	1.620000e+02	9.275590e-05	5.999880e-06	5.999880e-06
1.620000e+02	1.680000e+02	8.499390e-05	5.743356e-06	5.743356e-06
1.680000e+02	1.740000e+02	7.800810e-05	5.502267e-06	5.502267e-06
1.740000e+02	1.800000e+02	6.287220e-05	4.939706e-06	4.939706e-06
1.800000e+02	1.860000e+02	5.161730e-05	4.475788e-06	4.475788e-06
1.860000e+02	1.920000e+02	4.346720e-05	4.107264e-06	4.107264e-06
1.920000e+02	1.980000e+02	4.036240e-05	3.957859e-06	3.957859e-06
1.980000e+02	2.040000e+02	3.803380e-05	3.841994e-06	3.841994e-06
2.040000e+02	2.100000e+02	3.454090e-05	3.661328e-06	3.661328e-06
2.100000e+02	2.160000e+02	2.910750e-05	3.361044e-06	3.361044e-06
2.160000e+02	2.220000e+02	2.406220e-05	3.055902e-06	3.055902e-06
2.220000e+02	2.280000e+02	2.445030e-05	3.080448e-06	3.080448e-06
2.280000e+02	2.340000e+02	2.212170e-05	2.930091e-06	2.930091e-06
2.340000e+02	2.400000e+02	2.018120e-05	2.798629e-06	2.798629e-06
2.400000e+02	2.460000e+02	1.241920e-05	2.195425e-06	2.195425e-06
2.460000e+02	2.520000e+02	1.397160e-05	2.328600e-06	2.328600e-06
2.520000e+02	2.580000e+02	8.150100e-06	1.778497e-06	1.778497e-06
2.580000e+02	2.640000e+02	1.319540e-05	2.262993e-06	2.262993e-06
2.640000e+02	2.700000e+02	8.926300e-06	1.861262e-06	1.861262e-06
2.700000e+02	2.760000e+02	1.319540e-05	2.262993e-06	2.262993e-06
2.760000e+02	2.820000e+02	8.926300e-06	1.861262e-06	1.861262e-06
2.820000e+02	2.880000e+02	4.657200e-06	1.344418e-06	1.344418e-06
2.880000e+02	2.940000e+02	5.433400e-06	1.452137e-06	1.452137e-06
2.940000e+02	3.000000e+02	6.597700e-06	1.600177e-06	1.600177e-06
# END HISTO1D

