# BEGIN PLOT
DrawOnly=emubB_homemade.yoda/ATLAS_sherpa/PtMiss WWbBPOWHEGRES.yoda/ATLAS_sherpa/PtMiss
Title=$W^+W^-b \bar{b}$ cross-section vs. missing transverse momentum
RatioPlotReference=emubB_homemade.yoda/ATLAS_sherpa/PtMiss
RatioPlot=1
LogY=1
LegendXPos=0.65
XLabel=$p_{\mathrm{T, miss}}$
YLabel=$\mathrm{d}\sigma/{dp_{\mathrm{T, miss}}}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D emubB_homemade.yoda/ATLAS_sherpa/PtMiss
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=emubB_homemade.yoda/ATLAS_sherpa/PtMiss
ScaledBy=0.0012419526589890135
Title=emubB_homemade
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.400000e+01	3.487247e-03	3.199840e-05	3.199840e-05
2.400000e+01	3.200000e+01	8.316373e-03	4.723842e-05	4.723842e-05
3.200000e+01	4.000000e+01	9.735216e-03	5.035791e-05	5.035791e-05
4.000000e+01	4.800000e+01	1.061048e-02	5.025026e-05	5.025026e-05
4.800000e+01	5.600000e+01	1.102641e-02	5.085539e-05	5.085539e-05
5.600000e+01	6.400000e+01	1.095902e-02	5.142598e-05	5.142598e-05
6.400000e+01	7.200000e+01	1.058869e-02	5.326090e-05	5.326090e-05
7.200000e+01	8.000000e+01	9.768921e-03	4.895320e-05	4.895320e-05
8.000000e+01	8.800000e+01	8.736910e-03	6.175657e-05	6.175657e-05
8.800000e+01	9.600000e+01	7.586585e-03	5.541746e-05	5.541746e-05
9.600000e+01	1.040000e+02	6.200187e-03	4.174343e-05	4.174343e-05
1.040000e+02	1.120000e+02	4.920267e-03	3.979987e-05	3.979987e-05
1.120000e+02	1.200000e+02	3.809326e-03	3.363124e-05	3.363124e-05
1.200000e+02	1.280000e+02	2.843107e-03	2.674940e-05	2.674940e-05
1.280000e+02	1.360000e+02	2.105984e-03	2.320710e-05	2.320710e-05
1.360000e+02	1.440000e+02	1.527066e-03	2.062930e-05	2.062930e-05
1.440000e+02	1.520000e+02	1.043486e-03	1.481958e-05	1.481958e-05
1.520000e+02	1.600000e+02	7.185444e-04	1.089403e-05	1.089403e-05
1.600000e+02	1.680000e+02	5.141651e-04	9.376027e-06	9.376027e-06
1.680000e+02	1.760000e+02	3.805332e-04	7.615442e-06	7.615442e-06
1.760000e+02	1.840000e+02	2.883456e-04	6.900585e-06	6.900585e-06
1.840000e+02	1.920000e+02	2.147144e-04	7.760940e-06	7.760940e-06
1.920000e+02	2.000000e+02	1.696931e-04	5.419652e-06	5.419652e-06
# END HISTO1D

# BEGIN HISTO1D WWbBPOWHEGRES.yoda/ATLAS_sherpa/PtMiss
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=WWbBPOWHEGRES.yoda/ATLAS_sherpa/PtMiss
ScaledBy=9.9999999999999995e-07
Title=WWbBPOWHEGRES
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.400000e+01	4.095134e-03	3.452523e-05	3.452523e-05
2.400000e+01	3.200000e+01	9.759162e-03	5.329773e-05	5.329773e-05
3.200000e+01	4.000000e+01	1.132922e-02	5.742520e-05	5.742520e-05
4.000000e+01	4.800000e+01	1.231567e-02	5.987307e-05	5.987307e-05
4.800000e+01	5.600000e+01	1.251971e-02	6.036702e-05	6.036702e-05
5.600000e+01	6.400000e+01	1.241319e-02	6.010963e-05	6.010963e-05
6.400000e+01	7.200000e+01	1.133883e-02	5.744953e-05	5.744953e-05
7.200000e+01	8.000000e+01	1.029882e-02	5.475151e-05	5.475151e-05
8.000000e+01	8.800000e+01	8.901074e-03	5.090068e-05	5.090068e-05
8.800000e+01	9.600000e+01	7.355465e-03	4.627086e-05	4.627086e-05
9.600000e+01	1.040000e+02	5.979845e-03	4.172029e-05	4.172029e-05
1.040000e+02	1.120000e+02	4.620525e-03	3.667314e-05	3.667314e-05
1.120000e+02	1.200000e+02	3.625047e-03	3.248324e-05	3.248324e-05
1.200000e+02	1.280000e+02	2.678473e-03	2.792197e-05	2.792197e-05
1.280000e+02	1.360000e+02	1.959226e-03	2.388057e-05	2.388057e-05
1.360000e+02	1.440000e+02	1.420155e-03	2.033154e-05	2.033154e-05
1.440000e+02	1.520000e+02	9.847067e-04	1.692996e-05	1.692996e-05
1.520000e+02	1.600000e+02	7.192464e-04	1.446909e-05	1.446909e-05
1.600000e+02	1.680000e+02	5.140385e-04	1.223208e-05	1.223208e-05
1.680000e+02	1.760000e+02	3.845101e-04	1.057928e-05	1.057928e-05
1.760000e+02	1.840000e+02	2.826339e-04	9.070151e-06	9.070151e-06
1.840000e+02	1.920000e+02	2.226724e-04	8.050737e-06	8.050737e-06
1.920000e+02	2.000000e+02	1.807576e-04	7.253552e-06	7.253552e-06
# END HISTO1D

