# BEGIN PLOT
RatioPlotReference=emubB_homemade.yoda/ATLAS_sherpa/WPhi
RatioPlot=1
DrawOnly=emubB_homemade.yoda/ATLAS_sherpa/WPhi WWbBPOWHEGRES.yoda/ATLAS_sherpa/WPhi
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D emubB_homemade.yoda/ATLAS_sherpa/WPhi
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=emubB_homemade.yoda/ATLAS_sherpa/WPhi
ScaledBy=0.0012419526589890135
Title=emubB_homemade
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.513274e-01	8.073986e-01	7.611237e-03	7.611237e-03
2.513274e-01	5.026548e-01	8.065977e-01	5.071524e-03	5.071524e-03
5.026548e-01	7.539822e-01	8.159190e-01	9.952735e-03	9.952735e-03
7.539822e-01	1.005310e+00	8.065140e-01	6.393708e-03	6.393708e-03
1.005310e+00	1.256637e+00	8.101724e-01	6.102965e-03	6.102965e-03
1.256637e+00	1.507964e+00	8.161741e-01	1.835697e-02	1.835697e-02
1.507964e+00	1.759292e+00	8.008173e-01	4.779038e-03	4.779038e-03
1.759292e+00	2.010619e+00	7.970393e-01	3.122743e-03	3.122743e-03
2.010619e+00	2.261947e+00	7.977866e-01	3.645757e-03	3.645757e-03
2.261947e+00	2.513274e+00	7.975017e-01	3.623111e-03	3.623111e-03
2.513274e+00	2.764602e+00	8.026794e-01	3.961235e-03	3.961235e-03
2.764602e+00	3.015929e+00	8.038150e-01	4.978059e-03	4.978059e-03
3.015929e+00	3.267256e+00	8.030299e-01	3.723658e-03	3.723658e-03
3.267256e+00	3.518584e+00	8.070056e-01	7.473233e-03	7.473233e-03
3.518584e+00	3.769911e+00	8.133861e-01	5.337724e-03	5.337724e-03
3.769911e+00	4.021239e+00	8.075638e-01	9.565783e-03	9.565783e-03
4.021239e+00	4.272566e+00	8.106248e-01	7.141163e-03	7.141163e-03
4.272566e+00	4.523893e+00	8.036482e-01	5.025132e-03	5.025132e-03
4.523893e+00	4.775221e+00	8.238636e-01	1.863735e-02	1.863735e-02
4.775221e+00	5.026548e+00	7.926999e-01	2.882692e-03	2.882692e-03
5.026548e+00	5.277876e+00	8.016648e-01	3.926767e-03	3.926767e-03
5.277876e+00	5.529203e+00	7.942473e-01	3.348032e-03	3.348032e-03
5.529203e+00	5.780530e+00	8.017805e-01	3.299176e-03	3.299176e-03
5.780530e+00	6.031858e+00	7.996033e-01	4.113441e-03	4.113441e-03
6.031858e+00	6.283185e+00	8.087909e-01	4.633327e-03	4.633327e-03
# END HISTO1D

# BEGIN HISTO1D WWbBPOWHEGRES.yoda/ATLAS_sherpa/WPhi
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=WWbBPOWHEGRES.yoda/ATLAS_sherpa/WPhi
ScaledBy=9.9999999999999995e-07
Title=WWbBPOWHEGRES
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.513274e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.513274e-01	5.026548e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.026548e-01	7.539822e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.539822e-01	1.005310e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.005310e+00	1.256637e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.256637e+00	1.507964e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.507964e+00	1.759292e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.759292e+00	2.010619e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.010619e+00	2.261947e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.261947e+00	2.513274e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.513274e+00	2.764602e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.764602e+00	3.015929e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.015929e+00	3.267256e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.267256e+00	3.518584e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.518584e+00	3.769911e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.769911e+00	4.021239e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.021239e+00	4.272566e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.272566e+00	4.523893e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.523893e+00	4.775221e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.775221e+00	5.026548e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.026548e+00	5.277876e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.277876e+00	5.529203e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.529203e+00	5.780530e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.780530e+00	6.031858e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.031858e+00	6.283185e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

