# BEGIN PLOT
RatioPlotReference=emubB_homemade.yoda/ATLAS_sherpa/WWphi
RatioPlot=1
DrawOnly=emubB_homemade.yoda/ATLAS_sherpa/WWphi WWbBPOWHEGRES.yoda/ATLAS_sherpa/WWphi
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D emubB_homemade.yoda/ATLAS_sherpa/WWphi
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=emubB_homemade.yoda/ATLAS_sherpa/WWphi
ScaledBy=0.0012419526589890135
Title=emubB_homemade
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.513274e-01	1.365423e-01	1.206429e-03	1.206429e-03
2.513274e-01	5.026548e-01	1.411924e-01	1.723626e-03	1.723626e-03
5.026548e-01	7.539822e-01	1.479897e-01	1.261032e-03	1.261032e-03
7.539822e-01	1.005310e+00	1.648947e-01	1.351754e-03	1.351754e-03
1.005310e+00	1.256637e+00	1.902581e-01	1.293665e-03	1.293665e-03
1.256637e+00	1.507964e+00	2.283778e-01	1.620956e-03	1.620956e-03
1.507964e+00	1.759292e+00	2.804924e-01	1.983249e-03	1.983249e-03
1.759292e+00	2.010619e+00	3.499679e-01	1.865528e-03	1.865528e-03
2.010619e+00	2.261947e+00	4.539041e-01	2.052756e-03	2.052756e-03
2.261947e+00	2.513274e+00	5.905565e-01	2.519633e-03	2.519633e-03
2.513274e+00	2.764602e+00	7.481900e-01	3.036243e-03	3.036243e-03
2.764602e+00	3.015929e+00	9.124742e-01	3.549990e-03	3.549990e-03
3.015929e+00	3.267256e+00	1.372860e+00	2.426508e-02	2.426508e-02
3.267256e+00	3.518584e+00	9.121908e-01	3.563667e-03	3.563667e-03
3.518584e+00	3.769911e+00	7.476972e-01	2.850571e-03	2.850571e-03
3.769911e+00	4.021239e+00	5.893601e-01	2.505876e-03	2.505876e-03
4.021239e+00	4.272566e+00	4.557481e-01	2.114548e-03	2.114548e-03
4.272566e+00	4.523893e+00	3.523590e-01	2.612112e-03	2.612112e-03
4.523893e+00	4.775221e+00	2.821025e-01	2.424441e-03	2.424441e-03
4.775221e+00	5.026548e+00	2.266255e-01	1.592730e-03	1.592730e-03
5.026548e+00	5.277876e+00	1.896213e-01	1.432531e-03	1.432531e-03
5.277876e+00	5.529203e+00	1.681329e-01	1.477493e-03	1.477493e-03
5.529203e+00	5.780530e+00	1.487970e-01	1.360484e-03	1.360484e-03
5.780530e+00	6.031858e+00	1.391859e-01	1.322062e-03	1.322062e-03
6.031858e+00	6.283185e+00	1.356430e-01	1.423179e-03	1.423179e-03
# END HISTO1D

# BEGIN HISTO1D WWbBPOWHEGRES.yoda/ATLAS_sherpa/WWphi
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=WWbBPOWHEGRES.yoda/ATLAS_sherpa/WWphi
ScaledBy=9.9999999999999995e-07
Title=WWbBPOWHEGRES
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.513274e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.513274e-01	5.026548e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.026548e-01	7.539822e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.539822e-01	1.005310e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.005310e+00	1.256637e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.256637e+00	1.507964e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.507964e+00	1.759292e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.759292e+00	2.010619e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.010619e+00	2.261947e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.261947e+00	2.513274e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.513274e+00	2.764602e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.764602e+00	3.015929e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.015929e+00	3.267256e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.267256e+00	3.518584e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.518584e+00	3.769911e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.769911e+00	4.021239e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.021239e+00	4.272566e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.272566e+00	4.523893e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.523893e+00	4.775221e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.775221e+00	5.026548e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.026548e+00	5.277876e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.277876e+00	5.529203e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.529203e+00	5.780530e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.780530e+00	6.031858e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.031858e+00	6.283185e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

