# BEGIN PLOT
DrawOnly=emubB_homemade.yoda/ATLAS_sherpa/deltaRb WWbBPOWHEGRES.yoda/ATLAS_sherpa/deltaRb
Title=$W^+W^-b \bar{b}$ cross-section vs. b-jets angular distance
RatioPlotReference=emubB_homemade.yoda/ATLAS_sherpa/deltaRb
RatioPlot=1
LogY=1
LegendXPos=0.65
XLabel=$\Delta R_{b\bar{b}}$
YLabel=$\mathrm{d}\sigma/{d\Delta R_{b,\bar{b}}}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D emubB_homemade.yoda/ATLAS_sherpa/deltaRb
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=emubB_homemade.yoda/ATLAS_sherpa/deltaRb
ScaledBy=0.0012419526589890135
Title=emubB_homemade
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	4.849847e-05	2.326461e-05	2.326461e-05
5.000000e-01	6.000000e-01	8.332944e-02	1.318065e-03	1.318065e-03
6.000000e-01	7.000000e-01	9.856902e-02	1.465651e-03	1.465651e-03
7.000000e-01	8.000000e-01	1.148641e-01	1.604161e-03	1.604161e-03
8.000000e-01	9.000000e-01	1.317318e-01	1.843794e-03	1.843794e-03
9.000000e-01	1.000000e+00	1.449639e-01	1.928389e-03	1.928389e-03
1.000000e+00	1.100000e+00	1.593516e-01	1.768283e-03	1.768283e-03
1.100000e+00	1.200000e+00	1.741683e-01	1.919811e-03	1.919811e-03
1.200000e+00	1.300000e+00	1.920466e-01	2.256518e-03	2.256518e-03
1.300000e+00	1.400000e+00	2.103648e-01	3.829952e-03	3.829952e-03
1.400000e+00	1.500000e+00	2.262872e-01	2.411359e-03	2.411359e-03
1.500000e+00	1.600000e+00	2.402383e-01	2.299824e-03	2.299824e-03
1.600000e+00	1.700000e+00	2.556229e-01	2.287025e-03	2.287025e-03
1.700000e+00	1.800000e+00	2.747471e-01	2.536172e-03	2.536172e-03
1.800000e+00	1.900000e+00	2.926548e-01	2.859726e-03	2.859726e-03
1.900000e+00	2.000000e+00	3.076372e-01	2.369052e-03	2.369052e-03
2.000000e+00	2.100000e+00	3.231389e-01	2.440434e-03	2.440434e-03
2.100000e+00	2.200000e+00	3.483171e-01	3.157944e-03	3.157944e-03
2.200000e+00	2.300000e+00	3.672268e-01	2.616043e-03	2.616043e-03
2.300000e+00	2.400000e+00	3.886972e-01	2.766960e-03	2.766960e-03
2.400000e+00	2.500000e+00	4.067567e-01	2.943057e-03	2.943057e-03
2.500000e+00	2.600000e+00	4.341891e-01	3.300903e-03	3.300903e-03
2.600000e+00	2.700000e+00	4.538739e-01	2.927423e-03	2.927423e-03
2.700000e+00	2.800000e+00	4.770916e-01	3.278070e-03	3.278070e-03
2.800000e+00	2.900000e+00	4.958518e-01	3.504196e-03	3.504196e-03
2.900000e+00	3.000000e+00	5.173848e-01	3.150836e-03	3.150836e-03
3.000000e+00	3.100000e+00	5.258487e-01	3.026055e-03	3.026055e-03
3.100000e+00	3.200000e+00	4.694300e-01	2.968065e-03	2.968065e-03
3.200000e+00	3.300000e+00	2.975048e-01	2.375454e-03	2.375454e-03
3.300000e+00	3.400000e+00	2.150382e-01	2.025896e-03	2.025896e-03
3.400000e+00	3.500000e+00	1.652145e-01	1.746152e-03	1.746152e-03
3.500000e+00	3.600000e+00	1.251774e-01	1.558164e-03	1.558164e-03
3.600000e+00	3.700000e+00	9.426887e-02	1.340261e-03	1.340261e-03
3.700000e+00	3.800000e+00	7.434990e-02	1.097519e-03	1.097519e-03
3.800000e+00	3.900000e+00	5.575755e-02	1.014422e-03	1.014422e-03
3.900000e+00	4.000000e+00	4.199662e-02	9.044840e-04	9.044840e-04
4.000000e+00	4.100000e+00	3.227238e-02	7.358004e-04	7.358004e-04
4.100000e+00	4.200000e+00	2.441064e-02	6.175900e-04	6.175900e-04
4.200000e+00	4.300000e+00	1.850030e-02	6.303360e-04	6.303360e-04
4.300000e+00	4.400000e+00	1.261727e-02	3.931482e-04	3.931482e-04
4.400000e+00	4.500000e+00	9.400583e-03	4.217167e-04	4.217167e-04
4.500000e+00	4.600000e+00	7.104177e-03	3.743247e-04	3.743247e-04
4.600000e+00	4.700000e+00	4.895187e-03	2.918539e-04	2.918539e-04
4.700000e+00	4.800000e+00	3.677822e-03	2.466070e-04	2.466070e-04
4.800000e+00	4.900000e+00	2.449295e-03	2.410379e-04	2.410379e-04
4.900000e+00	5.000000e+00	1.534725e-03	1.337450e-04	1.337450e-04
# END HISTO1D

# BEGIN HISTO1D WWbBPOWHEGRES.yoda/ATLAS_sherpa/deltaRb
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=WWbBPOWHEGRES.yoda/ATLAS_sherpa/deltaRb
ScaledBy=9.9999999999999995e-07
Title=WWbBPOWHEGRES
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	6.985800e-05	4.033253e-05	4.033253e-05
5.000000e-01	6.000000e-01	9.051268e-02	1.451784e-03	1.451784e-03
6.000000e-01	7.000000e-01	1.061376e-01	1.572107e-03	1.572107e-03
7.000000e-01	8.000000e-01	1.223214e-01	1.687713e-03	1.687713e-03
8.000000e-01	9.000000e-01	1.368751e-01	1.785294e-03	1.785294e-03
9.000000e-01	1.000000e+00	1.479592e-01	1.856173e-03	1.856173e-03
1.000000e+00	1.100000e+00	1.678688e-01	1.977117e-03	1.977117e-03
1.100000e+00	1.200000e+00	1.844018e-01	2.072192e-03	2.072192e-03
1.200000e+00	1.300000e+00	1.997007e-01	2.156439e-03	2.156439e-03
1.300000e+00	1.400000e+00	2.192843e-01	2.259702e-03	2.259702e-03
1.400000e+00	1.500000e+00	2.353283e-01	2.340909e-03	2.340909e-03
1.500000e+00	1.600000e+00	2.510231e-01	2.417710e-03	2.417710e-03
1.600000e+00	1.700000e+00	2.737968e-01	2.525001e-03	2.525001e-03
1.700000e+00	1.800000e+00	2.921462e-01	2.608240e-03	2.608240e-03
1.800000e+00	1.900000e+00	3.109845e-01	2.691020e-03	2.691020e-03
1.900000e+00	2.000000e+00	3.330131e-01	2.784698e-03	2.784698e-03
2.000000e+00	2.100000e+00	3.552978e-01	2.876363e-03	2.876363e-03
2.100000e+00	2.200000e+00	3.735074e-01	2.949151e-03	2.949151e-03
2.200000e+00	2.300000e+00	3.967469e-01	3.039514e-03	3.039514e-03
2.300000e+00	2.400000e+00	4.285090e-01	3.158838e-03	3.158838e-03
2.400000e+00	2.500000e+00	4.458338e-01	3.222061e-03	3.222061e-03
2.500000e+00	2.600000e+00	4.730318e-01	3.318888e-03	3.318888e-03
2.600000e+00	2.700000e+00	4.959918e-01	3.398481e-03	3.398481e-03
2.700000e+00	2.800000e+00	5.226543e-01	3.488629e-03	3.488629e-03
2.800000e+00	2.900000e+00	5.449157e-01	3.562150e-03	3.562150e-03
2.900000e+00	3.000000e+00	5.583517e-01	3.605798e-03	3.605798e-03
3.000000e+00	3.100000e+00	5.798913e-01	3.674690e-03	3.674690e-03
3.100000e+00	3.200000e+00	5.057253e-01	3.431664e-03	3.431664e-03
3.200000e+00	3.300000e+00	3.205551e-01	2.732114e-03	2.732114e-03
3.300000e+00	3.400000e+00	2.299958e-01	2.314235e-03	2.314235e-03
3.400000e+00	3.500000e+00	1.725493e-01	2.004490e-03	2.004490e-03
3.500000e+00	3.600000e+00	1.259540e-01	1.712590e-03	1.712590e-03
3.600000e+00	3.700000e+00	9.668347e-02	1.500457e-03	1.500457e-03
3.700000e+00	3.800000e+00	7.630822e-02	1.333009e-03	1.333009e-03
3.800000e+00	3.900000e+00	5.891358e-02	1.171265e-03	1.171265e-03
3.900000e+00	4.000000e+00	4.096007e-02	9.766250e-04	9.766250e-04
4.000000e+00	4.100000e+00	3.101695e-02	8.498592e-04	8.498592e-04
4.100000e+00	4.200000e+00	2.272714e-02	7.274779e-04	7.274779e-04
4.200000e+00	4.300000e+00	1.618377e-02	6.138854e-04	6.138854e-04
4.300000e+00	4.400000e+00	1.136357e-02	5.144045e-04	5.144045e-04
4.400000e+00	4.500000e+00	8.359674e-03	4.412068e-04	4.412068e-04
4.500000e+00	4.600000e+00	5.774928e-03	3.667083e-04	3.667083e-04
4.600000e+00	4.700000e+00	3.842190e-03	2.991141e-04	2.991141e-04
4.700000e+00	4.800000e+00	2.817606e-03	2.561460e-04	2.561460e-04
4.800000e+00	4.900000e+00	2.258742e-03	2.293405e-04	2.293405e-04
4.900000e+00	5.000000e+00	1.210872e-03	1.679177e-04	1.679177e-04
# END HISTO1D

