# BEGIN PLOT
DrawOnly=emubB_homemade_scales.yoda/ATLAS_sherpa/Pt1
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D emubB_homemade_scales.yoda/ATLAS_sherpa/Pt1
ErrorBandColor=Gray
ErrorBandOpacity=0.1
ErrorBands=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=emubB_homemade_scales.yoda/ATLAS_sherpa/Pt1
Title=emubB_homemade_scales
XLabel=$p_{\mathrm{T},j_1}$
YLabel=$\mathrm{d}\sigma/{dp_{\mathrm{T},j_1}}$ [pb]
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	4.000000e+01	9.965063e-03	2.589455e-03	4.994527e-03
4.000000e+01	5.000000e+01	3.908488e-02	1.073265e-02	1.521073e-02
5.000000e+01	6.000000e+01	7.509139e-02	2.060507e-02	3.260871e-02
6.000000e+01	7.000000e+01	1.053071e-01	2.907058e-02	4.633080e-02
7.000000e+01	8.000000e+01	1.149127e-01	3.215380e-02	4.940080e-02
8.000000e+01	9.000000e+01	1.071702e-01	3.002396e-02	4.626590e-02
9.000000e+01	1.000000e+02	9.469488e-02	2.690578e-02	4.305492e-02
1.000000e+02	1.100000e+02	7.927266e-02	2.277770e-02	3.624184e-02
1.100000e+02	1.200000e+02	6.377078e-02	1.811671e-02	2.911886e-02
1.200000e+02	1.300000e+02	5.026822e-02	1.476652e-02	1.909050e-02
1.300000e+02	1.400000e+02	3.922716e-02	1.160116e-02	1.892063e-02
1.400000e+02	1.500000e+02	3.046258e-02	9.432210e-03	1.485389e-02
1.500000e+02	1.600000e+02	2.337021e-02	7.160870e-03	1.164357e-02
1.600000e+02	1.700000e+02	1.840222e-02	5.771750e-03	9.518350e-03
1.700000e+02	1.800000e+02	1.423135e-02	4.189840e-03	6.462200e-03
1.800000e+02	1.900000e+02	1.134343e-02	3.618249e-03	5.424400e-03
1.900000e+02	2.000000e+02	8.915088e-03	2.677719e-03	4.148452e-03
2.000000e+02	2.100000e+02	7.212007e-03	2.226603e-03	3.751003e-03
2.100000e+02	2.200000e+02	5.884745e-03	1.900469e-03	2.741539e-03
2.200000e+02	2.300000e+02	4.601949e-03	1.312424e-03	2.316001e-03
2.300000e+02	2.400000e+02	3.854663e-03	1.264960e-03	2.288883e-03
2.400000e+02	2.500000e+02	3.091248e-03	8.525680e-04	1.943622e-03
2.500000e+02	2.600000e+02	2.632069e-03	7.881670e-04	1.089982e-03
2.600000e+02	2.700000e+02	2.197675e-03	6.435630e-04	8.462780e-04
2.700000e+02	2.800000e+02	1.882675e-03	5.629950e-04	8.484540e-04
2.800000e+02	2.900000e+02	1.576319e-03	4.595320e-04	8.903620e-04
2.900000e+02	3.000000e+02	1.337039e-03	4.075245e-04	7.945550e-04
3.000000e+02	3.100000e+02	1.199905e-03	4.065880e-04	4.480940e-04
3.100000e+02	3.200000e+02	9.902788e-04	3.230695e-04	3.708052e-04
3.200000e+02	3.300000e+02	8.748120e-04	2.666237e-04	5.735570e-04
3.300000e+02	3.400000e+02	7.727712e-04	1.994641e-04	5.251398e-04
3.400000e+02	3.500000e+02	6.872509e-04	2.312657e-04	4.850781e-04
3.500000e+02	3.600000e+02	6.008316e-04	2.196700e-04	2.858196e-04
3.600000e+02	3.700000e+02	5.284559e-04	1.837897e-04	2.609158e-04
3.700000e+02	3.800000e+02	4.631238e-04	1.459764e-04	3.704760e-04
3.800000e+02	3.900000e+02	4.548051e-04	1.253823e-04	7.796530e-05
3.900000e+02	4.000000e+02	3.964239e-04	1.577090e-04	2.734124e-04
4.000000e+02	4.100000e+02	3.186969e-04	8.858470e-05	2.290707e-04
4.100000e+02	4.200000e+02	2.831052e-04	9.585970e-05	1.603267e-04
4.200000e+02	4.300000e+02	2.634565e-04	5.893940e-05	1.824448e-04
4.300000e+02	4.400000e+02	2.626320e-04	1.121636e-04	2.140942e-04
4.400000e+02	4.500000e+02	2.438498e-04	8.861960e-05	0.000000e+00
4.500000e+02	4.600000e+02	2.088706e-04	6.610680e-05	2.509139e-04
4.600000e+02	4.700000e+02	1.939970e-04	5.740830e-05	2.237630e-05
4.700000e+02	4.800000e+02	1.795774e-04	7.691130e-05	2.952730e-05
4.800000e+02	4.900000e+02	1.530350e-04	4.851170e-05	8.650880e-05
4.900000e+02	5.000000e+02	1.453645e-04	5.051252e-05	2.646500e-05
# END HISTO1D

