# BEGIN PLOT
DrawOnly=emubB_homemade_scales.yoda/ATLAS_sherpa/PtMiss
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D emubB_homemade_scales.yoda/ATLAS_sherpa/PtMiss
ErrorBandColor=Gray
ErrorBandOpacity=0.1
ErrorBands=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=emubB_homemade_scales.yoda/ATLAS_sherpa/PtMiss
Title=emubB_homemade_scales
XLabel=$p_{\mathrm{T, miss}}$
YLabel=$\mathrm{d}\sigma/{dp_{\mathrm{T, miss}}}$ [pb]
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.400000e+01	2.789798e-02	8.186520e-03	1.093739e-02
2.400000e+01	3.200000e+01	6.653098e-02	1.859817e-02	2.684980e-02
3.200000e+01	4.000000e+01	7.788173e-02	2.298321e-02	3.360697e-02
4.000000e+01	4.800000e+01	8.488383e-02	2.402037e-02	4.079447e-02
4.800000e+01	5.600000e+01	8.821129e-02	2.470989e-02	3.678281e-02
5.600000e+01	6.400000e+01	8.767215e-02	2.439468e-02	3.753345e-02
6.400000e+01	7.200000e+01	8.470955e-02	2.382183e-02	3.693685e-02
7.200000e+01	8.000000e+01	7.815137e-02	2.169207e-02	3.932603e-02
8.000000e+01	8.800000e+01	6.989528e-02	2.041430e-02	3.054782e-02
8.800000e+01	9.600000e+01	6.069268e-02	1.848300e-02	2.541315e-02
9.600000e+01	1.040000e+02	4.960150e-02	1.441407e-02	2.110936e-02
1.040000e+02	1.120000e+02	3.936214e-02	1.109882e-02	2.254028e-02
1.120000e+02	1.200000e+02	3.047461e-02	8.579100e-03	1.465078e-02
1.200000e+02	1.280000e+02	2.274486e-02	6.234810e-03	1.033335e-02
1.280000e+02	1.360000e+02	1.684787e-02	4.735130e-03	7.122530e-03
1.360000e+02	1.440000e+02	1.221653e-02	3.779218e-03	4.969830e-03
1.440000e+02	1.520000e+02	8.347886e-03	2.459319e-03	4.205744e-03
1.520000e+02	1.600000e+02	5.748355e-03	1.513214e-03	3.074074e-03
1.600000e+02	1.680000e+02	4.113321e-03	1.332587e-03	2.042402e-03
1.680000e+02	1.760000e+02	3.044266e-03	9.605230e-04	1.815682e-03
1.760000e+02	1.840000e+02	2.306765e-03	7.194580e-04	9.587020e-04
1.840000e+02	1.920000e+02	1.717715e-03	5.002240e-04	1.128522e-03
1.920000e+02	2.000000e+02	1.357545e-03	4.012538e-04	8.018110e-04
# END HISTO1D

