# BEGIN PLOT
DrawOnly=johannes.yoda/ATLAS_histo/PtMiss Rivet_ATLASH_FULL_100000.yoda/ATLAS_histo/PtMiss Rivet_ATLASH_WW_100000.yoda/ATLAS_histo/PtMiss Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/PtMiss
RatioPlotReference=johannes.yoda/ATLAS_histo/PtMiss
RatioPlot=1
LogY=1
XLabel=Missing transverse momentum $\mathrm{p}_\mathrm{T, miss}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{dp}_{\mathrm{T, miss}}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D johannes.yoda/ATLAS_histo/PtMiss
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=johannes.yoda/ATLAS_histo/PtMiss
Title=johannes
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	3.200000e+01	4.182033e-03	6.636325e-06	6.636325e-06
3.200000e+01	4.800000e+01	7.155855e-03	9.946072e-06	9.946072e-06
4.800000e+01	6.400000e+01	7.740709e-03	1.049835e-05	1.049835e-05
6.400000e+01	8.000000e+01	7.089239e-03	1.022878e-05	1.022878e-05
8.000000e+01	9.600000e+01	5.562862e-03	9.421505e-06	9.421505e-06
9.600000e+01	1.120000e+02	3.741437e-03	8.020780e-06	8.020780e-06
1.120000e+02	1.280000e+02	2.203711e-03	6.000517e-06	6.000517e-06
1.280000e+02	1.440000e+02	1.129708e-03	4.320001e-06	4.320001e-06
1.440000e+02	1.600000e+02	5.237323e-04	2.845754e-06	2.845754e-06
1.600000e+02	1.760000e+02	2.454571e-04	1.943719e-06	1.943719e-06
1.760000e+02	1.920000e+02	1.271462e-04	1.364626e-06	1.364626e-06
1.920000e+02	2.080000e+02	7.209890e-05	1.047669e-06	1.047669e-06
2.080000e+02	2.240000e+02	4.292609e-05	7.929530e-07	7.929530e-07
2.240000e+02	2.400000e+02	2.710341e-05	6.779014e-07	6.779014e-07
2.400000e+02	2.560000e+02	1.734865e-05	5.267010e-07	5.267010e-07
2.560000e+02	2.720000e+02	1.197378e-05	4.516133e-07	4.516133e-07
2.720000e+02	2.880000e+02	7.950892e-06	3.699887e-07	3.699887e-07
2.880000e+02	3.040000e+02	5.446339e-06	3.043835e-07	3.043835e-07
3.040000e+02	3.200000e+02	3.715008e-06	2.357766e-07	2.357766e-07
3.200000e+02	3.360000e+02	2.693422e-06	2.148327e-07	2.148327e-07
3.360000e+02	3.520000e+02	1.945715e-06	1.972972e-07	1.972972e-07
3.520000e+02	3.680000e+02	1.372850e-06	1.419564e-07	1.419564e-07
3.680000e+02	3.840000e+02	1.032763e-06	1.233054e-07	1.233054e-07
3.840000e+02	4.000000e+02	8.864945e-07	1.226715e-07	1.226715e-07
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASH_FULL_100000.yoda/ATLAS_histo/PtMiss
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=Rivet_ATLASH_FULL_100000.yoda/ATLAS_histo/PtMiss
ScaledBy=9.1029662776149012e-05
Title=Rivet_ATLASH_FULL_100000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	3.200000e+01	5.927942e-03	9.244371e-05	9.244371e-05
3.200000e+01	4.800000e+01	1.002359e-02	1.202090e-04	1.202090e-04
4.800000e+01	6.400000e+01	1.111633e-02	1.265920e-04	1.265920e-04
6.400000e+01	8.000000e+01	1.043877e-02	1.226733e-04	1.226733e-04
8.000000e+01	9.600000e+01	8.638188e-03	1.115929e-04	1.115929e-04
9.600000e+01	1.120000e+02	6.317181e-03	9.543046e-05	9.543046e-05
1.120000e+02	1.280000e+02	4.094201e-03	7.682631e-05	7.682631e-05
1.280000e+02	1.440000e+02	2.499769e-03	6.003098e-05	6.003098e-05
1.440000e+02	1.600000e+02	1.334940e-03	4.386886e-05	4.386886e-05
1.600000e+02	1.760000e+02	8.303731e-04	3.459888e-05	3.459888e-05
1.760000e+02	1.920000e+02	4.742930e-04	2.614862e-05	2.614862e-05
1.920000e+02	2.080000e+02	2.912073e-04	2.048927e-05	2.048927e-05
2.080000e+02	2.240000e+02	1.931771e-04	1.668796e-05	1.668796e-05
2.240000e+02	2.400000e+02	1.182129e-04	1.305443e-05	1.305443e-05
2.400000e+02	2.560000e+02	5.333994e-05	8.769033e-06	8.769033e-06
2.560000e+02	2.720000e+02	3.459888e-05	7.062467e-06	7.062467e-06
2.720000e+02	2.880000e+02	4.036536e-05	7.628337e-06	7.628337e-06
2.880000e+02	3.040000e+02	1.297458e-05	4.324860e-06	4.324860e-06
3.040000e+02	3.200000e+02	2.162430e-05	5.583371e-06	5.583371e-06
3.200000e+02	3.360000e+02	8.649719e-06	3.531234e-06	3.531234e-06
3.360000e+02	3.520000e+02	1.009134e-05	3.814168e-06	3.814168e-06
3.520000e+02	3.680000e+02	1.441620e-06	1.441620e-06	1.441620e-06
3.680000e+02	3.840000e+02	1.441620e-06	1.441620e-06	1.441620e-06
3.840000e+02	4.000000e+02	2.883240e-06	2.038759e-06	2.038759e-06
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASH_WW_100000.yoda/ATLAS_histo/PtMiss
LineColor={[HTML]{109618}}
LineStyle=solid
Path=Rivet_ATLASH_WW_100000.yoda/ATLAS_histo/PtMiss
ScaledBy=0.0022271237432898465
Title=Rivet_ATLASH_WW_100000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	3.200000e+01	6.894294e-03	1.065717e-04	1.065717e-04
3.200000e+01	4.800000e+01	1.159592e-02	1.382132e-04	1.382132e-04
4.800000e+01	6.400000e+01	1.170794e-02	1.388792e-04	1.388792e-04
6.400000e+01	8.000000e+01	1.051194e-02	1.315947e-04	1.315947e-04
8.000000e+01	9.600000e+01	7.838237e-03	1.136335e-04	1.136335e-04
9.600000e+01	1.120000e+02	5.372111e-03	9.407398e-05	9.407398e-05
1.120000e+02	1.280000e+02	3.382074e-03	7.464293e-05	7.464293e-05
1.280000e+02	1.440000e+02	2.146538e-03	5.946567e-05	5.946567e-05
1.440000e+02	1.600000e+02	1.261894e-03	4.559409e-05	4.559409e-05
1.600000e+02	1.760000e+02	6.704844e-04	3.323467e-05	3.323467e-05
1.760000e+02	1.920000e+02	4.167875e-04	2.620320e-05	2.620320e-05
1.920000e+02	2.080000e+02	2.635810e-04	2.083791e-05	2.083791e-05
2.080000e+02	2.240000e+02	1.433222e-04	1.536575e-05	1.536575e-05
2.240000e+02	2.400000e+02	7.907431e-05	1.141339e-05	1.141339e-05
2.400000e+02	2.560000e+02	5.930572e-05	9.884288e-06	9.884288e-06
2.560000e+02	2.720000e+02	4.283191e-05	8.400030e-06	8.400030e-06
2.720000e+02	2.880000e+02	3.294762e-05	7.367313e-06	7.367313e-06
2.880000e+02	3.040000e+02	1.482643e-05	4.942144e-06	4.942144e-06
3.040000e+02	3.200000e+02	9.884288e-06	4.035244e-06	4.035244e-06
3.200000e+02	3.360000e+02	1.153167e-05	4.358561e-06	4.358561e-06
3.360000e+02	3.520000e+02	1.153167e-05	4.358561e-06	4.358561e-06
3.520000e+02	3.680000e+02	9.884288e-06	4.035244e-06	4.035244e-06
3.680000e+02	3.840000e+02	4.942144e-06	2.853348e-06	2.853348e-06
3.840000e+02	4.000000e+02	6.589525e-06	3.294763e-06	3.294763e-06
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/PtMiss
LineColor={[HTML]{FF9900}}
LineStyle=solid
Path=Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/PtMiss
ScaledBy=0.0017185625777299746
Title=Rivet_ATLASH_TTBA_100000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	3.200000e+01	5.838639e-03	8.615160e-05	8.615160e-05
3.200000e+01	4.800000e+01	1.031963e-02	1.145354e-04	1.145354e-04
4.800000e+01	6.400000e+01	1.111667e-02	1.188762e-04	1.188762e-04
6.400000e+01	8.000000e+01	1.036285e-02	1.147750e-04	1.147750e-04
8.000000e+01	9.600000e+01	8.556475e-03	1.042930e-04	1.042930e-04
9.600000e+01	1.120000e+02	6.236525e-03	8.903872e-05	8.903872e-05
1.120000e+02	1.280000e+02	4.078021e-03	7.199997e-05	7.199997e-05
1.280000e+02	1.440000e+02	2.468678e-03	5.601957e-05	5.601957e-05
1.440000e+02	1.600000e+02	1.412307e-03	4.237134e-05	4.237134e-05
1.600000e+02	1.760000e+02	8.173838e-04	3.223447e-05	3.223447e-05
1.760000e+02	1.920000e+02	4.741590e-04	2.455102e-05	2.455102e-05
1.920000e+02	2.080000e+02	3.101737e-04	1.985683e-05	1.985683e-05
2.080000e+02	2.240000e+02	1.652565e-04	1.449395e-05	1.449395e-05
2.240000e+02	2.400000e+02	1.067811e-04	1.165077e-05	1.165077e-05
2.400000e+02	2.560000e+02	6.737381e-05	9.254503e-06	9.254503e-06
2.560000e+02	2.720000e+02	4.194972e-05	7.302509e-06	7.302509e-06
2.720000e+02	2.880000e+02	3.305129e-05	6.481892e-06	6.481892e-06
2.880000e+02	3.040000e+02	1.652565e-05	4.583390e-06	4.583390e-06
3.040000e+02	3.200000e+02	1.906806e-05	4.923351e-06	4.923351e-06
3.200000e+02	3.360000e+02	1.525444e-05	4.403579e-06	4.403579e-06
3.360000e+02	3.520000e+02	1.016963e-05	3.595507e-06	3.595507e-06
3.520000e+02	3.680000e+02	1.016963e-05	3.595507e-06	3.595507e-06
3.680000e+02	3.840000e+02	2.542408e-06	1.797753e-06	1.797753e-06
3.840000e+02	4.000000e+02	5.084815e-06	2.542408e-06	2.542408e-06
# END HISTO1D

