# BEGIN PLOT
DrawOnly=johannes.yoda/ATLAS_histo/deltaRl Rivet_ATLASH_FULL_100000.yoda/ATLAS_histo/deltaRl Rivet_ATLASH_WW_100000.yoda/ATLAS_histo/deltaRl Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/deltaRl
RatioPlotReference=johannes.yoda/ATLAS_histo/deltaRl
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=Separation of the two leptons $\Delta \mathrm{R}_{\mathrm{ll}}$
YLabel=$\mathrm{d}\sigma/\Delta \mathrm{R}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D johannes.yoda/ATLAS_histo/deltaRl
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=johannes.yoda/ATLAS_histo/deltaRl
Title=johannes
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e-01	1.615964e-02	1.456035e-04	1.456035e-04
2.500000e-01	5.000000e-01	4.788924e-02	2.569967e-04	2.569967e-04
5.000000e-01	7.500000e-01	7.903009e-02	3.310070e-04	3.310070e-04
7.500000e-01	1.000000e+00	1.088738e-01	3.869495e-04	3.869495e-04
1.000000e+00	1.250000e+00	1.374276e-01	4.245142e-04	4.245142e-04
1.250000e+00	1.500000e+00	1.642988e-01	4.617089e-04	4.617089e-04
1.500000e+00	1.750000e+00	1.907731e-01	4.907040e-04	4.907040e-04
1.750000e+00	2.000000e+00	2.156649e-01	5.090413e-04	5.090413e-04
2.000000e+00	2.250000e+00	2.397558e-01	5.421788e-04	5.421788e-04
2.250000e+00	2.500000e+00	2.624482e-01	5.424674e-04	5.424674e-04
2.500000e+00	2.750000e+00	2.809682e-01	5.542434e-04	5.542434e-04
2.750000e+00	3.000000e+00	2.958019e-01	5.686871e-04	5.686871e-04
3.000000e+00	3.250000e+00	2.652947e-01	5.332290e-04	5.332290e-04
3.250000e+00	3.500000e+00	1.247449e-01	3.824446e-04	3.824446e-04
3.500000e+00	3.750000e+00	6.382474e-02	2.834483e-04	2.834483e-04
3.750000e+00	4.000000e+00	3.232578e-02	2.045827e-04	2.045827e-04
4.000000e+00	4.250000e+00	1.591404e-02	1.495496e-04	1.495496e-04
4.250000e+00	4.500000e+00	7.419968e-03	1.062500e-04	1.062500e-04
4.500000e+00	4.750000e+00	3.184597e-03	7.156564e-05	7.156564e-05
4.750000e+00	5.000000e+00	1.276277e-03	4.638080e-05	4.638080e-05
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASH_FULL_100000.yoda/ATLAS_histo/deltaRl
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=Rivet_ATLASH_FULL_100000.yoda/ATLAS_histo/deltaRl
ScaledBy=0.00014688476998651068
Title=Rivet_ATLASH_FULL_100000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e-01	3.379485e-02	2.243043e-03	2.243043e-03
2.500000e-01	5.000000e-01	7.533124e-02	3.348883e-03	3.348883e-03
5.000000e-01	7.500000e-01	1.299687e-01	4.398774e-03	4.398774e-03
7.500000e-01	1.000000e+00	1.728450e-01	5.072719e-03	5.072719e-03
1.000000e+00	1.250000e+00	2.301623e-01	5.853685e-03	5.853685e-03
1.250000e+00	1.500000e+00	2.618728e-01	6.243923e-03	6.243923e-03
1.500000e+00	1.750000e+00	2.943278e-01	6.619543e-03	6.619543e-03
1.750000e+00	2.000000e+00	3.351198e-01	7.063377e-03	7.063377e-03
2.000000e+00	2.250000e+00	3.678726e-01	7.400499e-03	7.400499e-03
2.250000e+00	2.500000e+00	3.952658e-01	7.671088e-03	7.671088e-03
2.500000e+00	2.750000e+00	4.360576e-01	8.057203e-03	8.057203e-03
2.750000e+00	3.000000e+00	4.515408e-01	8.198999e-03	8.198999e-03
3.000000e+00	3.250000e+00	4.260832e-01	7.964517e-03	7.964517e-03
3.250000e+00	3.500000e+00	1.993450e-01	5.447722e-03	5.447722e-03
3.500000e+00	3.750000e+00	9.572724e-02	3.775115e-03	3.775115e-03
3.750000e+00	4.000000e+00	5.285096e-02	2.805039e-03	2.805039e-03
4.000000e+00	4.250000e+00	2.143814e-02	1.786512e-03	1.786512e-03
4.250000e+00	4.500000e+00	1.220783e-02	1.348129e-03	1.348129e-03
4.500000e+00	4.750000e+00	5.359536e-03	8.932559e-04	8.932559e-04
4.750000e+00	5.000000e+00	1.488760e-03	4.707873e-04	4.707873e-04
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASH_WW_100000.yoda/ATLAS_histo/deltaRl
LineColor={[HTML]{109618}}
LineStyle=solid
Path=Rivet_ATLASH_WW_100000.yoda/ATLAS_histo/deltaRl
ScaledBy=0.0065698505323603723
Title=Rivet_ATLASH_WW_100000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e-01	2.270430e-02	2.657337e-03	2.657337e-03
2.500000e-01	5.000000e-01	6.033744e-02	4.331976e-03	4.331976e-03
5.000000e-01	7.500000e-01	1.141435e-01	5.958244e-03	5.958244e-03
7.500000e-01	1.000000e+00	1.570640e-01	6.989256e-03	6.989256e-03
1.000000e+00	1.250000e+00	1.822564e-01	7.528944e-03	7.528944e-03
1.250000e+00	1.500000e+00	2.528575e-01	8.868099e-03	8.868099e-03
1.500000e+00	1.750000e+00	2.802270e-01	9.335716e-03	9.335716e-03
1.750000e+00	2.000000e+00	3.321670e-01	1.016415e-02	1.016415e-02
2.000000e+00	2.250000e+00	3.707332e-01	1.073800e-02	1.073800e-02
2.250000e+00	2.500000e+00	3.921934e-01	1.104442e-02	1.104442e-02
2.500000e+00	2.750000e+00	4.509760e-01	1.184320e-02	1.184320e-02
2.750000e+00	3.000000e+00	5.097580e-01	1.259142e-02	1.259142e-02
3.000000e+00	3.250000e+00	4.581292e-01	1.193676e-02	1.193676e-02
3.250000e+00	3.500000e+00	2.018506e-01	7.923328e-03	7.923328e-03
3.500000e+00	3.750000e+00	1.147656e-01	5.974456e-03	5.974456e-03
3.750000e+00	4.000000e+00	5.567220e-02	4.161134e-03	4.161134e-03
4.000000e+00	4.250000e+00	2.550346e-02	2.816386e-03	2.816386e-03
4.250000e+00	4.500000e+00	1.150766e-02	1.891847e-03	1.891847e-03
4.500000e+00	4.750000e+00	4.976284e-03	1.244071e-03	1.244071e-03
4.750000e+00	5.000000e+00	1.866107e-03	7.618349e-04	7.618349e-04
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/deltaRl
LineColor={[HTML]{FF9900}}
LineStyle=solid
Path=Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/deltaRl
ScaledBy=0.0051543248762692872
Title=Rivet_ATLASH_TTBA_100000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e-01	1.903251e-02	2.155008e-03	2.155008e-03
2.500000e-01	5.000000e-01	7.124992e-02	4.169587e-03	4.169587e-03
5.000000e-01	7.500000e-01	1.127310e-01	5.244723e-03	5.244723e-03
7.500000e-01	1.000000e+00	1.527481e-01	6.105043e-03	6.105043e-03
1.000000e+00	1.250000e+00	2.052096e-01	7.076191e-03	7.076191e-03
1.250000e+00	1.500000e+00	2.388824e-01	7.634716e-03	7.634716e-03
1.500000e+00	1.750000e+00	2.732874e-01	8.166022e-03	8.166022e-03
1.750000e+00	2.000000e+00	3.137925e-01	8.750281e-03	8.750281e-03
2.000000e+00	2.250000e+00	3.772342e-01	9.594146e-03	9.594146e-03
2.250000e+00	2.500000e+00	4.131032e-01	1.003991e-02	1.003991e-02
2.500000e+00	2.750000e+00	4.623924e-01	1.062200e-02	1.062200e-02
2.750000e+00	3.000000e+00	4.989936e-01	1.103439e-02	1.103439e-02
3.000000e+00	3.250000e+00	4.750808e-01	1.076675e-02	1.076675e-02
3.250000e+00	3.500000e+00	1.930092e-01	6.862618e-03	6.862618e-03
3.500000e+00	3.750000e+00	1.012627e-01	4.970791e-03	4.970791e-03
3.750000e+00	4.000000e+00	4.514120e-02	3.318848e-03	3.318848e-03
4.000000e+00	4.250000e+00	2.781675e-02	2.605277e-03	2.605277e-03
4.250000e+00	4.500000e+00	1.024828e-02	1.581343e-03	1.581343e-03
