# BEGIN PLOT
DrawOnly=Rivet_ATLASH_WW_100000.yoda/ATLAS_histo/Mlb
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D Rivet_ATLASH_WW_100000.yoda/ATLAS_histo/Mlb
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=Rivet_ATLASH_WW_100000.yoda/ATLAS_histo/Mlb
ScaledBy=0.01593941665661467
Title=Rivet_ATLASH_WW_100000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.400000e+01	3.301264e-04	8.822999e-05	8.822999e-05
2.400000e+01	3.200000e+01	2.027919e-03	2.186762e-04	2.186762e-04
3.200000e+01	4.000000e+01	3.725713e-03	2.964018e-04	2.964018e-04
4.000000e+01	4.800000e+01	5.376344e-03	3.560571e-04	3.560571e-04
4.800000e+01	5.600000e+01	6.744010e-03	3.987817e-04	3.987817e-04
5.600000e+01	6.400000e+01	7.498585e-03	4.204997e-04	4.204997e-04
6.400000e+01	7.200000e+01	8.677608e-03	4.523517e-04	4.523517e-04
7.200000e+01	8.000000e+01	9.762309e-03	4.797913e-04	4.797913e-04
8.000000e+01	8.800000e+01	1.061121e-02	5.002170e-04	5.002170e-04
8.800000e+01	9.600000e+01	1.075269e-02	5.035407e-04	5.035407e-04
9.600000e+01	1.040000e+02	9.243539e-03	4.668692e-04	4.668692e-04
1.040000e+02	1.120000e+02	1.035182e-02	4.940654e-04	4.940654e-04
1.120000e+02	1.200000e+02	9.479344e-03	4.727866e-04	4.727866e-04
1.200000e+02	1.280000e+02	8.559706e-03	4.492680e-04	4.492680e-04
1.280000e+02	1.360000e+02	7.357102e-03	4.165140e-04	4.165140e-04
1.360000e+02	1.440000e+02	5.352764e-03	3.552754e-04	3.552754e-04
1.440000e+02	1.520000e+02	4.197321e-03	3.146025e-04	3.146025e-04
1.520000e+02	1.600000e+02	1.579890e-03	1.930144e-04	1.930144e-04
1.600000e+02	1.680000e+02	9.667987e-04	1.509886e-04	1.509886e-04
1.680000e+02	1.760000e+02	5.187700e-04	1.106021e-04	1.106021e-04
1.760000e+02	1.840000e+02	2.593850e-04	7.820753e-05	7.820753e-05
1.840000e+02	1.920000e+02	2.593850e-04	7.820753e-05	7.820753e-05
1.920000e+02	2.000000e+02	1.650632e-04	6.238802e-05	6.238802e-05
# END HISTO1D

