# BEGIN PLOT
RatioPlotReference=johannes.yoda/ATLAS_histo/PtMiss
RatioPlot=1
DrawOnly=johannes.yoda/ATLAS_histo/PtMiss Rivet_ATLASH_WW_100000.yoda/ATLAS_histo/PtMiss
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D johannes.yoda/ATLAS_histo/PtMiss
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=johannes.yoda/ATLAS_histo/PtMiss
Title=johannes
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	3.200000e+01	4.182033e-03	6.636325e-06	6.636325e-06
3.200000e+01	4.800000e+01	7.155855e-03	9.946072e-06	9.946072e-06
4.800000e+01	6.400000e+01	7.740709e-03	1.049835e-05	1.049835e-05
6.400000e+01	8.000000e+01	7.089239e-03	1.022878e-05	1.022878e-05
8.000000e+01	9.600000e+01	5.562862e-03	9.421505e-06	9.421505e-06
9.600000e+01	1.120000e+02	3.741437e-03	8.020780e-06	8.020780e-06
1.120000e+02	1.280000e+02	2.203711e-03	6.000517e-06	6.000517e-06
1.280000e+02	1.440000e+02	1.129708e-03	4.320001e-06	4.320001e-06
1.440000e+02	1.600000e+02	5.237323e-04	2.845754e-06	2.845754e-06
1.600000e+02	1.760000e+02	2.454571e-04	1.943719e-06	1.943719e-06
1.760000e+02	1.920000e+02	1.271462e-04	1.364626e-06	1.364626e-06
1.920000e+02	2.080000e+02	7.209890e-05	1.047669e-06	1.047669e-06
2.080000e+02	2.240000e+02	4.292609e-05	7.929530e-07	7.929530e-07
2.240000e+02	2.400000e+02	2.710341e-05	6.779014e-07	6.779014e-07
2.400000e+02	2.560000e+02	1.734865e-05	5.267010e-07	5.267010e-07
2.560000e+02	2.720000e+02	1.197378e-05	4.516133e-07	4.516133e-07
2.720000e+02	2.880000e+02	7.950892e-06	3.699887e-07	3.699887e-07
2.880000e+02	3.040000e+02	5.446339e-06	3.043835e-07	3.043835e-07
3.040000e+02	3.200000e+02	3.715008e-06	2.357766e-07	2.357766e-07
3.200000e+02	3.360000e+02	2.693422e-06	2.148327e-07	2.148327e-07
3.360000e+02	3.520000e+02	1.945715e-06	1.972972e-07	1.972972e-07
3.520000e+02	3.680000e+02	1.372850e-06	1.419564e-07	1.419564e-07
3.680000e+02	3.840000e+02	1.032763e-06	1.233054e-07	1.233054e-07
3.840000e+02	4.000000e+02	8.864945e-07	1.226715e-07	1.226715e-07
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASH_WW_100000.yoda/ATLAS_histo/PtMiss
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=Rivet_ATLASH_WW_100000.yoda/ATLAS_histo/PtMiss
ScaledBy=0.0022271237432898465
Title=Rivet_ATLASH_WW_100000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+01	3.000000e+01	6.048305e-03	1.030928e-04	1.030928e-04
3.000000e+01	4.500000e+01	1.134629e-02	1.412012e-04	1.412012e-04
4.500000e+01	6.000000e+01	1.171178e-02	1.434574e-04	1.434574e-04
6.000000e+01	7.500000e+01	1.126018e-02	1.406644e-04	1.406644e-04
7.500000e+01	9.000000e+01	8.648973e-03	1.232803e-04	1.232803e-04
9.000000e+01	1.050000e+02	6.271471e-03	1.049775e-04	1.049775e-04
1.050000e+02	1.200000e+02	4.229597e-03	8.621065e-05	8.621065e-05
1.200000e+02	1.350000e+02	2.709613e-03	6.900254e-05	6.900254e-05
1.350000e+02	1.500000e+02	1.764235e-03	5.567878e-05	5.567878e-05
1.500000e+02	1.650000e+02	1.047295e-03	4.289888e-05	4.289888e-05
1.650000e+02	1.800000e+02	5.658206e-04	3.153195e-05	3.153195e-05
1.800000e+02	1.950000e+02	3.865855e-04	2.606359e-05	2.606359e-05
1.950000e+02	2.100000e+02	2.266797e-04	1.995803e-05	1.995803e-05
2.100000e+02	2.250000e+02	1.458481e-04	1.600892e-05	1.600892e-05
2.250000e+02	2.400000e+02	7.380267e-05	1.138800e-05	1.138800e-05
2.400000e+02	2.550000e+02	6.150223e-05	1.039577e-05	1.039577e-05
2.550000e+02	2.700000e+02	4.041575e-05	8.427268e-06	8.427268e-06
2.700000e+02	2.850000e+02	3.338693e-05	7.659486e-06	7.659486e-06
2.850000e+02	3.000000e+02	2.284369e-05	6.335699e-06	6.335699e-06
# END HISTO1D

