# BEGIN PLOT
RatioPlotReference=johannes.yoda/ATLAS_histo/deltaRb
RatioPlot=1
DrawOnly=johannes.yoda/ATLAS_histo/deltaRb Rivet_ATLASH_WW_100000.yoda/ATLAS_histo/deltaRb
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D johannes.yoda/ATLAS_histo/deltaRb
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=johannes.yoda/ATLAS_histo/deltaRb
Title=johannes
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e-01	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	7.500000e-01	6.961049e-02	3.199917e-04	3.199917e-04
7.500000e-01	1.000000e+00	9.680879e-02	3.425322e-04	3.425322e-04
1.000000e+00	1.250000e+00	1.237382e-01	3.849339e-04	3.849339e-04
1.250000e+00	1.500000e+00	1.511826e-01	4.224225e-04	4.224225e-04
1.500000e+00	1.750000e+00	1.787195e-01	4.566446e-04	4.566446e-04
1.750000e+00	2.000000e+00	2.080781e-01	4.923512e-04	4.923512e-04
2.000000e+00	2.250000e+00	2.388423e-01	5.248159e-04	5.248159e-04
2.250000e+00	2.500000e+00	2.713210e-01	5.547326e-04	5.547326e-04
2.500000e+00	2.750000e+00	3.037201e-01	5.872135e-04	5.872135e-04
2.750000e+00	3.000000e+00	3.326049e-01	6.209123e-04	6.209123e-04
3.000000e+00	3.250000e+00	3.042685e-01	5.886780e-04	5.886780e-04
3.250000e+00	3.500000e+00	1.370805e-01	4.142641e-04	4.142641e-04
3.500000e+00	3.750000e+00	6.953510e-02	3.115803e-04	3.115803e-04
3.750000e+00	4.000000e+00	3.552054e-02	2.370463e-04	2.370463e-04
4.000000e+00	4.250000e+00	1.801871e-02	1.789066e-04	1.789066e-04
4.250000e+00	4.500000e+00	8.608359e-03	1.532287e-04	1.532287e-04
4.500000e+00	4.750000e+00	3.772100e-03	1.043047e-04	1.043047e-04
4.750000e+00	5.000000e+00	1.503743e-03	6.051119e-05	6.051119e-05
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASH_WW_100000.yoda/ATLAS_histo/deltaRb
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=Rivet_ATLASH_WW_100000.yoda/ATLAS_histo/deltaRb
ScaledBy=0.0065698505323603723
Title=Rivet_ATLASH_WW_100000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	6.000000e-01	2.488143e-02	3.110178e-03	3.110178e-03
6.000000e-01	8.000000e-01	1.069123e-01	6.447059e-03	6.447059e-03
8.000000e-01	1.000000e+00	1.520100e-01	7.687474e-03	7.687474e-03
1.000000e+00	1.200000e+00	1.780577e-01	8.320090e-03	8.320090e-03
1.200000e+00	1.400000e+00	1.920535e-01	8.640895e-03	8.640895e-03
1.400000e+00	1.600000e+00	2.499805e-01	9.858271e-03	9.858271e-03
1.600000e+00	1.800000e+00	2.768059e-01	1.037374e-02	1.037374e-02
1.800000e+00	2.000000e+00	3.051862e-01	1.089256e-02	1.089256e-02
2.000000e+00	2.200000e+00	3.650571e-01	1.191319e-02	1.191319e-02
2.200000e+00	2.400000e+00	4.132649e-01	1.267541e-02	1.267541e-02
2.400000e+00	2.600000e+00	4.548635e-01	1.329806e-02	1.329806e-02
2.600000e+00	2.800000e+00	5.054040e-01	1.401738e-02	1.401738e-02
2.800000e+00	3.000000e+00	5.648860e-01	1.481931e-02	1.481931e-02
3.000000e+00	3.200000e+00	5.547780e-01	1.468613e-02	1.468613e-02
3.200000e+00	3.400000e+00	2.954669e-01	1.071771e-02	1.071771e-02
3.400000e+00	3.600000e+00	1.586191e-01	7.852815e-03	7.852815e-03
3.600000e+00	3.800000e+00	8.358605e-02	5.700520e-03	5.700520e-03
3.800000e+00	4.000000e+00	5.287305e-02	4.533825e-03	4.533825e-03
# END HISTO1D

