# BEGIN PLOT
DrawOnly=johannes.yoda/ATLAS_histo/deltaRb Rivet_ATLASH_FULL_100000.yoda/ATLAS_histo/deltaRb
RatioPlotReference=johannes.yoda/ATLAS_histo/deltaRb
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=Separation of the two b-jets $\Delta \mathrm{R}_{\mathrm{bb}}$
YLabel=$\mathrm{d}\sigma/\Delta \mathrm{R}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D johannes.yoda/ATLAS_histo/deltaRb
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=johannes.yoda/ATLAS_histo/deltaRb
Title=johannes
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e-01	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	7.500000e-01	6.961049e-02	3.199917e-04	3.199917e-04
7.500000e-01	1.000000e+00	9.680879e-02	3.425322e-04	3.425322e-04
1.000000e+00	1.250000e+00	1.237382e-01	3.849339e-04	3.849339e-04
1.250000e+00	1.500000e+00	1.511826e-01	4.224225e-04	4.224225e-04
1.500000e+00	1.750000e+00	1.787195e-01	4.566446e-04	4.566446e-04
1.750000e+00	2.000000e+00	2.080781e-01	4.923512e-04	4.923512e-04
2.000000e+00	2.250000e+00	2.388423e-01	5.248159e-04	5.248159e-04
2.250000e+00	2.500000e+00	2.713210e-01	5.547326e-04	5.547326e-04
2.500000e+00	2.750000e+00	3.037201e-01	5.872135e-04	5.872135e-04
2.750000e+00	3.000000e+00	3.326049e-01	6.209123e-04	6.209123e-04
3.000000e+00	3.250000e+00	3.042685e-01	5.886780e-04	5.886780e-04
3.250000e+00	3.500000e+00	1.370805e-01	4.142641e-04	4.142641e-04
3.500000e+00	3.750000e+00	6.953510e-02	3.115803e-04	3.115803e-04
3.750000e+00	4.000000e+00	3.552054e-02	2.370463e-04	2.370463e-04
4.000000e+00	4.250000e+00	1.801871e-02	1.789066e-04	1.789066e-04
4.250000e+00	4.500000e+00	8.608359e-03	1.532287e-04	1.532287e-04
4.500000e+00	4.750000e+00	3.772100e-03	1.043047e-04	1.043047e-04
4.750000e+00	5.000000e+00	1.503743e-03	6.051119e-05	6.051119e-05
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASH_FULL_100000.yoda/ATLAS_histo/deltaRb
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=Rivet_ATLASH_FULL_100000.yoda/ATLAS_histo/deltaRb
ScaledBy=0.00014688476998651068
Title=Rivet_ATLASH_FULL_100000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e-01	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	7.500000e-01	7.622452e-02	3.368679e-03	3.368679e-03
7.500000e-01	1.000000e+00	1.536400e-01	4.782605e-03	4.782605e-03
1.000000e+00	1.250000e+00	1.986006e-01	5.437541e-03	5.437541e-03
1.250000e+00	1.500000e+00	2.213786e-01	5.740902e-03	5.740902e-03
1.500000e+00	1.750000e+00	2.652970e-01	6.284612e-03	6.284612e-03
1.750000e+00	2.000000e+00	3.185946e-01	6.887023e-03	6.887023e-03
2.000000e+00	2.250000e+00	3.678726e-01	7.400499e-03	7.400499e-03
2.250000e+00	2.500000e+00	4.238500e-01	7.943618e-03	7.943618e-03
2.500000e+00	2.750000e+00	4.781896e-01	8.437474e-03	8.437474e-03
2.750000e+00	3.000000e+00	5.453328e-01	9.010380e-03	9.010380e-03
3.000000e+00	3.250000e+00	5.032008e-01	8.655318e-03	8.655318e-03
3.250000e+00	3.500000e+00	2.301623e-01	5.853685e-03	5.853685e-03
3.500000e+00	3.750000e+00	1.071907e-01	3.994762e-03	3.994762e-03
3.750000e+00	4.000000e+00	5.925264e-02	2.970067e-03	2.970067e-03
4.000000e+00	4.250000e+00	2.694655e-02	2.002921e-03	2.002921e-03
4.250000e+00	4.500000e+00	1.310109e-02	1.396580e-03	1.396580e-03
4.500000e+00	4.750000e+00	5.955040e-03	9.415744e-04	9.415744e-04
4.750000e+00	5.000000e+00	3.275272e-03	6.982903e-04	6.982903e-04
# END HISTO1D

