# BEGIN PLOT
DrawOnly=johannes.yoda/ATLAS_histo/Eta1 Rivet_ATLASH_FULL_HThalf.yoda/ATLAS_histo/Eta1
RatioPlotReference=johannes.yoda/ATLAS_histo/Eta1
RatioPlot=1
LogY=1
LegendXPos=0.65
XLabel=$1^\mathrm{st}$ jet $\eta$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D johannes.yoda/ATLAS_histo/Eta1
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=johannes.yoda/ATLAS_histo/Eta1
Title=johannes
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.250000e+00	2.240794e-02	2.046924e-04	2.046924e-04
-2.250000e+00	-2.000000e+00	3.795953e-02	2.487375e-04	2.487375e-04
-2.000000e+00	-1.750000e+00	5.914884e-02	3.007976e-04	3.007976e-04
-1.750000e+00	-1.500000e+00	8.530214e-02	3.466967e-04	3.466967e-04
-1.500000e+00	-1.250000e+00	1.152604e-01	3.965264e-04	3.965264e-04
-1.250000e+00	-1.000000e+00	1.454568e-01	4.233249e-04	4.233249e-04
-1.000000e+00	-7.500000e-01	1.740424e-01	4.491400e-04	4.491400e-04
-7.500000e-01	-5.000000e-01	1.979097e-01	4.673173e-04	4.673173e-04
-5.000000e-01	-2.500000e-01	2.153460e-01	4.753314e-04	4.753314e-04
-2.500000e-01	0.000000e+00	2.242032e-01	4.810700e-04	4.810700e-04
0.000000e+00	2.500000e-01	2.237554e-01	4.774615e-04	4.774615e-04
2.500000e-01	5.000000e-01	2.150755e-01	4.880791e-04	4.880791e-04
5.000000e-01	7.500000e-01	1.979327e-01	4.641134e-04	4.641134e-04
7.500000e-01	1.000000e+00	1.741725e-01	4.456727e-04	4.456727e-04
1.000000e+00	1.250000e+00	1.455471e-01	4.219578e-04	4.219578e-04
1.250000e+00	1.500000e+00	1.148002e-01	3.883707e-04	3.883707e-04
1.500000e+00	1.750000e+00	8.547220e-02	3.466751e-04	3.466751e-04
1.750000e+00	2.000000e+00	5.929059e-02	3.160799e-04	3.160799e-04
2.000000e+00	2.250000e+00	3.808454e-02	2.502775e-04	2.502775e-04
2.250000e+00	2.500000e+00	2.248618e-02	1.973066e-04	1.973066e-04
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASH_FULL_HThalf.yoda/ATLAS_histo/Eta1
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=Rivet_ATLASH_FULL_HThalf.yoda/ATLAS_histo/Eta1
ScaledBy=0.00014941366326492892
Title=Rivet_ATLASH_FULL_HThalf
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.250000e+00	1.852730e-02	3.327600e-03	3.327600e-03
-2.250000e+00	-2.000000e+00	3.944521e-02	4.855369e-03	4.855369e-03
-2.000000e+00	-1.750000e+00	6.753496e-02	6.353156e-03	6.353156e-03
-1.750000e+00	-1.500000e+00	9.741772e-02	7.630344e-03	7.630344e-03
-1.500000e+00	-1.250000e+00	1.051872e-01	7.928785e-03	7.928785e-03
-1.250000e+00	-1.000000e+00	1.494137e-01	9.449750e-03	9.449750e-03
-1.000000e+00	-7.500000e-01	1.804917e-01	1.038613e-02	1.038613e-02
-7.500000e-01	-5.000000e-01	2.055932e-01	1.108484e-02	1.108484e-02
-5.000000e-01	-2.500000e-01	1.936401e-01	1.075778e-02	1.075778e-02
-2.500000e-01	0.000000e+00	2.169486e-01	1.138685e-02	1.138685e-02
0.000000e+00	2.500000e-01	2.384642e-01	1.193814e-02	1.193814e-02
2.500000e-01	5.000000e-01	2.217299e-01	1.151164e-02	1.151164e-02
5.000000e-01	7.500000e-01	2.002143e-01	1.093888e-02	1.093888e-02
7.500000e-01	1.000000e+00	1.840776e-01	1.048880e-02	1.048880e-02
1.000000e+00	1.250000e+00	1.488160e-01	9.430831e-03	9.430831e-03
1.250000e+00	1.500000e+00	1.213239e-01	8.515268e-03	8.515268e-03
1.500000e+00	1.750000e+00	1.039919e-01	7.883606e-03	7.883606e-03
1.750000e+00	2.000000e+00	6.813264e-02	6.381205e-03	6.381205e-03
2.000000e+00	2.250000e+00	4.303112e-02	5.071268e-03	5.071268e-03
2.250000e+00	2.500000e+00	3.287100e-02	4.432325e-03	4.432325e-03
# END HISTO1D

