# BEGIN PLOT
DrawOnly=johannes.yoda/ATLAS_histo/Mlb Rivet_ATLASH_FULL_HThalf.yoda/ATLAS_histo/Mlb
RatioPlotReference=johannes.yoda/ATLAS_histo/Mlb
RatioPlot=1
LogY=1
LegendXPos=0.65
XLabel=$\mathrm{m}_\mathrm{lb}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{dm}_{\mathrm{lb}}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D johannes.yoda/ATLAS_histo/Mlb
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=johannes.yoda/ATLAS_histo/Mlb
Title=johannes
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.600000e+01	6.943358e-08	2.688880e-08	2.688880e-08
1.600000e+01	2.400000e+01	1.058791e-05	5.545169e-07	5.545169e-07
2.400000e+01	3.200000e+01	8.226675e-05	1.548904e-06	1.548904e-06
3.200000e+01	4.000000e+01	2.671752e-04	2.773794e-06	2.773794e-06
4.000000e+01	4.800000e+01	6.395203e-04	4.336206e-06	4.336206e-06
4.800000e+01	5.600000e+01	1.300953e-03	6.266320e-06	6.266320e-06
5.600000e+01	6.400000e+01	2.319509e-03	8.514271e-06	8.514271e-06
6.400000e+01	7.200000e+01	3.684000e-03	1.091420e-05	1.091420e-05
7.200000e+01	8.000000e+01	5.262277e-03	1.309832e-05	1.309832e-05
8.000000e+01	8.800000e+01	6.767958e-03	1.487799e-05	1.487799e-05
8.800000e+01	9.600000e+01	7.768348e-03	1.587089e-05	1.587089e-05
9.600000e+01	1.040000e+02	8.026400e-03	1.585660e-05	1.585660e-05
1.040000e+02	1.120000e+02	7.432209e-03	1.464146e-05	1.464146e-05
1.120000e+02	1.200000e+02	6.038858e-03	1.235626e-05	1.235626e-05
1.200000e+02	1.280000e+02	4.097976e-03	9.232282e-06	9.232282e-06
1.280000e+02	1.360000e+02	2.152730e-03	5.964334e-06	5.964334e-06
1.360000e+02	1.440000e+02	7.628034e-04	3.178713e-06	3.178713e-06
1.440000e+02	1.520000e+02	1.710201e-04	2.116735e-06	2.116735e-06
1.520000e+02	1.600000e+02	6.374713e-05	1.933989e-06	1.933989e-06
1.600000e+02	1.680000e+02	4.335827e-05	1.638889e-06	1.638889e-06
1.680000e+02	1.760000e+02	3.360855e-05	1.766261e-06	1.766261e-06
1.760000e+02	1.840000e+02	2.440600e-05	1.536746e-06	1.536746e-06
1.840000e+02	1.920000e+02	1.829057e-05	1.361372e-06	1.361372e-06
1.920000e+02	2.000000e+02	1.749633e-05	3.197952e-06	3.197952e-06
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASH_FULL_HThalf.yoda/ATLAS_histo/Mlb
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=Rivet_ATLASH_FULL_HThalf.yoda/ATLAS_histo/Mlb
ScaledBy=0.00014941366326492892
Title=Rivet_ATLASH_FULL_HThalf
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	3.200000e+01	1.494136e-04	5.282570e-05	5.282570e-05
3.200000e+01	4.000000e+01	6.536848e-04	1.104929e-04	1.104929e-04
4.000000e+01	4.800000e+01	1.213986e-03	1.505764e-04	1.505764e-04
4.800000e+01	5.600000e+01	2.035761e-03	1.949905e-04	1.949905e-04
5.600000e+01	6.400000e+01	3.062980e-03	2.391786e-04	2.391786e-04
6.400000e+01	7.200000e+01	3.529897e-03	2.567623e-04	2.567623e-04
7.200000e+01	8.000000e+01	4.818591e-03	2.999923e-04	2.999923e-04
8.000000e+01	8.800000e+01	4.127553e-03	2.776492e-04	2.776492e-04
8.800000e+01	9.600000e+01	4.930651e-03	3.034606e-04	3.034606e-04
9.600000e+01	1.040000e+02	3.828725e-03	2.674098e-04	2.674098e-04
1.040000e+02	1.120000e+02	2.988274e-03	2.362437e-04	2.362437e-04
1.120000e+02	1.200000e+02	1.961054e-03	1.913793e-04	1.913793e-04
1.200000e+02	1.280000e+02	1.139279e-03	1.458698e-04	1.458698e-04
1.280000e+02	1.360000e+02	5.229479e-04	9.882785e-05	9.882785e-05
1.360000e+02	1.440000e+02	2.801506e-04	7.233457e-05	7.233457e-05
1.440000e+02	1.520000e+02	1.120602e-04	4.574841e-05	4.574841e-05
1.520000e+02	1.600000e+02	9.338354e-05	4.176239e-05	4.176239e-05
1.600000e+02	1.680000e+02	1.120602e-04	4.574841e-05	4.574841e-05
1.680000e+02	1.760000e+02	1.867671e-05	1.867671e-05	1.867671e-05
1.760000e+02	1.840000e+02	3.735341e-05	2.641285e-05	2.641285e-05
1.840000e+02	1.920000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.920000e+02	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

