# BEGIN PLOT
DrawOnly=johannes.yoda/ATLAS_histo/deltaRb Rivet_ATLASH_FULL_HThalf.yoda/ATLAS_histo/deltaRb
RatioPlotReference=johannes.yoda/ATLAS_histo/deltaRb
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=Separation of the two b-jets $\Delta \mathrm{R}_{\mathrm{bb}}$
YLabel=$\mathrm{d}\sigma/\Delta \mathrm{R}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D johannes.yoda/ATLAS_histo/deltaRb
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=johannes.yoda/ATLAS_histo/deltaRb
Title=johannes
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e-01	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	7.500000e-01	6.961049e-02	3.199917e-04	3.199917e-04
7.500000e-01	1.000000e+00	9.680879e-02	3.425322e-04	3.425322e-04
1.000000e+00	1.250000e+00	1.237382e-01	3.849339e-04	3.849339e-04
1.250000e+00	1.500000e+00	1.511826e-01	4.224225e-04	4.224225e-04
1.500000e+00	1.750000e+00	1.787195e-01	4.566446e-04	4.566446e-04
1.750000e+00	2.000000e+00	2.080781e-01	4.923512e-04	4.923512e-04
2.000000e+00	2.250000e+00	2.388423e-01	5.248159e-04	5.248159e-04
2.250000e+00	2.500000e+00	2.713210e-01	5.547326e-04	5.547326e-04
2.500000e+00	2.750000e+00	3.037201e-01	5.872135e-04	5.872135e-04
2.750000e+00	3.000000e+00	3.326049e-01	6.209123e-04	6.209123e-04
3.000000e+00	3.250000e+00	3.042685e-01	5.886780e-04	5.886780e-04
3.250000e+00	3.500000e+00	1.370805e-01	4.142641e-04	4.142641e-04
3.500000e+00	3.750000e+00	6.953510e-02	3.115803e-04	3.115803e-04
3.750000e+00	4.000000e+00	3.552054e-02	2.370463e-04	2.370463e-04
4.000000e+00	4.250000e+00	1.801871e-02	1.789066e-04	1.789066e-04
4.250000e+00	4.500000e+00	8.608359e-03	1.532287e-04	1.532287e-04
4.500000e+00	4.750000e+00	3.772100e-03	1.043047e-04	1.043047e-04
4.750000e+00	5.000000e+00	1.503743e-03	6.051119e-05	6.051119e-05
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASH_FULL_HThalf.yoda/ATLAS_histo/deltaRb
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=Rivet_ATLASH_FULL_HThalf.yoda/ATLAS_histo/deltaRb
ScaledBy=0.00014941366326492892
Title=Rivet_ATLASH_FULL_HThalf
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e-01	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	7.500000e-01	5.199596e-02	5.574552e-03	5.574552e-03
7.500000e-01	1.000000e+00	9.442944e-02	7.512403e-03	7.512403e-03
1.000000e+00	1.250000e+00	1.314840e-01	8.864651e-03	8.864651e-03
1.250000e+00	1.500000e+00	1.392535e-01	9.122802e-03	9.122802e-03
1.500000e+00	1.750000e+00	1.900542e-01	1.065771e-02	1.065771e-02
1.750000e+00	2.000000e+00	2.109721e-01	1.122891e-02	1.122891e-02
2.000000e+00	2.250000e+00	2.378666e-01	1.192317e-02	1.192317e-02
2.250000e+00	2.500000e+00	2.952414e-01	1.328354e-02	1.328354e-02
2.500000e+00	2.750000e+00	3.131710e-01	1.368094e-02	1.368094e-02
2.750000e+00	3.000000e+00	3.556045e-01	1.457836e-02	1.457836e-02
3.000000e+00	3.250000e+00	3.424561e-01	1.430631e-02	1.430631e-02
3.250000e+00	3.500000e+00	1.332770e-01	8.924887e-03	8.924887e-03
3.500000e+00	3.750000e+00	7.171856e-02	6.546979e-03	6.546979e-03
3.750000e+00	4.000000e+00	3.824990e-02	4.781237e-03	4.781237e-03
4.000000e+00	4.250000e+00	1.792964e-02	3.273489e-03	3.273489e-03
4.250000e+00	4.500000e+00	7.171856e-03	2.070336e-03	2.070336e-03
4.500000e+00	4.750000e+00	4.183584e-03	1.581246e-03	1.581246e-03
4.750000e+00	5.000000e+00	1.792964e-03	1.035168e-03	1.035168e-03
# END HISTO1D

