# BEGIN PLOT
DrawOnly=johannes.yoda/ATLAS_histo/deltaRl Rivet_ATLASH_FULL_HThalf.yoda/ATLAS_histo/deltaRl
RatioPlotReference=johannes.yoda/ATLAS_histo/deltaRl
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=Separation of the two leptons $\Delta \mathrm{R}_{\mathrm{ll}}$
YLabel=$\mathrm{d}\sigma/\Delta \mathrm{R}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D johannes.yoda/ATLAS_histo/deltaRl
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=johannes.yoda/ATLAS_histo/deltaRl
Title=johannes
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e-01	1.615964e-02	1.456035e-04	1.456035e-04
2.500000e-01	5.000000e-01	4.788924e-02	2.569967e-04	2.569967e-04
5.000000e-01	7.500000e-01	7.903009e-02	3.310070e-04	3.310070e-04
7.500000e-01	1.000000e+00	1.088738e-01	3.869495e-04	3.869495e-04
1.000000e+00	1.250000e+00	1.374276e-01	4.245142e-04	4.245142e-04
1.250000e+00	1.500000e+00	1.642988e-01	4.617089e-04	4.617089e-04
1.500000e+00	1.750000e+00	1.907731e-01	4.907040e-04	4.907040e-04
1.750000e+00	2.000000e+00	2.156649e-01	5.090413e-04	5.090413e-04
2.000000e+00	2.250000e+00	2.397558e-01	5.421788e-04	5.421788e-04
2.250000e+00	2.500000e+00	2.624482e-01	5.424674e-04	5.424674e-04
2.500000e+00	2.750000e+00	2.809682e-01	5.542434e-04	5.542434e-04
2.750000e+00	3.000000e+00	2.958019e-01	5.686871e-04	5.686871e-04
3.000000e+00	3.250000e+00	2.652947e-01	5.332290e-04	5.332290e-04
3.250000e+00	3.500000e+00	1.247449e-01	3.824446e-04	3.824446e-04
3.500000e+00	3.750000e+00	6.382474e-02	2.834483e-04	2.834483e-04
3.750000e+00	4.000000e+00	3.232578e-02	2.045827e-04	2.045827e-04
4.000000e+00	4.250000e+00	1.591404e-02	1.495496e-04	1.495496e-04
4.250000e+00	4.500000e+00	7.419968e-03	1.062500e-04	1.062500e-04
4.500000e+00	4.750000e+00	3.184597e-03	7.156564e-05	7.156564e-05
4.750000e+00	5.000000e+00	1.276277e-03	4.638080e-05	4.638080e-05
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASH_FULL_HThalf.yoda/ATLAS_histo/deltaRl
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=Rivet_ATLASH_FULL_HThalf.yoda/ATLAS_histo/deltaRl
ScaledBy=0.00014941366326492892
Title=Rivet_ATLASH_FULL_HThalf
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e-01	2.629680e-02	3.964393e-03	3.964393e-03
2.500000e-01	5.000000e-01	5.080064e-02	5.510104e-03	5.510104e-03
5.000000e-01	7.500000e-01	1.087732e-01	8.062802e-03	8.062802e-03
7.500000e-01	1.000000e+00	1.219216e-01	8.536216e-03	8.536216e-03
1.000000e+00	1.250000e+00	1.452301e-01	9.316514e-03	9.316514e-03
1.250000e+00	1.500000e+00	1.727222e-01	1.016013e-02	1.016013e-02
1.500000e+00	1.750000e+00	2.181440e-01	1.141818e-02	1.141818e-02
1.750000e+00	2.000000e+00	2.306947e-01	1.174205e-02	1.174205e-02
2.000000e+00	2.250000e+00	2.450384e-01	1.210158e-02	1.210158e-02
2.250000e+00	2.500000e+00	2.504173e-01	1.223369e-02	1.223369e-02
2.500000e+00	2.750000e+00	2.569915e-01	1.239323e-02	1.239323e-02
2.750000e+00	3.000000e+00	2.647610e-01	1.257918e-02	1.257918e-02
3.000000e+00	3.250000e+00	2.402572e-01	1.198294e-02	1.198294e-02
3.250000e+00	3.500000e+00	1.243122e-01	8.619498e-03	8.619498e-03
3.500000e+00	3.750000e+00	6.932792e-02	6.436937e-03	6.436937e-03
3.750000e+00	4.000000e+00	4.482408e-02	5.175841e-03	5.175841e-03
4.000000e+00	4.250000e+00	2.988273e-02	4.226056e-03	4.226056e-03
4.250000e+00	4.500000e+00	1.733198e-02	3.218469e-03	3.218469e-03
4.500000e+00	4.750000e+00	1.135544e-02	2.605116e-03	2.605116e-03
4.750000e+00	5.000000e+00	4.183584e-03	1.581246e-03	1.581246e-03
# END HISTO1D

