# BEGIN PLOT
DrawOnly=johannes.yoda/ATLAS_histo/Eta1 Rivet_ATLASHNEW_FULL_CUTS.yoda/ATLAS_histo/Eta1
RatioPlotReference=johannes.yoda/ATLAS_histo/Eta1
RatioPlot=1
LogY=1
LegendXPos=0.65
XLabel=$1^\mathrm{st}$ jet $\eta$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D johannes.yoda/ATLAS_histo/Eta1
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=johannes.yoda/ATLAS_histo/Eta1
Title=johannes
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.250000e+00	2.240794e-02	2.046924e-04	2.046924e-04
-2.250000e+00	-2.000000e+00	3.795953e-02	2.487375e-04	2.487375e-04
-2.000000e+00	-1.750000e+00	5.914884e-02	3.007976e-04	3.007976e-04
-1.750000e+00	-1.500000e+00	8.530214e-02	3.466967e-04	3.466967e-04
-1.500000e+00	-1.250000e+00	1.152604e-01	3.965264e-04	3.965264e-04
-1.250000e+00	-1.000000e+00	1.454568e-01	4.233249e-04	4.233249e-04
-1.000000e+00	-7.500000e-01	1.740424e-01	4.491400e-04	4.491400e-04
-7.500000e-01	-5.000000e-01	1.979097e-01	4.673173e-04	4.673173e-04
-5.000000e-01	-2.500000e-01	2.153460e-01	4.753314e-04	4.753314e-04
-2.500000e-01	0.000000e+00	2.242032e-01	4.810700e-04	4.810700e-04
0.000000e+00	2.500000e-01	2.237554e-01	4.774615e-04	4.774615e-04
2.500000e-01	5.000000e-01	2.150755e-01	4.880791e-04	4.880791e-04
5.000000e-01	7.500000e-01	1.979327e-01	4.641134e-04	4.641134e-04
7.500000e-01	1.000000e+00	1.741725e-01	4.456727e-04	4.456727e-04
1.000000e+00	1.250000e+00	1.455471e-01	4.219578e-04	4.219578e-04
1.250000e+00	1.500000e+00	1.148002e-01	3.883707e-04	3.883707e-04
1.500000e+00	1.750000e+00	8.547220e-02	3.466751e-04	3.466751e-04
1.750000e+00	2.000000e+00	5.929059e-02	3.160799e-04	3.160799e-04
2.000000e+00	2.250000e+00	3.808454e-02	2.502775e-04	2.502775e-04
2.250000e+00	2.500000e+00	2.248618e-02	1.973066e-04	1.973066e-04
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASHNEW_FULL_CUTS.yoda/ATLAS_histo/Eta1
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=Rivet_ATLASHNEW_FULL_CUTS.yoda/ATLAS_histo/Eta1
ScaledBy=9.1372059548681326e-05
Title=Rivet_ATLASHNEW_FULL_CUTS
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.250000e+00	1.242660e-02	2.131144e-03	2.131144e-03
-2.250000e+00	-2.000000e+00	2.302576e-02	2.900973e-03	2.900973e-03
-2.000000e+00	-1.750000e+00	3.764529e-02	3.709301e-03	3.709301e-03
-1.750000e+00	-1.500000e+00	6.249848e-02	4.779379e-03	4.779379e-03
-1.500000e+00	-1.250000e+00	6.907728e-02	5.024632e-03	5.024632e-03
-1.250000e+00	-1.000000e+00	1.059916e-01	6.224040e-03	6.224040e-03
-1.000000e+00	-7.500000e-01	1.012402e-01	6.082936e-03	6.082936e-03
-7.500000e-01	-5.000000e-01	1.220731e-01	6.679541e-03	6.679541e-03
-5.000000e-01	-2.500000e-01	1.403475e-01	7.162078e-03	7.162078e-03
-2.500000e-01	0.000000e+00	1.348652e-01	7.020800e-03	7.020800e-03
0.000000e+00	2.500000e-01	1.370581e-01	7.077649e-03	7.077649e-03
2.500000e-01	5.000000e-01	1.414440e-01	7.190000e-03	7.190000e-03
5.000000e-01	7.500000e-01	1.242660e-01	6.739270e-03	6.739270e-03
7.500000e-01	1.000000e+00	1.140323e-01	6.455809e-03	6.455809e-03
1.000000e+00	1.250000e+00	9.027560e-02	5.744099e-03	5.744099e-03
1.250000e+00	1.500000e+00	8.150388e-02	5.457903e-03	5.457903e-03
1.500000e+00	1.750000e+00	5.482324e-02	4.476298e-03	4.476298e-03
1.750000e+00	2.000000e+00	3.837626e-02	3.745140e-03	3.745140e-03
2.000000e+00	2.250000e+00	2.266027e-02	2.877857e-03	2.877857e-03
2.250000e+00	2.500000e+00	7.675252e-03	1.674877e-03	1.674877e-03
# END HISTO1D

