# BEGIN PLOT
DrawOnly=johannes.yoda/ATLAS_histo/Mlb Rivet_ATLASHNEW_FULL_CUTS.yoda/ATLAS_histo/Mlb
RatioPlotReference=johannes.yoda/ATLAS_histo/Mlb
RatioPlot=1
LogY=1
LegendXPos=0.65
XLabel=$\mathrm{m}_\mathrm{lb}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{dm}_{\mathrm{lb}}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D johannes.yoda/ATLAS_histo/Mlb
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=johannes.yoda/ATLAS_histo/Mlb
Title=johannes
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.600000e+01	6.943358e-08	2.688880e-08	2.688880e-08
1.600000e+01	2.400000e+01	1.058791e-05	5.545169e-07	5.545169e-07
2.400000e+01	3.200000e+01	8.226675e-05	1.548904e-06	1.548904e-06
3.200000e+01	4.000000e+01	2.671752e-04	2.773794e-06	2.773794e-06
4.000000e+01	4.800000e+01	6.395203e-04	4.336206e-06	4.336206e-06
4.800000e+01	5.600000e+01	1.300953e-03	6.266320e-06	6.266320e-06
5.600000e+01	6.400000e+01	2.319509e-03	8.514271e-06	8.514271e-06
6.400000e+01	7.200000e+01	3.684000e-03	1.091420e-05	1.091420e-05
7.200000e+01	8.000000e+01	5.262277e-03	1.309832e-05	1.309832e-05
8.000000e+01	8.800000e+01	6.767958e-03	1.487799e-05	1.487799e-05
8.800000e+01	9.600000e+01	7.768348e-03	1.587089e-05	1.587089e-05
9.600000e+01	1.040000e+02	8.026400e-03	1.585660e-05	1.585660e-05
1.040000e+02	1.120000e+02	7.432209e-03	1.464146e-05	1.464146e-05
1.120000e+02	1.200000e+02	6.038858e-03	1.235626e-05	1.235626e-05
1.200000e+02	1.280000e+02	4.097976e-03	9.232282e-06	9.232282e-06
1.280000e+02	1.360000e+02	2.152730e-03	5.964334e-06	5.964334e-06
1.360000e+02	1.440000e+02	7.628034e-04	3.178713e-06	3.178713e-06
1.440000e+02	1.520000e+02	1.710201e-04	2.116735e-06	2.116735e-06
1.520000e+02	1.600000e+02	6.374713e-05	1.933989e-06	1.933989e-06
1.600000e+02	1.680000e+02	4.335827e-05	1.638889e-06	1.638889e-06
1.680000e+02	1.760000e+02	3.360855e-05	1.766261e-06	1.766261e-06
1.760000e+02	1.840000e+02	2.440600e-05	1.536746e-06	1.536746e-06
1.840000e+02	1.920000e+02	1.829057e-05	1.361372e-06	1.361372e-06
1.920000e+02	2.000000e+02	1.749633e-05	3.197952e-06	3.197952e-06
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASHNEW_FULL_CUTS.yoda/ATLAS_histo/Mlb
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=Rivet_ATLASHNEW_FULL_CUTS.yoda/ATLAS_histo/Mlb
ScaledBy=9.1372059548681326e-05
Title=Rivet_ATLASHNEW_FULL_CUTS
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	3.200000e+01	3.426452e-05	1.978263e-05	1.978263e-05
3.200000e+01	4.000000e+01	1.027936e-04	3.426452e-05	3.426452e-05
4.000000e+01	4.800000e+01	3.426453e-04	6.255817e-05	6.255817e-05
4.800000e+01	5.600000e+01	6.167614e-04	8.393060e-05	8.393060e-05
5.600000e+01	6.400000e+01	1.016514e-03	1.077503e-04	1.077503e-04
6.400000e+01	7.200000e+01	2.067292e-03	1.536606e-04	1.536606e-04
7.200000e+01	8.000000e+01	2.558418e-03	1.709415e-04	1.709415e-04
8.000000e+01	8.800000e+01	3.152336e-03	1.897484e-04	1.897484e-04
8.800000e+01	9.600000e+01	3.357924e-03	1.958381e-04	1.958381e-04
9.600000e+01	1.040000e+02	3.574931e-03	2.020671e-04	2.020671e-04
1.040000e+02	1.120000e+02	2.889641e-03	1.816702e-04	1.816702e-04
1.120000e+02	1.200000e+02	2.033029e-03	1.523819e-04	1.523819e-04
1.200000e+02	1.280000e+02	1.164994e-03	1.153516e-04	1.153516e-04
1.280000e+02	1.360000e+02	4.911249e-04	7.489583e-05	7.489583e-05
1.360000e+02	1.440000e+02	7.995055e-05	3.021847e-05	3.021847e-05
1.440000e+02	1.520000e+02	2.284301e-05	1.615245e-05	1.615245e-05
1.520000e+02	1.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+02	1.680000e+02	2.284301e-05	1.615245e-05	1.615245e-05
1.680000e+02	1.760000e+02	1.142151e-05	1.142151e-05	1.142151e-05
1.760000e+02	1.840000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.840000e+02	1.920000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.920000e+02	2.000000e+02	1.142151e-05	1.142151e-05	1.142151e-05
# END HISTO1D

