# BEGIN PLOT
DrawOnly=johannes.yoda/ATLAS_histo/Phiemu Rivet_ATLASHNEW_FULL_CUTS.yoda/ATLAS_histo/Phiemu
RatioPlotReference=johannes.yoda/ATLAS_histo/Phiemu
RatioPlot=1
LogY=0
LegendXPos=0.65
XLabel=Azimuthal angle between the two leptons $\phi_{\mathrm{e}^+\mu^-}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\phi$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D johannes.yoda/ATLAS_histo/Phiemu
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=johannes.yoda/ATLAS_histo/Phiemu
Title=johannes
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.141592e-01	6.909944e-02	2.750813e-04	2.750813e-04
3.141593e-01	6.283185e-01	7.118397e-02	2.808417e-04	2.808417e-04
6.283186e-01	9.424778e-01	7.592574e-02	2.860587e-04	2.860587e-04
9.424774e-01	1.256637e+00	8.268567e-02	2.920446e-04	2.920446e-04
1.256637e+00	1.570797e+00	9.175515e-02	3.012910e-04	3.012910e-04
1.570796e+00	1.884956e+00	1.031443e-01	3.146758e-04	3.146758e-04
1.884955e+00	2.199115e+00	1.155731e-01	3.393782e-04	3.393782e-04
2.199114e+00	2.513274e+00	1.275251e-01	3.345381e-04	3.345381e-04
2.513274e+00	2.827434e+00	1.373988e-01	3.406832e-04	3.406832e-04
2.827433e+00	3.141593e+00	1.420313e-01	3.440686e-04	3.440686e-04
3.141592e+00	3.455752e+00	1.420058e-01	3.455107e-04	3.455107e-04
3.455752e+00	3.769912e+00	1.369760e-01	3.494370e-04	3.494370e-04
3.769911e+00	4.084071e+00	1.277034e-01	3.323474e-04	3.323474e-04
4.084070e+00	4.398230e+00	1.154080e-01	3.230914e-04	3.230914e-04
4.398229e+00	4.712389e+00	1.029620e-01	3.123471e-04	3.123471e-04
4.712389e+00	5.026549e+00	9.209881e-02	3.072951e-04	3.072951e-04
5.026548e+00	5.340708e+00	8.268425e-02	2.917503e-04	2.917503e-04
5.340707e+00	5.654867e+00	7.568764e-02	2.822095e-04	2.822095e-04
5.654866e+00	5.969026e+00	7.134183e-02	2.777178e-04	2.777178e-04
5.969026e+00	6.283186e+00	6.894279e-02	2.740590e-04	2.740590e-04
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASHNEW_FULL_CUTS.yoda/ATLAS_histo/Phiemu
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=Rivet_ATLASHNEW_FULL_CUTS.yoda/ATLAS_histo/Phiemu
ScaledBy=9.1372059548681326e-05
Title=Rivet_ATLASHNEW_FULL_CUTS
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.141593e-01	4.217271e-02	3.502253e-03	3.502253e-03
3.141593e-01	6.283185e-01	4.479035e-02	3.609308e-03	3.609308e-03
6.283185e-01	9.424778e-01	4.915303e-02	3.781001e-03	3.781001e-03
9.424778e-01	1.256637e+00	4.973472e-02	3.803310e-03	3.803310e-03
1.256637e+00	1.570796e+00	5.700591e-02	4.071851e-03	4.071851e-03
1.570796e+00	1.884956e+00	7.125716e-02	4.552454e-03	4.552454e-03
1.884956e+00	2.199115e+00	7.125739e-02	4.552468e-03	4.552468e-03
2.199115e+00	2.513274e+00	8.434551e-02	4.952938e-03	4.952938e-03
2.513274e+00	2.827433e+00	8.899904e-02	5.087737e-03	5.087737e-03
2.827433e+00	3.141593e+00	8.609030e-02	5.003898e-03	5.003898e-03
3.141593e+00	3.455752e+00	1.006329e-01	5.410058e-03	5.410058e-03
3.455752e+00	3.769911e+00	7.911026e-02	4.796764e-03	4.796764e-03
3.769911e+00	4.084070e+00	8.289127e-02	4.910055e-03	4.910055e-03
4.084070e+00	4.398230e+00	6.922126e-02	4.486948e-03	4.486948e-03
4.398230e+00	4.712389e+00	6.573133e-02	4.372382e-03	4.372382e-03
4.712389e+00	5.026548e+00	5.380661e-02	3.955941e-03	3.955941e-03
5.026548e+00	5.340708e+00	5.729660e-02	4.082213e-03	4.082213e-03
5.340708e+00	5.654867e+00	5.351577e-02	3.945234e-03	3.945234e-03
5.654867e+00	5.969026e+00	4.624461e-02	3.667436e-03	3.667436e-03
5.969026e+00	6.283185e+00	3.693751e-02	3.277674e-03	3.277674e-03
# END HISTO1D

