# BEGIN PLOT
DrawOnly=Rivet_ATLASHNEW_FULL_CUTS.yoda/ATLAS_histo_new/Eta1
LogY=1
LegendXPos=0.65
XLabel=$1^\mathrm{st}$ jet $\eta$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D Rivet_ATLASHNEW_FULL_CUTS.yoda/ATLAS_histo_new/Eta1
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=Rivet_ATLASHNEW_FULL_CUTS.yoda/ATLAS_histo_new/Eta1
ScaledBy=9.1372059548681326e-05
Title=Rivet_ATLASHNEW_FULL_CUTS
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.250000e+00	1.242660e-02	2.131144e-03	2.131144e-03
-2.250000e+00	-2.000000e+00	2.302576e-02	2.900973e-03	2.900973e-03
-2.000000e+00	-1.750000e+00	3.764529e-02	3.709301e-03	3.709301e-03
-1.750000e+00	-1.500000e+00	6.249848e-02	4.779379e-03	4.779379e-03
-1.500000e+00	-1.250000e+00	6.907728e-02	5.024632e-03	5.024632e-03
-1.250000e+00	-1.000000e+00	1.059916e-01	6.224040e-03	6.224040e-03
-1.000000e+00	-7.500000e-01	1.012402e-01	6.082936e-03	6.082936e-03
-7.500000e-01	-5.000000e-01	1.220731e-01	6.679541e-03	6.679541e-03
-5.000000e-01	-2.500000e-01	1.403475e-01	7.162078e-03	7.162078e-03
-2.500000e-01	0.000000e+00	1.348652e-01	7.020800e-03	7.020800e-03
0.000000e+00	2.500000e-01	1.370581e-01	7.077649e-03	7.077649e-03
2.500000e-01	5.000000e-01	1.414440e-01	7.190000e-03	7.190000e-03
5.000000e-01	7.500000e-01	1.242660e-01	6.739270e-03	6.739270e-03
7.500000e-01	1.000000e+00	1.140323e-01	6.455809e-03	6.455809e-03
1.000000e+00	1.250000e+00	9.027560e-02	5.744099e-03	5.744099e-03
1.250000e+00	1.500000e+00	8.150388e-02	5.457903e-03	5.457903e-03
1.500000e+00	1.750000e+00	5.482324e-02	4.476298e-03	4.476298e-03
1.750000e+00	2.000000e+00	3.837626e-02	3.745140e-03	3.745140e-03
2.000000e+00	2.250000e+00	2.266027e-02	2.877857e-03	2.877857e-03
2.250000e+00	2.500000e+00	7.675252e-03	1.674877e-03	1.674877e-03
# END HISTO1D

