# BEGIN PLOT
DrawOnly=Rivet_ATLASHNEW_FULL_CUTS.yoda/ATLAS_histo_new/Mlb
LogY=1
LegendXPos=0.65
XLabel=$\mathrm{m}_\mathrm{lb}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{dm}_{\mathrm{lb}}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D Rivet_ATLASHNEW_FULL_CUTS.yoda/ATLAS_histo_new/Mlb
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=Rivet_ATLASHNEW_FULL_CUTS.yoda/ATLAS_histo_new/Mlb
ScaledBy=9.1372059548681326e-05
Title=Rivet_ATLASHNEW_FULL_CUTS
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	3.200000e+01	3.426452e-05	1.978263e-05	1.978263e-05
3.200000e+01	4.000000e+01	1.027936e-04	3.426452e-05	3.426452e-05
4.000000e+01	4.800000e+01	3.426453e-04	6.255817e-05	6.255817e-05
4.800000e+01	5.600000e+01	6.167614e-04	8.393060e-05	8.393060e-05
5.600000e+01	6.400000e+01	1.016514e-03	1.077503e-04	1.077503e-04
6.400000e+01	7.200000e+01	2.067292e-03	1.536606e-04	1.536606e-04
7.200000e+01	8.000000e+01	2.558418e-03	1.709415e-04	1.709415e-04
8.000000e+01	8.800000e+01	3.152336e-03	1.897484e-04	1.897484e-04
8.800000e+01	9.600000e+01	3.357924e-03	1.958381e-04	1.958381e-04
9.600000e+01	1.040000e+02	3.574931e-03	2.020671e-04	2.020671e-04
1.040000e+02	1.120000e+02	2.889641e-03	1.816702e-04	1.816702e-04
1.120000e+02	1.200000e+02	2.033029e-03	1.523819e-04	1.523819e-04
1.200000e+02	1.280000e+02	1.164994e-03	1.153516e-04	1.153516e-04
1.280000e+02	1.360000e+02	4.911249e-04	7.489583e-05	7.489583e-05
1.360000e+02	1.440000e+02	7.995055e-05	3.021847e-05	3.021847e-05
1.440000e+02	1.520000e+02	2.284301e-05	1.615245e-05	1.615245e-05
1.520000e+02	1.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+02	1.680000e+02	2.284301e-05	1.615245e-05	1.615245e-05
1.680000e+02	1.760000e+02	1.142151e-05	1.142151e-05	1.142151e-05
1.760000e+02	1.840000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.840000e+02	1.920000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.920000e+02	2.000000e+02	1.142151e-05	1.142151e-05	1.142151e-05
# END HISTO1D

