# BEGIN PLOT
DrawOnly=Rivet_ATLASHNEW_FULL_CUTS.yoda/ATLAS_histo_new/Phiemu
LogY=0
LegendXPos=0.65
XLabel=Azimuthal angle between the two leptons $\phi_{\mathrm{e}^+\mu^-}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\phi$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D Rivet_ATLASHNEW_FULL_CUTS.yoda/ATLAS_histo_new/Phiemu
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=Rivet_ATLASHNEW_FULL_CUTS.yoda/ATLAS_histo_new/Phiemu
ScaledBy=9.1372059548681326e-05
Title=Rivet_ATLASHNEW_FULL_CUTS
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.141593e-01	4.217271e-02	3.502253e-03	3.502253e-03
3.141593e-01	6.283185e-01	4.479035e-02	3.609308e-03	3.609308e-03
6.283185e-01	9.424778e-01	4.915303e-02	3.781001e-03	3.781001e-03
9.424778e-01	1.256637e+00	4.973472e-02	3.803310e-03	3.803310e-03
1.256637e+00	1.570796e+00	5.700591e-02	4.071851e-03	4.071851e-03
1.570796e+00	1.884956e+00	7.125716e-02	4.552454e-03	4.552454e-03
1.884956e+00	2.199115e+00	7.125739e-02	4.552468e-03	4.552468e-03
2.199115e+00	2.513274e+00	8.434551e-02	4.952938e-03	4.952938e-03
2.513274e+00	2.827433e+00	8.899904e-02	5.087737e-03	5.087737e-03
2.827433e+00	3.141593e+00	8.609030e-02	5.003898e-03	5.003898e-03
3.141593e+00	3.455752e+00	1.006329e-01	5.410058e-03	5.410058e-03
3.455752e+00	3.769911e+00	7.911026e-02	4.796764e-03	4.796764e-03
3.769911e+00	4.084070e+00	8.289127e-02	4.910055e-03	4.910055e-03
4.084070e+00	4.398230e+00	6.922126e-02	4.486948e-03	4.486948e-03
4.398230e+00	4.712389e+00	6.573133e-02	4.372382e-03	4.372382e-03
4.712389e+00	5.026548e+00	5.380661e-02	3.955941e-03	3.955941e-03
5.026548e+00	5.340708e+00	5.729660e-02	4.082213e-03	4.082213e-03
5.340708e+00	5.654867e+00	5.351577e-02	3.945234e-03	3.945234e-03
5.654867e+00	5.969026e+00	4.624461e-02	3.667436e-03	3.667436e-03
5.969026e+00	6.283185e+00	3.693751e-02	3.277674e-03	3.277674e-03
# END HISTO1D

