# BEGIN PLOT
DrawOnly=Rivet_ATLASHNEW_FULL_CUTS.yoda/ATLAS_histo_new/PtMiss
YLabel=$\mathrm{d}\sigma/\mathrm{dp}_{\mathrm{T, miss}}$ [pb]
XLabel=Missing transverse momentum $\mathrm{p}_\mathrm{T, miss}$ [GeV]
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D Rivet_ATLASHNEW_FULL_CUTS.yoda/ATLAS_histo_new/PtMiss
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=Rivet_ATLASHNEW_FULL_CUTS.yoda/ATLAS_histo_new/PtMiss
ScaledBy=9.1372059548681326e-05
Title=Rivet_ATLASHNEW_FULL_CUTS
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	3.200000e+01	2.341409e-03	1.156340e-04	1.156340e-04
3.200000e+01	4.800000e+01	4.140296e-03	1.537668e-04	1.537668e-04
4.800000e+01	6.400000e+01	4.751347e-03	1.647233e-04	1.647233e-04
6.400000e+01	8.000000e+01	4.540049e-03	1.610189e-04	1.610189e-04
8.000000e+01	9.600000e+01	3.940420e-03	1.500092e-04	1.500092e-04
9.600000e+01	1.120000e+02	2.626947e-03	1.224820e-04	1.224820e-04
1.120000e+02	1.280000e+02	1.444821e-03	9.083510e-05	9.083510e-05
1.280000e+02	1.440000e+02	7.880838e-04	6.708617e-05	6.708617e-05
1.440000e+02	1.600000e+02	3.654882e-04	4.568603e-05	4.568603e-05
1.600000e+02	1.760000e+02	1.656119e-04	3.075335e-05	3.075335e-05
1.760000e+02	1.920000e+02	1.085043e-04	2.489260e-05	2.489260e-05
1.920000e+02	2.080000e+02	5.710754e-05	1.805899e-05	1.805899e-05
2.080000e+02	2.240000e+02	2.284301e-05	1.142151e-05	1.142151e-05
2.240000e+02	2.400000e+02	1.713226e-05	9.891316e-06	9.891316e-06
2.400000e+02	2.560000e+02	5.710754e-06	5.710754e-06	5.710754e-06
2.560000e+02	2.720000e+02	5.710754e-06	5.710754e-06	5.710754e-06
2.720000e+02	2.880000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.880000e+02	3.040000e+02	5.710754e-06	5.710754e-06	5.710754e-06
3.040000e+02	3.200000e+02	5.710754e-06	5.710754e-06	5.710754e-06
3.200000e+02	3.360000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.360000e+02	3.520000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.520000e+02	3.680000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.680000e+02	3.840000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.840000e+02	4.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

