# BEGIN PLOT
DrawOnly=johannes.yoda/ATLAS_histo/Eta1 Rivet_ATLASHNEW_FULL_HThalf.yoda/ATLAS_histo/Eta1
RatioPlotReference=johannes.yoda/ATLAS_histo/Eta1
RatioPlot=1
LogY=1
LegendXPos=0.65
XLabel=$1^\mathrm{st}$ jet $\eta$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D johannes.yoda/ATLAS_histo/Eta1
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=johannes.yoda/ATLAS_histo/Eta1
Title=johannes
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.250000e+00	2.240794e-02	2.046924e-04	2.046924e-04
-2.250000e+00	-2.000000e+00	3.795953e-02	2.487375e-04	2.487375e-04
-2.000000e+00	-1.750000e+00	5.914884e-02	3.007976e-04	3.007976e-04
-1.750000e+00	-1.500000e+00	8.530214e-02	3.466967e-04	3.466967e-04
-1.500000e+00	-1.250000e+00	1.152604e-01	3.965264e-04	3.965264e-04
-1.250000e+00	-1.000000e+00	1.454568e-01	4.233249e-04	4.233249e-04
-1.000000e+00	-7.500000e-01	1.740424e-01	4.491400e-04	4.491400e-04
-7.500000e-01	-5.000000e-01	1.979097e-01	4.673173e-04	4.673173e-04
-5.000000e-01	-2.500000e-01	2.153460e-01	4.753314e-04	4.753314e-04
-2.500000e-01	0.000000e+00	2.242032e-01	4.810700e-04	4.810700e-04
0.000000e+00	2.500000e-01	2.237554e-01	4.774615e-04	4.774615e-04
2.500000e-01	5.000000e-01	2.150755e-01	4.880791e-04	4.880791e-04
5.000000e-01	7.500000e-01	1.979327e-01	4.641134e-04	4.641134e-04
7.500000e-01	1.000000e+00	1.741725e-01	4.456727e-04	4.456727e-04
1.000000e+00	1.250000e+00	1.455471e-01	4.219578e-04	4.219578e-04
1.250000e+00	1.500000e+00	1.148002e-01	3.883707e-04	3.883707e-04
1.500000e+00	1.750000e+00	8.547220e-02	3.466751e-04	3.466751e-04
1.750000e+00	2.000000e+00	5.929059e-02	3.160799e-04	3.160799e-04
2.000000e+00	2.250000e+00	3.808454e-02	2.502775e-04	2.502775e-04
2.250000e+00	2.500000e+00	2.248618e-02	1.973066e-04	1.973066e-04
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASHNEW_FULL_HThalf.yoda/ATLAS_histo/Eta1
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=Rivet_ATLASHNEW_FULL_HThalf.yoda/ATLAS_histo/Eta1
ScaledBy=6.8077081020104653e-05
Title=Rivet_ATLASHNEW_FULL_HThalf
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.250000e+00	1.093236e-02	2.508056e-03	2.508056e-03
-2.250000e+00	-2.000000e+00	3.509864e-02	4.493919e-03	4.493919e-03
-2.000000e+00	-1.750000e+00	5.868952e-02	5.811129e-03	5.811129e-03
-1.750000e+00	-1.500000e+00	7.537576e-02	6.585611e-03	6.585611e-03
-1.500000e+00	-1.250000e+00	1.127760e-01	8.055425e-03	8.055425e-03
-1.250000e+00	-1.000000e+00	1.438469e-01	9.097675e-03	9.097675e-03
-1.000000e+00	-7.500000e-01	1.967825e-01	1.064078e-02	1.064078e-02
-7.500000e-01	-5.000000e-01	2.054133e-01	1.087163e-02	1.087163e-02
-5.000000e-01	-2.500000e-01	2.313058e-01	1.153648e-02	1.153648e-02
-2.500000e-01	0.000000e+00	2.290042e-01	1.147894e-02	1.147894e-02
0.000000e+00	2.500000e-01	2.261273e-01	1.140661e-02	1.140661e-02
2.500000e-01	5.000000e-01	2.197980e-01	1.124584e-02	1.124584e-02
5.000000e-01	7.500000e-01	2.025364e-01	1.079523e-02	1.079523e-02
7.500000e-01	1.000000e+00	1.812470e-01	1.021212e-02	1.021212e-02
1.000000e+00	1.250000e+00	1.398192e-01	8.969403e-03	8.969403e-03
1.250000e+00	1.500000e+00	1.012682e-01	7.633377e-03	7.633377e-03
1.500000e+00	1.750000e+00	7.940348e-02	6.759272e-03	6.759272e-03
1.750000e+00	2.000000e+00	5.178488e-02	5.458605e-03	5.458605e-03
2.000000e+00	2.250000e+00	3.567402e-02	4.530605e-03	4.530605e-03
2.250000e+00	2.500000e+00	1.726162e-02	3.151527e-03	3.151527e-03
# END HISTO1D

