# BEGIN PLOT
DrawOnly=johannes.yoda/ATLAS_histo/Phiemu Rivet_ATLASHNEW_FULL_HThalf.yoda/ATLAS_histo/Phiemu
RatioPlotReference=johannes.yoda/ATLAS_histo/Phiemu
RatioPlot=1
LogY=0
LegendXPos=0.65
XLabel=Azimuthal angle between the two leptons $\phi_{\mathrm{e}^+\mu^-}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\phi$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D johannes.yoda/ATLAS_histo/Phiemu
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=johannes.yoda/ATLAS_histo/Phiemu
Title=johannes
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.141592e-01	6.909944e-02	2.750813e-04	2.750813e-04
3.141593e-01	6.283185e-01	7.118397e-02	2.808417e-04	2.808417e-04
6.283186e-01	9.424778e-01	7.592574e-02	2.860587e-04	2.860587e-04
9.424774e-01	1.256637e+00	8.268567e-02	2.920446e-04	2.920446e-04
1.256637e+00	1.570797e+00	9.175515e-02	3.012910e-04	3.012910e-04
1.570796e+00	1.884956e+00	1.031443e-01	3.146758e-04	3.146758e-04
1.884955e+00	2.199115e+00	1.155731e-01	3.393782e-04	3.393782e-04
2.199114e+00	2.513274e+00	1.275251e-01	3.345381e-04	3.345381e-04
2.513274e+00	2.827434e+00	1.373988e-01	3.406832e-04	3.406832e-04
2.827433e+00	3.141593e+00	1.420313e-01	3.440686e-04	3.440686e-04
3.141592e+00	3.455752e+00	1.420058e-01	3.455107e-04	3.455107e-04
3.455752e+00	3.769912e+00	1.369760e-01	3.494370e-04	3.494370e-04
3.769911e+00	4.084071e+00	1.277034e-01	3.323474e-04	3.323474e-04
4.084070e+00	4.398230e+00	1.154080e-01	3.230914e-04	3.230914e-04
4.398229e+00	4.712389e+00	1.029620e-01	3.123471e-04	3.123471e-04
4.712389e+00	5.026549e+00	9.209881e-02	3.072951e-04	3.072951e-04
5.026548e+00	5.340708e+00	8.268425e-02	2.917503e-04	2.917503e-04
5.340707e+00	5.654867e+00	7.568764e-02	2.822095e-04	2.822095e-04
5.654866e+00	5.969026e+00	7.134183e-02	2.777178e-04	2.777178e-04
5.969026e+00	6.283186e+00	6.894279e-02	2.740590e-04	2.740590e-04
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASHNEW_FULL_HThalf.yoda/ATLAS_histo/Phiemu
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=Rivet_ATLASHNEW_FULL_HThalf.yoda/ATLAS_histo/Phiemu
ScaledBy=6.8077081020104653e-05
Title=Rivet_ATLASHNEW_FULL_HThalf
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.141593e-01	7.188697e-02	5.737205e-03	5.737205e-03
3.141593e-01	6.283185e-01	6.913972e-02	5.626510e-03	5.626510e-03
6.283185e-01	9.424778e-01	7.646576e-02	5.917098e-03	5.917098e-03
9.424778e-01	1.256637e+00	8.196032e-02	6.126002e-03	6.126002e-03
1.256637e+00	1.570796e+00	1.034807e-01	6.883434e-03	6.883434e-03
1.570796e+00	1.884956e+00	1.149273e-01	7.254148e-03	7.254148e-03
1.884956e+00	2.199115e+00	1.057701e-01	6.959161e-03	6.959161e-03
2.199115e+00	2.513274e+00	1.286641e-01	7.675454e-03	7.675454e-03
2.513274e+00	2.827433e+00	1.492686e-01	8.267224e-03	8.267224e-03
2.827433e+00	3.141593e+00	1.263743e-01	7.606837e-03	7.606837e-03
3.141593e+00	3.455752e+00	1.405689e-01	8.022692e-03	8.022692e-03
3.455752e+00	3.769911e+00	1.277483e-01	7.648090e-03	7.648090e-03
3.769911e+00	4.084070e+00	1.213380e-01	7.453733e-03	7.453733e-03
4.084070e+00	4.398230e+00	1.190482e-01	7.383057e-03	7.383057e-03
4.398230e+00	4.712389e+00	1.080595e-01	7.034074e-03	7.034074e-03
4.712389e+00	5.026548e+00	8.608128e-02	6.278123e-03	6.278123e-03
5.026548e+00	5.340708e+00	8.516527e-02	6.244620e-03	6.244620e-03
5.340708e+00	5.654867e+00	7.692369e-02	5.934793e-03	5.934793e-03
5.654867e+00	5.969026e+00	7.097129e-02	5.700550e-03	5.700550e-03
5.969026e+00	6.283185e+00	6.868188e-02	5.607852e-03	5.607852e-03
# END HISTO1D

