# BEGIN PLOT
DrawOnly=johannes.yoda/ATLAS_histo/Pt1 Rivet_ATLASHNEW_FULL_CUTS.yoda/ATLAS_histo/Pt1
RatioPlotReference=johannes.yoda/ATLAS_histo/Pt1
RatioPlot=1
LogY=1
XLabel=$1^\mathrm{st}$ jet $\mathrm{p}_\mathrm{T}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{dp}_{\mathrm{T}}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D johannes.yoda/ATLAS_histo/Pt1
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=johannes.yoda/ATLAS_histo/Pt1
Title=johannes
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	3.200000e+01	1.509688e-05	2.343592e-07	2.343592e-07
3.200000e+01	4.800000e+01	1.917743e-03	5.160976e-06	5.160976e-06
4.800000e+01	6.400000e+01	6.201262e-03	9.646877e-06	9.646877e-06
6.400000e+01	8.000000e+01	8.631888e-03	1.144869e-05	1.144869e-05
8.000000e+01	9.600000e+01	7.500438e-03	1.063403e-05	1.063403e-05
9.600000e+01	1.120000e+02	5.420587e-03	9.220728e-06	9.220728e-06
1.120000e+02	1.280000e+02	3.608362e-03	7.191507e-06	7.191507e-06
1.280000e+02	1.440000e+02	2.314397e-03	5.705984e-06	5.705984e-06
1.440000e+02	1.600000e+02	1.471815e-03	4.533606e-06	4.533606e-06
1.600000e+02	1.760000e+02	9.386308e-04	3.553052e-06	3.553052e-06
1.760000e+02	1.920000e+02	6.065836e-04	2.859319e-06	2.859319e-06
1.920000e+02	2.080000e+02	3.988065e-04	2.359409e-06	2.359409e-06
2.080000e+02	2.240000e+02	2.635258e-04	1.935539e-06	1.935539e-06
2.240000e+02	2.400000e+02	1.799476e-04	1.601708e-06	1.601708e-06
2.400000e+02	2.560000e+02	1.224912e-04	1.350023e-06	1.350023e-06
2.560000e+02	2.720000e+02	8.478773e-05	1.123223e-06	1.123223e-06
2.720000e+02	2.880000e+02	5.971855e-05	9.894084e-07	9.894084e-07
2.880000e+02	3.040000e+02	4.279125e-05	8.549035e-07	8.549035e-07
3.040000e+02	3.200000e+02	3.081368e-05	7.324596e-07	7.324596e-07
3.200000e+02	3.360000e+02	2.244521e-05	6.921229e-07	6.921229e-07
3.360000e+02	3.520000e+02	1.649416e-05	5.482054e-07	5.482054e-07
3.520000e+02	3.680000e+02	1.204536e-05	4.917114e-07	4.917114e-07
3.680000e+02	3.840000e+02	9.098258e-06	4.184725e-07	4.184725e-07
3.840000e+02	4.000000e+02	6.672066e-06	3.585745e-07	3.585745e-07
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASHNEW_FULL_CUTS.yoda/ATLAS_histo/Pt1
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=Rivet_ATLASHNEW_FULL_CUTS.yoda/ATLAS_histo/Pt1
ScaledBy=7.6639354863602522e-06
Title=Rivet_ATLASHNEW_FULL_CUTS
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	3.200000e+01	1.580687e-05	2.751622e-06	2.751622e-06
3.200000e+01	4.800000e+01	2.340853e-03	3.348521e-05	3.348521e-05
4.800000e+01	6.400000e+01	6.877900e-03	5.739763e-05	5.739763e-05
6.400000e+01	8.000000e+01	9.013269e-03	6.570632e-05	6.570632e-05
8.000000e+01	9.600000e+01	7.715187e-03	6.079099e-05	6.079099e-05
9.600000e+01	1.120000e+02	5.596589e-03	5.177590e-05	5.177590e-05
1.120000e+02	1.280000e+02	3.749581e-03	4.237964e-05	4.237964e-05
1.280000e+02	1.440000e+02	2.388753e-03	3.382607e-05	3.382607e-05
1.440000e+02	1.600000e+02	1.517938e-03	2.696454e-05	2.696454e-05
1.600000e+02	1.760000e+02	9.436219e-04	2.126008e-05	2.126008e-05
1.760000e+02	1.920000e+02	5.992239e-04	1.694184e-05	1.694184e-05
1.920000e+02	2.080000e+02	3.875078e-04	1.362405e-05	1.362405e-05
2.080000e+02	2.240000e+02	2.639267e-04	1.124366e-05	1.124366e-05
2.240000e+02	2.400000e+02	2.006993e-04	9.804804e-06	9.804804e-06
2.400000e+02	2.560000e+02	1.322029e-04	7.957679e-06	7.957679e-06
2.560000e+02	2.720000e+02	9.532019e-05	6.757071e-06	6.757071e-06
2.720000e+02	2.880000e+02	6.705944e-05	5.667557e-06	5.667557e-06
2.880000e+02	3.040000e+02	4.933659e-05	4.861278e-06	4.861278e-06
3.040000e+02	3.200000e+02	4.263064e-05	4.518839e-06	4.518839e-06
3.200000e+02	3.360000e+02	3.161373e-05	3.891382e-06	3.891382e-06
3.360000e+02	3.520000e+02	2.490779e-05	3.454089e-06	3.454089e-06
3.520000e+02	3.680000e+02	2.251281e-05	3.283831e-06	3.283831e-06
3.680000e+02	3.840000e+02	1.724386e-05	2.873976e-06	2.873976e-06
3.840000e+02	4.000000e+02	1.389088e-05	2.579472e-06	2.579472e-06
# END HISTO1D

