# BEGIN PLOT
DrawOnly=Rivet_ATLASHNEW_FULL_HThalf.yoda/ATLAS_histo_new/Eta1
LogY=1
LegendXPos=0.65
XLabel=$1^\mathrm{st}$ jet $\eta$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D Rivet_ATLASHNEW_FULL_HThalf.yoda/ATLAS_histo_new/Eta1
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=Rivet_ATLASHNEW_FULL_HThalf.yoda/ATLAS_histo_new/Eta1
ScaledBy=0.0014825641133745847
Title=Rivet_ATLASHNEW_FULL_HThalf
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.250000e+00	2.965128e-02	1.326046e-02	1.326046e-02
-2.250000e+00	-2.000000e+00	2.372102e-02	1.186051e-02	1.186051e-02
-2.000000e+00	-1.750000e+00	5.337232e-02	1.779077e-02	1.779077e-02
-1.750000e+00	-1.500000e+00	1.008144e-01	2.445107e-02	2.445107e-02
-1.500000e+00	-1.250000e+00	1.186051e-01	2.652091e-02	2.652091e-02
-1.250000e+00	-1.000000e+00	1.363959e-01	2.844051e-02	2.844051e-02
-1.000000e+00	-7.500000e-01	1.482564e-01	2.965128e-02	2.965128e-02
-7.500000e-01	-5.000000e-01	1.304656e-01	2.781537e-02	2.781537e-02
-5.000000e-01	-2.500000e-01	1.779077e-01	3.248135e-02	3.248135e-02
-2.500000e-01	0.000000e+00	2.016287e-01	3.457904e-02	3.457904e-02
0.000000e+00	2.500000e-01	2.075590e-01	3.508387e-02	3.508387e-02
2.500000e-01	5.000000e-01	1.482564e-01	2.965128e-02	2.965128e-02
5.000000e-01	7.500000e-01	1.719774e-01	3.193541e-02	3.193541e-02
7.500000e-01	1.000000e+00	1.423262e-01	2.905220e-02	2.905220e-02
1.000000e+00	1.250000e+00	9.488412e-02	2.372103e-02	2.372103e-02
1.250000e+00	1.500000e+00	9.488412e-02	2.372103e-02	2.372103e-02
1.500000e+00	1.750000e+00	5.930256e-02	1.875312e-02	1.875312e-02
1.750000e+00	2.000000e+00	7.116308e-02	2.054301e-02	2.054301e-02
2.000000e+00	2.250000e+00	2.965128e-02	1.326046e-02	1.326046e-02
2.250000e+00	2.500000e+00	2.965128e-02	1.326046e-02	1.326046e-02
# END HISTO1D

