# BEGIN PLOT
DrawOnly=Rivet_ATLASHNEW_FULL_HThalf.yoda/ATLAS_histo_new/HT
YLabel=$\mathrm{d}\sigma/\mathrm{dH}_{\mathrm{T}}$ [pb]
XLabel=$\mathrm{H}_\mathrm{T}$ [GeV]
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D Rivet_ATLASHNEW_FULL_HThalf.yoda/ATLAS_histo_new/HT
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=Rivet_ATLASHNEW_FULL_HThalf.yoda/ATLAS_histo_new/HT
ScaledBy=0.0014825641133745847
Title=Rivet_ATLASHNEW_FULL_HThalf
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.800000e+02	4.694787e-04	1.077058e-04	1.077058e-04
1.800000e+02	2.400000e+02	1.359017e-03	1.832498e-04	1.832498e-04
2.400000e+02	3.000000e+02	2.767453e-03	2.614997e-04	2.614997e-04
3.000000e+02	3.600000e+02	2.149718e-03	2.304740e-04	2.304740e-04
3.600000e+02	4.200000e+02	1.062504e-03	1.620304e-04	1.620304e-04
4.200000e+02	4.800000e+02	5.930257e-04	1.210509e-04	1.210509e-04
4.800000e+02	5.400000e+02	2.718035e-04	8.195182e-05	8.195182e-05
5.400000e+02	6.000000e+02	2.223847e-04	7.412821e-05	7.412821e-05
6.000000e+02	6.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+02	7.200000e+02	4.941880e-05	3.494437e-05	3.494437e-05
7.200000e+02	7.800000e+02	4.941880e-05	3.494437e-05	3.494437e-05
7.800000e+02	8.400000e+02	2.470940e-05	2.470940e-05	2.470940e-05
8.400000e+02	9.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+02	9.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+02	1.020000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.020000e+03	1.080000e+03	2.470940e-05	2.470940e-05	2.470940e-05
1.080000e+03	1.140000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.140000e+03	1.200000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

