# BEGIN PLOT
DrawOnly=Rivet_ATLASHNEW_FULL_HThalf.yoda/ATLAS_histo_new/Mlb
LogY=1
LegendXPos=0.65
XLabel=$\mathrm{m}_\mathrm{lb}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{dm}_{\mathrm{lb}}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D Rivet_ATLASHNEW_FULL_HThalf.yoda/ATLAS_histo_new/Mlb
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=Rivet_ATLASHNEW_FULL_HThalf.yoda/ATLAS_histo_new/Mlb
ScaledBy=0.0014825641133745847
Title=Rivet_ATLASHNEW_FULL_HThalf
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	3.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+01	4.000000e+01	1.853205e-04	1.853205e-04	1.853205e-04
4.000000e+01	4.800000e+01	3.706410e-04	2.620828e-04	2.620828e-04
4.800000e+01	5.600000e+01	1.297244e-03	4.903119e-04	4.903119e-04
5.600000e+01	6.400000e+01	2.038526e-03	6.146386e-04	6.146386e-04
6.400000e+01	7.200000e+01	1.853205e-03	5.860349e-04	5.860349e-04
7.200000e+01	8.000000e+01	4.447693e-03	9.078814e-04	9.078814e-04
8.000000e+01	8.800000e+01	4.262371e-03	8.887660e-04	8.887660e-04
8.800000e+01	9.600000e+01	3.891731e-03	8.492453e-04	8.492453e-04
9.600000e+01	1.040000e+02	3.521090e-03	8.077934e-04	8.077934e-04
1.040000e+02	1.120000e+02	4.077051e-03	8.692303e-04	8.692303e-04
1.120000e+02	1.200000e+02	1.853205e-03	5.860349e-04	5.860349e-04
1.200000e+02	1.280000e+02	1.482564e-03	5.241656e-04	5.241656e-04
1.280000e+02	1.360000e+02	3.706410e-04	2.620828e-04	2.620828e-04
1.360000e+02	1.440000e+02	1.853205e-04	1.853205e-04	1.853205e-04
1.440000e+02	1.520000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.520000e+02	1.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+02	1.680000e+02	1.853205e-04	1.853205e-04	1.853205e-04
1.680000e+02	1.760000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.760000e+02	1.840000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.840000e+02	1.920000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.920000e+02	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

