# BEGIN PLOT
DrawOnly=Rivet_ATLASHNEW_FULL_HThalf.yoda/ATLAS_histo_new/Phiemu
LogY=0
LegendXPos=0.65
XLabel=Azimuthal angle between the two leptons $\phi_{\mathrm{e}^+\mu^-}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\phi$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D Rivet_ATLASHNEW_FULL_HThalf.yoda/ATLAS_histo_new/Phiemu
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=Rivet_ATLASHNEW_FULL_HThalf.yoda/ATLAS_histo_new/Phiemu
ScaledBy=0.0014825641133745847
Title=Rivet_ATLASHNEW_FULL_HThalf
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.141593e-01	8.494464e-02	2.002165e-02	2.002165e-02
3.141593e-01	6.283185e-01	5.191066e-02	1.565165e-02	1.565165e-02
6.283185e-01	9.424778e-01	5.191064e-02	1.565164e-02	1.565164e-02
9.424778e-01	1.256637e+00	5.191066e-02	1.565165e-02	1.565165e-02
1.256637e+00	1.570796e+00	5.662983e-02	1.634762e-02	1.634762e-02
1.570796e+00	1.884956e+00	4.247224e-02	1.415741e-02	1.415741e-02
1.884956e+00	2.199115e+00	1.321363e-01	2.497141e-02	2.497141e-02
2.199115e+00	2.513274e+00	1.368554e-01	2.541341e-02	2.541341e-02
2.513274e+00	2.827433e+00	8.494473e-02	2.002167e-02	2.002167e-02
2.827433e+00	3.141593e+00	1.462933e-01	2.627504e-02	2.627504e-02
3.141593e+00	3.455752e+00	1.274171e-01	2.452143e-02	2.452143e-02
3.455752e+00	3.769911e+00	8.966390e-02	2.057031e-02	2.057031e-02
3.769911e+00	4.084070e+00	1.368554e-01	2.541341e-02	2.541341e-02
4.084070e+00	4.398230e+00	7.078705e-02	1.827714e-02	1.827714e-02
4.398230e+00	4.712389e+00	9.438304e-02	2.110469e-02	2.110469e-02
4.712389e+00	5.026548e+00	1.132597e-01	2.311903e-02	2.311903e-02
5.026548e+00	5.340708e+00	8.022533e-02	1.945750e-02	1.945750e-02
5.340708e+00	5.654867e+00	5.662983e-02	1.634762e-02	1.634762e-02
5.654867e+00	5.969026e+00	5.191069e-02	1.565166e-02	1.565166e-02
5.969026e+00	6.283185e+00	7.078728e-02	1.827720e-02	1.827720e-02
# END HISTO1D

