# BEGIN PLOT
DrawOnly=Rivet_ATLASHNEW_FULL_HThalf.yoda/ATLAS_histo_new/Pt1
YLabel=$\mathrm{d}\sigma/\mathrm{dp}_{\mathrm{T}}$ [pb]
XLabel=$1^\mathrm{st}$ jet $\mathrm{p}_\mathrm{T}$ [GeV]
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D Rivet_ATLASHNEW_FULL_HThalf.yoda/ATLAS_histo_new/Pt1
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=Rivet_ATLASHNEW_FULL_HThalf.yoda/ATLAS_histo_new/Pt1
ScaledBy=0.0014825641133745847
Title=Rivet_ATLASHNEW_FULL_HThalf
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	3.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+01	4.800000e+01	2.038526e-03	4.346151e-04	4.346151e-04
4.800000e+01	6.400000e+01	5.096314e-03	6.871869e-04	6.871869e-04
6.400000e+01	8.000000e+01	6.393556e-03	7.696938e-04	7.696938e-04
8.000000e+01	9.600000e+01	6.115577e-03	7.527756e-04	7.527756e-04
9.600000e+01	1.120000e+02	4.633013e-03	6.552069e-04	6.552069e-04
1.120000e+02	1.280000e+02	3.150449e-03	5.402975e-04	5.402975e-04
1.280000e+02	1.440000e+02	2.409167e-03	4.724765e-04	4.724765e-04
1.440000e+02	1.600000e+02	1.297244e-03	3.467029e-04	3.467029e-04
1.600000e+02	1.760000e+02	6.486219e-04	2.451560e-04	2.451560e-04
1.760000e+02	1.920000e+02	1.019263e-03	3.073193e-04	3.073193e-04
1.920000e+02	2.080000e+02	2.779807e-04	1.604923e-04	1.604923e-04
2.080000e+02	2.240000e+02	1.853205e-04	1.310414e-04	1.310414e-04
2.240000e+02	2.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+02	2.560000e+02	9.266025e-05	9.266025e-05	9.266025e-05
2.560000e+02	2.720000e+02	9.266025e-05	9.266025e-05	9.266025e-05
2.720000e+02	2.880000e+02	9.266025e-05	9.266025e-05	9.266025e-05
2.880000e+02	3.040000e+02	9.266025e-05	9.266025e-05	9.266025e-05
3.040000e+02	3.200000e+02	9.266025e-05	9.266025e-05	9.266025e-05
3.200000e+02	3.360000e+02	9.266025e-05	9.266025e-05	9.266025e-05
3.360000e+02	3.520000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.520000e+02	3.680000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.680000e+02	3.840000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.840000e+02	4.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

