# BEGIN PLOT
DrawOnly=Rivet_ATLASHNEW_FULL_HThalf.yoda/ATLAS_histo_new/PtMiss
YLabel=$\mathrm{d}\sigma/\mathrm{dp}_{\mathrm{T, miss}}$ [pb]
XLabel=Missing transverse momentum $\mathrm{p}_\mathrm{T, miss}$ [GeV]
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D Rivet_ATLASHNEW_FULL_HThalf.yoda/ATLAS_histo_new/PtMiss
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=Rivet_ATLASHNEW_FULL_HThalf.yoda/ATLAS_histo_new/PtMiss
ScaledBy=0.0014825641133745847
Title=Rivet_ATLASHNEW_FULL_HThalf
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	3.200000e+01	3.150449e-03	5.402975e-04	5.402975e-04
3.200000e+01	4.800000e+01	6.856856e-03	7.970936e-04	7.970936e-04
4.800000e+01	6.400000e+01	6.208237e-03	7.584570e-04	7.584570e-04
6.400000e+01	8.000000e+01	6.393556e-03	7.696938e-04	7.696938e-04
8.000000e+01	9.600000e+01	5.003654e-03	6.809110e-04	6.809110e-04
9.600000e+01	1.120000e+02	2.779808e-03	5.075211e-04	5.075211e-04
1.120000e+02	1.280000e+02	1.575224e-03	3.820480e-04	3.820480e-04
1.280000e+02	1.440000e+02	8.339425e-04	2.779808e-04	2.779808e-04
1.440000e+02	1.600000e+02	7.412819e-04	2.620828e-04	2.620828e-04
1.600000e+02	1.760000e+02	9.266025e-05	9.266025e-05	9.266025e-05
1.760000e+02	1.920000e+02	1.853205e-04	1.310414e-04	1.310414e-04
1.920000e+02	2.080000e+02	9.266025e-05	9.266025e-05	9.266025e-05
2.080000e+02	2.240000e+02	9.266025e-05	9.266025e-05	9.266025e-05
2.240000e+02	2.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+02	2.560000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.560000e+02	2.720000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.720000e+02	2.880000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.880000e+02	3.040000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.040000e+02	3.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+02	3.360000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.360000e+02	3.520000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.520000e+02	3.680000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.680000e+02	3.840000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.840000e+02	4.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

