# BEGIN PLOT
DrawOnly=Rivet_ATLASHNEW_FULL_HThalf.yoda/ATLAS_histo_new/deltaRb
LogY=1
LegendXPos=0.1
XLabel=Separation of the two b-jets $\Delta \mathrm{R}_{\mathrm{bb}}$
YLabel=$\mathrm{d}\sigma/\Delta \mathrm{R}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D Rivet_ATLASHNEW_FULL_HThalf.yoda/ATLAS_histo_new/deltaRb
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=Rivet_ATLASHNEW_FULL_HThalf.yoda/ATLAS_histo_new/deltaRb
ScaledBy=0.0014825641133745847
Title=Rivet_ATLASHNEW_FULL_HThalf
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e-01	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	7.500000e-01	5.337232e-02	1.779077e-02	1.779077e-02
7.500000e-01	1.000000e+00	9.488412e-02	2.372103e-02	2.372103e-02
1.000000e+00	1.250000e+00	5.337232e-02	1.779077e-02	1.779077e-02
1.250000e+00	1.500000e+00	1.779077e-01	3.248135e-02	3.248135e-02
1.500000e+00	1.750000e+00	1.186051e-01	2.652091e-02	2.652091e-02
1.750000e+00	2.000000e+00	1.008144e-01	2.445107e-02	2.445107e-02
2.000000e+00	2.250000e+00	1.956985e-01	3.406673e-02	3.406673e-02
2.250000e+00	2.500000e+00	2.490708e-01	3.843246e-02	3.843246e-02
2.500000e+00	2.750000e+00	2.550010e-01	3.888729e-02	3.888729e-02
2.750000e+00	3.000000e+00	2.490708e-01	3.843246e-02	3.843246e-02
3.000000e+00	3.250000e+00	3.439549e-01	4.516349e-02	4.516349e-02
3.250000e+00	3.500000e+00	1.067446e-01	2.515995e-02	2.515995e-02
3.500000e+00	3.750000e+00	1.067446e-01	2.515995e-02	2.515995e-02
3.750000e+00	4.000000e+00	4.744204e-02	1.677330e-02	1.677330e-02
4.000000e+00	4.250000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.250000e+00	4.500000e+00	1.779077e-02	1.027151e-02	1.027151e-02
4.500000e+00	4.750000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.750000e+00	5.000000e+00	5.930256e-03	5.930256e-03	5.930256e-03
# END HISTO1D

