# BEGIN PLOT
DrawOnly=Rivet_ATLASHNEW_FULL_HThalf.yoda/ATLAS_histo_new/deltaRl
LogY=1
LegendXPos=0.1
XLabel=Separation of the two leptons $\Delta \mathrm{R}_{\mathrm{ll}}$
YLabel=$\mathrm{d}\sigma/\Delta \mathrm{R}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D Rivet_ATLASHNEW_FULL_HThalf.yoda/ATLAS_histo_new/deltaRl
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=Rivet_ATLASHNEW_FULL_HThalf.yoda/ATLAS_histo_new/deltaRl
ScaledBy=0.0014825641133745847
Title=Rivet_ATLASHNEW_FULL_HThalf
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e-01	1.186051e-02	8.386649e-03	8.386649e-03
2.500000e-01	5.000000e-01	4.744204e-02	1.677330e-02	1.677330e-02
5.000000e-01	7.500000e-01	7.116308e-02	2.054301e-02	2.054301e-02
7.500000e-01	1.000000e+00	9.488412e-02	2.372103e-02	2.372103e-02
1.000000e+00	1.250000e+00	1.363959e-01	2.844051e-02	2.844051e-02
1.250000e+00	1.500000e+00	1.304656e-01	2.781537e-02	2.781537e-02
1.500000e+00	1.750000e+00	1.423262e-01	2.905220e-02	2.905220e-02
1.750000e+00	2.000000e+00	1.601169e-01	3.081452e-02	3.081452e-02
2.000000e+00	2.250000e+00	2.016287e-01	3.457904e-02	3.457904e-02
2.250000e+00	2.500000e+00	2.668616e-01	3.978137e-02	3.978137e-02
2.500000e+00	2.750000e+00	1.956985e-01	3.406673e-02	3.406673e-02
2.750000e+00	3.000000e+00	2.134892e-01	3.558154e-02	3.558154e-02
3.000000e+00	3.250000e+00	2.609313e-01	3.933687e-02	3.933687e-02
3.250000e+00	3.500000e+00	1.008144e-01	2.445107e-02	2.445107e-02
3.500000e+00	3.750000e+00	5.337232e-02	1.779077e-02	1.779077e-02
3.750000e+00	4.000000e+00	5.930256e-02	1.875312e-02	1.875312e-02
4.000000e+00	4.250000e+00	1.186051e-02	8.386649e-03	8.386649e-03
4.250000e+00	4.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e+00	4.750000e+00	1.186051e-02	8.386649e-03	8.386649e-03
4.750000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

