# BEGIN PLOT
DrawOnly=johannes.yoda/ATLAS_histo/Eta1 Rivet_ATLASH_POWHEG_TTBA.yoda/ATLAS_histo/Eta1
RatioPlotReference=johannes.yoda/ATLAS_histo/Eta1
RatioPlot=1
LogY=1
LegendXPos=0.65
XLabel=$1^\mathrm{st}$ jet $\eta$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D johannes.yoda/ATLAS_histo/Eta1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=johannes.yoda/ATLAS_histo/Eta1
Title=johannes
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.250000e+00	2.240794e-02	2.046924e-04	2.046924e-04
-2.250000e+00	-2.000000e+00	3.795953e-02	2.487375e-04	2.487375e-04
-2.000000e+00	-1.750000e+00	5.914884e-02	3.007976e-04	3.007976e-04
-1.750000e+00	-1.500000e+00	8.530214e-02	3.466967e-04	3.466967e-04
-1.500000e+00	-1.250000e+00	1.152604e-01	3.965264e-04	3.965264e-04
-1.250000e+00	-1.000000e+00	1.454568e-01	4.233249e-04	4.233249e-04
-1.000000e+00	-7.500000e-01	1.740424e-01	4.491400e-04	4.491400e-04
-7.500000e-01	-5.000000e-01	1.979097e-01	4.673173e-04	4.673173e-04
-5.000000e-01	-2.500000e-01	2.153460e-01	4.753314e-04	4.753314e-04
-2.500000e-01	0.000000e+00	2.242032e-01	4.810700e-04	4.810700e-04
0.000000e+00	2.500000e-01	2.237554e-01	4.774615e-04	4.774615e-04
2.500000e-01	5.000000e-01	2.150755e-01	4.880791e-04	4.880791e-04
5.000000e-01	7.500000e-01	1.979327e-01	4.641134e-04	4.641134e-04
7.500000e-01	1.000000e+00	1.741725e-01	4.456727e-04	4.456727e-04
1.000000e+00	1.250000e+00	1.455471e-01	4.219578e-04	4.219578e-04
1.250000e+00	1.500000e+00	1.148002e-01	3.883707e-04	3.883707e-04
1.500000e+00	1.750000e+00	8.547220e-02	3.466751e-04	3.466751e-04
1.750000e+00	2.000000e+00	5.929059e-02	3.160799e-04	3.160799e-04
2.000000e+00	2.250000e+00	3.808454e-02	2.502775e-04	2.502775e-04
2.250000e+00	2.500000e+00	2.248618e-02	1.973066e-04	1.973066e-04
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASH_POWHEG_TTBA.yoda/ATLAS_histo/Eta1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=Rivet_ATLASH_POWHEG_TTBA.yoda/ATLAS_histo/Eta1
ScaledBy=0.00017627357659086903
Title=Rivet_ATLASH_POWHEG_TTBA
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.250000e+00	3.172924e-02	4.729917e-03	4.729917e-03
-2.250000e+00	-2.000000e+00	6.909924e-02	6.980078e-03	6.980078e-03
-2.000000e+00	-1.750000e+00	1.043540e-01	8.577842e-03	8.577842e-03
-1.750000e+00	-1.500000e+00	1.297374e-01	9.564365e-03	9.564365e-03
-1.500000e+00	-1.250000e+00	2.009519e-01	1.190336e-02	1.190336e-02
-1.250000e+00	-1.000000e+00	2.481932e-01	1.322874e-02	1.322874e-02
-1.000000e+00	-7.500000e-01	2.806275e-01	1.406658e-02	1.406658e-02
-7.500000e-01	-5.000000e-01	3.074211e-01	1.472280e-02	1.472280e-02
-5.000000e-01	-2.500000e-01	3.405606e-01	1.549604e-02	1.549604e-02
-2.500000e-01	0.000000e+00	3.137670e-01	1.487398e-02	1.487398e-02
0.000000e+00	2.500000e-01	3.433809e-01	1.556008e-02	1.556008e-02
2.500000e-01	5.000000e-01	3.038956e-01	1.463814e-02	1.463814e-02
5.000000e-01	7.500000e-01	3.053058e-01	1.467206e-02	1.467206e-02
7.500000e-01	1.000000e+00	2.806275e-01	1.406658e-02	1.406658e-02
1.000000e+00	1.250000e+00	2.122334e-01	1.223293e-02	1.223293e-02
1.250000e+00	1.500000e+00	1.974264e-01	1.179848e-02	1.179848e-02
1.500000e+00	1.750000e+00	1.381985e-01	9.871320e-03	9.871320e-03
1.750000e+00	2.000000e+00	8.884188e-02	7.914664e-03	7.914664e-03
2.000000e+00	2.250000e+00	6.134320e-02	6.576682e-03	6.576682e-03
2.250000e+00	2.500000e+00	4.089548e-02	5.369839e-03	5.369839e-03
# END HISTO1D

