# BEGIN PLOT
DrawOnly=johannes.yoda/ATLAS_histo/HT Rivet_ATLASH_POWHEG_TTBA.yoda/ATLAS_histo/HT
RatioPlotReference=johannes.yoda/ATLAS_histo/HT
RatioPlot=1
LogY=1
XLabel=$\mathrm{H}_\mathrm{T}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{dH}_{\mathrm{T}}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D johannes.yoda/ATLAS_histo/HT
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=johannes.yoda/ATLAS_histo/HT
Title=johannes
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.800000e+02	2.877909e-05	3.044359e-07	3.044359e-07
1.800000e+02	2.400000e+02	8.355337e-04	2.079268e-06	2.079268e-06
2.400000e+02	3.000000e+02	3.261888e-03	4.097423e-06	4.097423e-06
3.000000e+02	3.600000e+02	3.372479e-03	4.035493e-06	4.035493e-06
3.600000e+02	4.200000e+02	1.611369e-03	2.730253e-06	2.730253e-06
4.200000e+02	4.800000e+02	7.367024e-04	1.896367e-06	1.896367e-06
4.800000e+02	5.400000e+02	3.608114e-04	1.260568e-06	1.260568e-06
5.400000e+02	6.000000e+02	1.866069e-04	9.047279e-07	9.047279e-07
6.000000e+02	6.600000e+02	1.011852e-04	6.822331e-07	6.822331e-07
6.600000e+02	7.200000e+02	5.723466e-05	5.262954e-07	5.262954e-07
7.200000e+02	7.800000e+02	3.345653e-05	4.228037e-07	4.228037e-07
7.800000e+02	8.400000e+02	1.985001e-05	3.291067e-07	3.291067e-07
8.400000e+02	9.000000e+02	1.215201e-05	2.606676e-07	2.606676e-07
9.000000e+02	9.600000e+02	7.462003e-06	2.056276e-07	2.056276e-07
9.600000e+02	1.020000e+03	4.923449e-06	1.753454e-07	1.753454e-07
1.020000e+03	1.080000e+03	3.217525e-06	1.423073e-07	1.423073e-07
1.080000e+03	1.140000e+03	2.077370e-06	1.036991e-07	1.036991e-07
1.140000e+03	1.200000e+03	1.373649e-06	8.316212e-08	8.316212e-08
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASH_POWHEG_TTBA.yoda/ATLAS_histo/HT
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=Rivet_ATLASH_POWHEG_TTBA.yoda/ATLAS_histo/HT
ScaledBy=0.00017627357659086903
Title=Rivet_ATLASH_POWHEG_TTBA
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.800000e+02	1.797990e-03	7.267945e-05	7.267945e-05
1.800000e+02	2.400000e+02	2.738117e-03	8.968998e-05	8.968998e-05
2.400000e+02	3.000000e+02	3.446148e-03	1.006201e-04	1.006201e-04
3.000000e+02	3.600000e+02	2.914390e-03	9.253196e-05	9.253196e-05
3.600000e+02	4.200000e+02	2.015395e-03	7.694812e-05	7.694812e-05
4.200000e+02	4.800000e+02	1.316176e-03	6.218347e-05	6.218347e-05
4.800000e+02	5.400000e+02	8.402373e-04	4.968428e-05	4.968428e-05
5.400000e+02	6.000000e+02	5.493860e-04	4.017508e-05	4.017508e-05
6.000000e+02	6.600000e+02	3.378577e-04	3.150539e-05	3.150539e-05
6.600000e+02	7.200000e+02	2.056525e-04	2.458017e-05	2.458017e-05
7.200000e+02	7.800000e+02	1.615841e-04	2.178800e-05	2.178800e-05
7.800000e+02	8.400000e+02	8.519890e-05	1.582104e-05	1.582104e-05
8.400000e+02	9.000000e+02	7.932312e-05	1.526574e-05	1.526574e-05
9.000000e+02	9.600000e+02	5.288207e-05	1.246442e-05	1.246442e-05
9.600000e+02	1.020000e+03	4.113050e-05	1.099259e-05	1.099259e-05
1.020000e+03	1.080000e+03	2.056525e-05	7.772934e-06	7.772934e-06
1.080000e+03	1.140000e+03	2.644103e-05	8.813679e-06	8.813679e-06
1.140000e+03	1.200000e+03	1.468946e-05	6.569329e-06	6.569329e-06
# END HISTO1D

