# BEGIN PLOT
DrawOnly=johannes.yoda/ATLAS_histo/Pt1 Rivet_ATLASH_POWHEG_TTBA.yoda/ATLAS_histo/Pt1
RatioPlotReference=johannes.yoda/ATLAS_histo/Pt1
RatioPlot=1
LogY=1
XLabel=$1^\mathrm{st}$ jet $\mathrm{p}_\mathrm{T}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{dp}_{\mathrm{T}}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D johannes.yoda/ATLAS_histo/Pt1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=johannes.yoda/ATLAS_histo/Pt1
Title=johannes
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	3.200000e+01	1.509688e-05	2.343592e-07	2.343592e-07
3.200000e+01	4.800000e+01	1.917743e-03	5.160976e-06	5.160976e-06
4.800000e+01	6.400000e+01	6.201262e-03	9.646877e-06	9.646877e-06
6.400000e+01	8.000000e+01	8.631888e-03	1.144869e-05	1.144869e-05
8.000000e+01	9.600000e+01	7.500438e-03	1.063403e-05	1.063403e-05
9.600000e+01	1.120000e+02	5.420587e-03	9.220728e-06	9.220728e-06
1.120000e+02	1.280000e+02	3.608362e-03	7.191507e-06	7.191507e-06
1.280000e+02	1.440000e+02	2.314397e-03	5.705984e-06	5.705984e-06
1.440000e+02	1.600000e+02	1.471815e-03	4.533606e-06	4.533606e-06
1.600000e+02	1.760000e+02	9.386308e-04	3.553052e-06	3.553052e-06
1.760000e+02	1.920000e+02	6.065836e-04	2.859319e-06	2.859319e-06
1.920000e+02	2.080000e+02	3.988065e-04	2.359409e-06	2.359409e-06
2.080000e+02	2.240000e+02	2.635258e-04	1.935539e-06	1.935539e-06
2.240000e+02	2.400000e+02	1.799476e-04	1.601708e-06	1.601708e-06
2.400000e+02	2.560000e+02	1.224912e-04	1.350023e-06	1.350023e-06
2.560000e+02	2.720000e+02	8.478773e-05	1.123223e-06	1.123223e-06
2.720000e+02	2.880000e+02	5.971855e-05	9.894084e-07	9.894084e-07
2.880000e+02	3.040000e+02	4.279125e-05	8.549035e-07	8.549035e-07
3.040000e+02	3.200000e+02	3.081368e-05	7.324596e-07	7.324596e-07
3.200000e+02	3.360000e+02	2.244521e-05	6.921229e-07	6.921229e-07
3.360000e+02	3.520000e+02	1.649416e-05	5.482054e-07	5.482054e-07
3.520000e+02	3.680000e+02	1.204536e-05	4.917114e-07	4.917114e-07
3.680000e+02	3.840000e+02	9.098258e-06	4.184725e-07	4.184725e-07
3.840000e+02	4.000000e+02	6.672066e-06	3.585745e-07	3.585745e-07
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASH_POWHEG_TTBA.yoda/ATLAS_histo/Pt1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=Rivet_ATLASH_POWHEG_TTBA.yoda/ATLAS_histo/Pt1
ScaledBy=0.00017627357659086903
Title=Rivet_ATLASH_POWHEG_TTBA
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	3.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+01	4.800000e+01	2.401727e-03	1.626655e-04	1.626655e-04
4.800000e+01	6.400000e+01	7.910275e-03	2.952089e-04	2.952089e-04
6.400000e+01	8.000000e+01	1.150185e-02	3.559734e-04	3.559734e-04
8.000000e+01	9.600000e+01	1.124846e-02	3.520303e-04	3.520303e-04
9.600000e+01	1.120000e+02	9.474706e-03	3.230847e-04	3.230847e-04
1.120000e+02	1.280000e+02	6.643312e-03	2.705365e-04	2.705365e-04
1.280000e+02	1.440000e+02	4.153446e-03	2.139133e-04	2.139133e-04
1.440000e+02	1.600000e+02	3.029702e-03	1.826979e-04	1.826979e-04
1.600000e+02	1.760000e+02	1.817821e-03	1.415172e-04	1.415172e-04
1.760000e+02	1.920000e+02	1.300018e-03	1.196763e-04	1.196763e-04
1.920000e+02	2.080000e+02	8.042481e-04	9.413013e-05	9.413013e-05
2.080000e+02	2.240000e+02	6.830600e-04	8.674872e-05	8.674872e-05
2.240000e+02	2.400000e+02	5.067866e-04	7.472159e-05	7.472159e-05
2.400000e+02	2.560000e+02	2.754274e-04	5.508549e-05	5.508549e-05
2.560000e+02	2.720000e+02	2.423762e-04	5.167477e-05	5.167477e-05
2.720000e+02	2.880000e+02	1.211881e-04	3.653958e-05	3.653958e-05
2.880000e+02	3.040000e+02	9.915388e-05	3.305130e-05	3.305130e-05
3.040000e+02	3.200000e+02	8.813681e-05	3.116106e-05	3.116106e-05
3.200000e+02	3.360000e+02	2.203420e-05	1.558053e-05	1.558053e-05
3.360000e+02	3.520000e+02	3.305129e-05	1.908217e-05	1.908217e-05
3.520000e+02	3.680000e+02	3.305129e-05	1.908217e-05	1.908217e-05
3.680000e+02	3.840000e+02	4.406839e-05	2.203420e-05	2.203420e-05
3.840000e+02	4.000000e+02	3.305129e-05	1.908217e-05	1.908217e-05
# END HISTO1D

