# BEGIN PLOT
DrawOnly=johannes.yoda/ATLAS_histo/Eta1 WWbB.yoda/ATLAS_histo/Eta1
RatioPlotReference=johannes.yoda/ATLAS_histo/Eta1
RatioPlot=1
LogY=1
LegendXPos=0.65
XLabel=$1^\mathrm{st}$ jet $\eta$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D johannes.yoda/ATLAS_histo/Eta1
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=johannes.yoda/ATLAS_histo/Eta1
Title=johannes
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.250000e+00	2.240794e-02	2.046924e-04	2.046924e-04
-2.250000e+00	-2.000000e+00	3.795953e-02	2.487375e-04	2.487375e-04
-2.000000e+00	-1.750000e+00	5.914884e-02	3.007976e-04	3.007976e-04
-1.750000e+00	-1.500000e+00	8.530214e-02	3.466967e-04	3.466967e-04
-1.500000e+00	-1.250000e+00	1.152604e-01	3.965264e-04	3.965264e-04
-1.250000e+00	-1.000000e+00	1.454568e-01	4.233249e-04	4.233249e-04
-1.000000e+00	-7.500000e-01	1.740424e-01	4.491400e-04	4.491400e-04
-7.500000e-01	-5.000000e-01	1.979097e-01	4.673173e-04	4.673173e-04
-5.000000e-01	-2.500000e-01	2.153460e-01	4.753314e-04	4.753314e-04
-2.500000e-01	0.000000e+00	2.242032e-01	4.810700e-04	4.810700e-04
0.000000e+00	2.500000e-01	2.237554e-01	4.774615e-04	4.774615e-04
2.500000e-01	5.000000e-01	2.150755e-01	4.880791e-04	4.880791e-04
5.000000e-01	7.500000e-01	1.979327e-01	4.641134e-04	4.641134e-04
7.500000e-01	1.000000e+00	1.741725e-01	4.456727e-04	4.456727e-04
1.000000e+00	1.250000e+00	1.455471e-01	4.219578e-04	4.219578e-04
1.250000e+00	1.500000e+00	1.148002e-01	3.883707e-04	3.883707e-04
1.500000e+00	1.750000e+00	8.547220e-02	3.466751e-04	3.466751e-04
1.750000e+00	2.000000e+00	5.929059e-02	3.160799e-04	3.160799e-04
2.000000e+00	2.250000e+00	3.808454e-02	2.502775e-04	2.502775e-04
2.250000e+00	2.500000e+00	2.248618e-02	1.973066e-04	1.973066e-04
# END HISTO1D

# BEGIN HISTO1D WWbB.yoda/ATLAS_histo/Eta1
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=WWbB.yoda/ATLAS_histo/Eta1
ScaledBy=0.10288795443533943
Title=WWbB
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.250000e+00	9.611172e-02	4.298247e-02	4.298247e-02
-2.250000e+00	-2.000000e+00	1.922235e-02	1.922235e-02	1.922235e-02
-2.000000e+00	-1.750000e+00	7.688940e-02	3.844469e-02	3.844469e-02
-1.750000e+00	-1.500000e+00	1.345564e-01	5.085754e-02	5.085754e-02
-1.500000e+00	-1.250000e+00	1.345564e-01	5.085754e-02	5.085754e-02
-1.250000e+00	-1.000000e+00	1.537788e-01	5.436901e-02	5.436901e-02
-1.000000e+00	-7.500000e-01	2.114458e-01	6.375331e-02	6.375331e-02
-7.500000e-01	-5.000000e-01	2.883352e-01	7.444782e-02	7.444782e-02
-5.000000e-01	-2.500000e-01	2.691128e-01	7.192344e-02	7.192344e-02
-2.500000e-01	0.000000e+00	3.652246e-01	8.378827e-02	8.378827e-02
0.000000e+00	2.500000e-01	3.075576e-01	7.688939e-02	7.688939e-02
2.500000e-01	5.000000e-01	3.075576e-01	7.688939e-02	7.688939e-02
5.000000e-01	7.500000e-01	2.114458e-01	6.375331e-02	6.375331e-02
7.500000e-01	1.000000e+00	2.883352e-01	7.444782e-02	7.444782e-02
1.000000e+00	1.250000e+00	2.498905e-01	6.930715e-02	6.930715e-02
1.250000e+00	1.500000e+00	1.345564e-01	5.085754e-02	5.085754e-02
1.500000e+00	1.750000e+00	1.345564e-01	5.085754e-02	5.085754e-02
1.750000e+00	2.000000e+00	1.922235e-01	6.078639e-02	6.078639e-02
2.000000e+00	2.250000e+00	7.688940e-02	3.844469e-02	3.844469e-02
2.250000e+00	2.500000e+00	3.844469e-02	2.718450e-02	2.718450e-02
# END HISTO1D

