# BEGIN PLOT
DrawOnly=johannes.yoda/ATLAS_histo/deltaRl WWbB.yoda/ATLAS_histo/deltaRl
RatioPlotReference=johannes.yoda/ATLAS_histo/deltaRl
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=Separation of the two leptons $\Delta \mathrm{R}_{\mathrm{ll}}$
YLabel=$\mathrm{d}\sigma/\Delta \mathrm{R}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D johannes.yoda/ATLAS_histo/deltaRl
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=johannes.yoda/ATLAS_histo/deltaRl
Title=johannes
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e-01	1.615964e-02	1.456035e-04	1.456035e-04
2.500000e-01	5.000000e-01	4.788924e-02	2.569967e-04	2.569967e-04
5.000000e-01	7.500000e-01	7.903009e-02	3.310070e-04	3.310070e-04
7.500000e-01	1.000000e+00	1.088738e-01	3.869495e-04	3.869495e-04
1.000000e+00	1.250000e+00	1.374276e-01	4.245142e-04	4.245142e-04
1.250000e+00	1.500000e+00	1.642988e-01	4.617089e-04	4.617089e-04
1.500000e+00	1.750000e+00	1.907731e-01	4.907040e-04	4.907040e-04
1.750000e+00	2.000000e+00	2.156649e-01	5.090413e-04	5.090413e-04
2.000000e+00	2.250000e+00	2.397558e-01	5.421788e-04	5.421788e-04
2.250000e+00	2.500000e+00	2.624482e-01	5.424674e-04	5.424674e-04
2.500000e+00	2.750000e+00	2.809682e-01	5.542434e-04	5.542434e-04
2.750000e+00	3.000000e+00	2.958019e-01	5.686871e-04	5.686871e-04
3.000000e+00	3.250000e+00	2.652947e-01	5.332290e-04	5.332290e-04
3.250000e+00	3.500000e+00	1.247449e-01	3.824446e-04	3.824446e-04
3.500000e+00	3.750000e+00	6.382474e-02	2.834483e-04	2.834483e-04
3.750000e+00	4.000000e+00	3.232578e-02	2.045827e-04	2.045827e-04
4.000000e+00	4.250000e+00	1.591404e-02	1.495496e-04	1.495496e-04
4.250000e+00	4.500000e+00	7.419968e-03	1.062500e-04	1.062500e-04
4.500000e+00	4.750000e+00	3.184597e-03	7.156564e-05	7.156564e-05
4.750000e+00	5.000000e+00	1.276277e-03	4.638080e-05	4.638080e-05
# END HISTO1D

# BEGIN HISTO1D WWbB.yoda/ATLAS_histo/deltaRl
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=WWbB.yoda/ATLAS_histo/deltaRl
ScaledBy=0.10288795443533943
Title=WWbB
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e-01	1.922235e-02	1.922235e-02	1.922235e-02
2.500000e-01	5.000000e-01	3.844469e-02	2.718450e-02	2.718450e-02
5.000000e-01	7.500000e-01	9.611172e-02	4.298247e-02	4.298247e-02
7.500000e-01	1.000000e+00	1.922235e-01	6.078639e-02	6.078639e-02
1.000000e+00	1.250000e+00	2.691128e-01	7.192344e-02	7.192344e-02
1.250000e+00	1.500000e+00	1.153341e-01	4.708494e-02	4.708494e-02
1.500000e+00	1.750000e+00	1.922235e-01	6.078639e-02	6.078639e-02
1.750000e+00	2.000000e+00	4.228916e-01	9.016080e-02	9.016080e-02
2.000000e+00	2.250000e+00	4.036692e-01	8.808786e-02	8.808786e-02
2.250000e+00	2.500000e+00	3.267799e-01	7.925577e-02	7.925577e-02
2.500000e+00	2.750000e+00	5.190032e-01	9.988224e-02	9.988224e-02
2.750000e+00	3.000000e+00	4.228916e-01	9.016080e-02	9.016080e-02
3.000000e+00	3.250000e+00	3.460022e-01	8.155351e-02	8.155351e-02
3.250000e+00	3.500000e+00	1.922235e-01	6.078639e-02	6.078639e-02
3.500000e+00	3.750000e+00	7.688940e-02	3.844469e-02	3.844469e-02
3.750000e+00	4.000000e+00	1.922235e-02	1.922235e-02	1.922235e-02
4.000000e+00	4.250000e+00	1.922235e-02	1.922235e-02	1.922235e-02
4.250000e+00	4.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e+00	4.750000e+00	1.922235e-02	1.922235e-02	1.922235e-02
4.750000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

