# BEGIN PLOT
RatioPlotReference=WWbBSherpa.yoda/ATLAS_sherpa/Eta1
RatioPlot=1
DrawOnly=WWbBSherpa.yoda/ATLAS_sherpa/Eta1 emubB_homemade.yoda/ATLAS_sherpa/Eta1
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D WWbBSherpa.yoda/ATLAS_sherpa/Eta1
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=WWbBSherpa.yoda/ATLAS_sherpa/Eta1
ScaledBy=4.9999727501484573e-08
Title=WWbBSherpa
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.250000e+00	3.222564e-02	2.810840e-04	2.810840e-04
-2.250000e+00	-2.000000e+00	5.455228e-02	3.582192e-04	3.582192e-04
-2.000000e+00	-1.750000e+00	8.485536e-02	4.382916e-04	4.382916e-04
-1.750000e+00	-1.500000e+00	1.243701e-01	5.113440e-04	5.113440e-04
-1.500000e+00	-1.250000e+00	1.668520e-01	5.778121e-04	5.778121e-04
-1.250000e+00	-1.000000e+00	2.121296e-01	6.410568e-04	6.410568e-04
-1.000000e+00	-7.500000e-01	2.545941e-01	6.933957e-04	6.933957e-04
-7.500000e-01	-5.000000e-01	2.891714e-01	7.229206e-04	7.229206e-04
-5.000000e-01	-2.500000e-01	3.136056e-01	7.417775e-04	7.417775e-04
-2.500000e-01	0.000000e+00	3.278122e-01	7.534179e-04	7.534179e-04
0.000000e+00	2.500000e-01	3.274606e-01	7.486232e-04	7.486232e-04
2.500000e-01	5.000000e-01	3.141740e-01	7.308901e-04	7.308901e-04
5.000000e-01	7.500000e-01	2.890675e-01	7.046152e-04	7.046152e-04
7.500000e-01	1.000000e+00	2.532739e-01	6.632368e-04	6.632368e-04
1.000000e+00	1.250000e+00	2.129882e-01	6.189015e-04	6.189015e-04
1.250000e+00	1.500000e+00	1.690792e-01	5.627814e-04	5.627814e-04
1.500000e+00	1.750000e+00	1.247340e-01	4.962067e-04	4.962067e-04
1.750000e+00	2.000000e+00	8.583508e-02	4.227016e-04	4.227016e-04
2.000000e+00	2.250000e+00	5.521004e-02	3.554184e-04	3.554184e-04
2.250000e+00	2.500000e+00	3.203909e-02	2.713350e-04	2.713350e-04
# END HISTO1D

# BEGIN HISTO1D emubB_homemade.yoda/ATLAS_sherpa/Eta1
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=emubB_homemade.yoda/ATLAS_sherpa/Eta1
ScaledBy=0.0012419526589890135
Title=emubB_homemade
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.250000e+00	3.162525e-02	4.105358e-04	4.105358e-04
-2.250000e+00	-2.000000e+00	5.550800e-02	6.160948e-04	6.160948e-04
-2.000000e+00	-1.750000e+00	8.491672e-02	7.148825e-04	7.148825e-04
-1.750000e+00	-1.500000e+00	1.241333e-01	9.298611e-04	9.298611e-04
-1.500000e+00	-1.250000e+00	1.685836e-01	1.134128e-03	1.134128e-03
-1.250000e+00	-1.000000e+00	2.125972e-01	1.267874e-03	1.267874e-03
-1.000000e+00	-7.500000e-01	2.528720e-01	1.291582e-03	1.291582e-03
-7.500000e-01	-5.000000e-01	2.905243e-01	1.613028e-03	1.613028e-03
-5.000000e-01	-2.500000e-01	3.144645e-01	1.585682e-03	1.585682e-03
-2.500000e-01	0.000000e+00	3.250107e-01	1.572052e-03	1.572052e-03
0.000000e+00	2.500000e-01	3.288059e-01	1.790863e-03	1.790863e-03
2.500000e-01	5.000000e-01	3.113435e-01	1.610829e-03	1.610829e-03
5.000000e-01	7.500000e-01	2.899369e-01	1.688418e-03	1.688418e-03
7.500000e-01	1.000000e+00	2.557664e-01	1.988561e-03	1.988561e-03
1.000000e+00	1.250000e+00	2.125963e-01	1.482857e-03	1.482857e-03
1.250000e+00	1.500000e+00	1.676211e-01	1.286327e-03	1.286327e-03
1.500000e+00	1.750000e+00	1.215276e-01	1.030543e-03	1.030543e-03
1.750000e+00	2.000000e+00	8.577536e-02	9.027867e-04	9.027867e-04
2.000000e+00	2.250000e+00	5.571124e-02	7.712358e-04	7.712358e-04
2.250000e+00	2.500000e+00	3.186487e-02	5.663062e-04	5.663062e-04
# END HISTO1D

