# BEGIN PLOT
RatioPlotReference=WWbBSherpa.yoda/ATLAS_sherpa/Mlb
RatioPlot=1
DrawOnly=WWbBSherpa.yoda/ATLAS_sherpa/Mlb emubB_homemade.yoda/ATLAS_sherpa/Mlb
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D WWbBSherpa.yoda/ATLAS_sherpa/Mlb
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=WWbBSherpa.yoda/ATLAS_sherpa/Mlb
ScaledBy=4.9999727501484573e-08
Title=WWbBSherpa
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.800000e+01	3.472422e-07	2.696587e-07	2.696587e-07
1.800000e+01	2.400000e+01	5.446123e-06	6.092179e-07	6.092179e-07
2.400000e+01	3.000000e+01	4.927440e-05	1.883437e-06	1.883437e-06
3.000000e+01	3.600000e+01	1.680065e-04	3.566421e-06	3.566421e-06
3.600000e+01	4.200000e+01	3.725013e-04	5.146505e-06	5.146505e-06
4.200000e+01	4.800000e+01	7.246480e-04	7.394176e-06	7.394176e-06
4.800000e+01	5.400000e+01	1.293416e-03	1.002128e-05	1.002128e-05
5.400000e+01	6.000000e+01	2.016613e-03	1.275514e-05	1.275514e-05
6.000000e+01	6.600000e+01	2.974575e-03	1.585045e-05	1.585045e-05
6.600000e+01	7.200000e+01	4.112498e-03	1.890741e-05	1.890741e-05
7.200000e+01	7.800000e+01	5.212228e-03	2.139430e-05	2.139430e-05
7.800000e+01	8.400000e+01	6.358778e-03	2.374449e-05	2.374449e-05
8.400000e+01	9.000000e+01	7.115625e-03	2.497862e-05	2.497862e-05
9.000000e+01	9.600000e+01	7.442563e-03	2.548382e-05	2.548382e-05
9.600000e+01	1.020000e+02	7.286407e-03	2.491839e-05	2.491839e-05
1.020000e+02	1.080000e+02	6.594628e-03	2.320745e-05	2.320745e-05
1.080000e+02	1.140000e+02	5.522642e-03	2.042196e-05	2.042196e-05
1.140000e+02	1.200000e+02	4.156782e-03	1.728099e-05	1.728099e-05
1.200000e+02	1.260000e+02	2.692843e-03	1.252586e-05	1.252586e-05
1.260000e+02	1.320000e+02	1.464579e-03	8.474868e-06	8.474868e-06
1.320000e+02	1.380000e+02	6.151578e-04	4.971929e-06	4.971929e-06
1.380000e+02	1.440000e+02	2.124783e-04	3.080356e-06	3.080356e-06
1.440000e+02	1.500000e+02	9.323168e-05	2.517567e-06	2.517567e-06
1.500000e+02	1.560000e+02	6.321902e-05	2.455825e-06	2.455825e-06
1.560000e+02	1.620000e+02	5.340193e-05	3.095826e-06	3.095826e-06
1.620000e+02	1.680000e+02	3.786658e-05	1.549047e-06	1.549047e-06
1.680000e+02	1.740000e+02	3.030288e-05	1.726037e-06	1.726037e-06
1.740000e+02	1.800000e+02	2.721790e-05	1.385378e-06	1.385378e-06
1.800000e+02	1.860000e+02	2.165658e-05	1.226795e-06	1.226795e-06
1.860000e+02	1.920000e+02	1.897647e-05	1.213384e-06	1.213384e-06
1.920000e+02	1.980000e+02	1.559858e-05	9.558119e-07	9.558119e-07
1.980000e+02	2.040000e+02	1.664330e-05	1.433915e-06	1.433915e-06
2.040000e+02	2.100000e+02	1.209951e-05	8.681201e-07	8.681201e-07
2.100000e+02	2.160000e+02	1.094696e-05	1.078332e-06	1.078332e-06
2.160000e+02	2.220000e+02	9.536080e-06	1.179424e-06	1.179424e-06
2.220000e+02	2.280000e+02	8.754728e-06	1.944845e-06	1.944845e-06
2.280000e+02	2.340000e+02	7.276380e-06	7.242068e-07	7.242068e-07
2.340000e+02	2.400000e+02	5.553468e-06	7.761230e-07	7.761230e-07
2.400000e+02	2.460000e+02	5.184388e-06	5.632458e-07	5.632458e-07
2.460000e+02	2.520000e+02	6.040703e-06	2.008056e-06	2.008056e-06
2.520000e+02	2.580000e+02	4.747670e-06	8.968750e-07	8.968750e-07
2.580000e+02	2.640000e+02	3.699002e-06	5.126046e-07	5.126046e-07
2.640000e+02	2.700000e+02	2.284682e-06	2.937711e-07	2.937711e-07
2.700000e+02	2.760000e+02	2.717857e-06	5.526708e-07	5.526708e-07
2.760000e+02	2.820000e+02	1.887435e-06	2.222680e-07	2.222680e-07
2.820000e+02	2.880000e+02	1.935018e-06	3.103240e-07	3.103240e-07
2.880000e+02	2.940000e+02	1.265601e-06	2.115081e-07	2.115081e-07
2.940000e+02	3.000000e+02	1.427415e-06	2.208489e-07	2.208489e-07
# END HISTO1D

# BEGIN HISTO1D emubB_homemade.yoda/ATLAS_sherpa/Mlb
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=emubB_homemade.yoda/ATLAS_sherpa/Mlb
ScaledBy=0.0012419526589890135
Title=emubB_homemade
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.800000e+01	3.271575e-09	2.767236e-09	2.767236e-09
1.800000e+01	2.400000e+01	4.249677e-06	1.004928e-06	1.004928e-06
2.400000e+01	3.000000e+01	4.570950e-05	3.785811e-06	3.785811e-06
3.000000e+01	3.600000e+01	1.769878e-04	9.410836e-06	9.410836e-06
3.600000e+01	4.200000e+01	3.617710e-04	1.118906e-05	1.118906e-05
4.200000e+01	4.800000e+01	7.467365e-04	1.635435e-05	1.635435e-05
4.800000e+01	5.400000e+01	1.296359e-03	2.337290e-05	2.337290e-05
5.400000e+01	6.000000e+01	2.076177e-03	2.883563e-05	2.883563e-05
6.000000e+01	6.600000e+01	2.885423e-03	3.090596e-05	3.090596e-05
6.600000e+01	7.200000e+01	4.054428e-03	4.248498e-05	4.248498e-05
7.200000e+01	7.800000e+01	5.190250e-03	4.523256e-05	4.523256e-05
7.800000e+01	8.400000e+01	6.267268e-03	4.805611e-05	4.805611e-05
8.400000e+01	9.000000e+01	7.133777e-03	7.393392e-05	7.393392e-05
9.000000e+01	9.600000e+01	7.393955e-03	4.951976e-05	4.951976e-05
9.600000e+01	1.020000e+02	7.367838e-03	5.787928e-05	5.787928e-05
1.020000e+02	1.080000e+02	6.646078e-03	5.258387e-05	5.258387e-05
1.080000e+02	1.140000e+02	5.633810e-03	4.435153e-05	4.435153e-05
1.140000e+02	1.200000e+02	4.082783e-03	3.328958e-05	3.328958e-05
1.200000e+02	1.260000e+02	2.664465e-03	2.431459e-05	2.431459e-05
1.260000e+02	1.320000e+02	1.453697e-03	1.435670e-05	1.435670e-05
1.320000e+02	1.380000e+02	6.196270e-04	7.997566e-06	7.997566e-06
1.380000e+02	1.440000e+02	2.124130e-04	4.728164e-06	4.728164e-06
1.440000e+02	1.500000e+02	9.251150e-05	3.539823e-06	3.539823e-06
1.500000e+02	1.560000e+02	6.200422e-05	2.865026e-06	2.865026e-06
1.560000e+02	1.620000e+02	5.247258e-05	2.712104e-06	2.712104e-06
1.620000e+02	1.680000e+02	3.818105e-05	2.007316e-06	2.007316e-06
1.680000e+02	1.740000e+02	3.260572e-05	1.812144e-06	1.812144e-06
1.740000e+02	1.800000e+02	2.824397e-05	2.212555e-06	2.212555e-06
1.800000e+02	1.860000e+02	2.210302e-05	1.328640e-06	1.328640e-06
1.860000e+02	1.920000e+02	2.070413e-05	1.738225e-06	1.738225e-06
1.920000e+02	1.980000e+02	1.607140e-05	1.155389e-06	1.155389e-06
1.980000e+02	2.040000e+02	1.548880e-05	1.312586e-06	1.312586e-06
2.040000e+02	2.100000e+02	1.136535e-05	7.790994e-07	7.790994e-07
2.100000e+02	2.160000e+02	1.718032e-05	6.173584e-06	6.173584e-06
2.160000e+02	2.220000e+02	9.443485e-06	1.082983e-06	1.082983e-06
2.220000e+02	2.280000e+02	8.226575e-06	1.477419e-06	1.477419e-06
2.280000e+02	2.340000e+02	7.242367e-06	9.371336e-07	9.371336e-07
2.340000e+02	2.400000e+02	6.328748e-06	7.444573e-07	7.444573e-07
2.400000e+02	2.460000e+02	4.580973e-06	4.344669e-07	4.344669e-07
2.460000e+02	2.520000e+02	5.024102e-06	7.192380e-07	7.192380e-07
2.520000e+02	2.580000e+02	3.311518e-06	3.386628e-07	3.386628e-07
2.580000e+02	2.640000e+02	7.450272e-06	2.800489e-06	2.800489e-06
2.640000e+02	2.700000e+02	3.138223e-06	3.892703e-07	3.892703e-07
2.700000e+02	2.760000e+02	2.783270e-06	4.411716e-07	4.411716e-07
2.760000e+02	2.820000e+02	2.558827e-06	3.861407e-07	3.861407e-07
2.820000e+02	2.880000e+02	2.257920e-06	5.523093e-07	5.523093e-07
2.880000e+02	2.940000e+02	1.615498e-06	1.970474e-07	1.970474e-07
2.940000e+02	3.000000e+02	1.078699e-06	1.363833e-07	1.363833e-07
# END HISTO1D

