# BEGIN PLOT
RatioPlotReference=WWbBSherpa.yoda/ATLAS_sherpa/Phiemu
RatioPlot=1
DrawOnly=WWbBSherpa.yoda/ATLAS_sherpa/Phiemu emubB_homemade.yoda/ATLAS_sherpa/Phiemu
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D WWbBSherpa.yoda/ATLAS_sherpa/Phiemu
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=WWbBSherpa.yoda/ATLAS_sherpa/Phiemu
ScaledBy=4.9999727501484573e-08
Title=WWbBSherpa
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.513274e-01	9.353457e-02	4.347252e-04	4.347252e-04
2.513274e-01	5.026548e-01	9.546759e-02	4.362450e-04	4.362450e-04
5.026548e-01	7.539822e-01	1.002638e-01	4.484081e-04	4.484081e-04
7.539822e-01	1.005310e+00	1.071262e-01	4.638965e-04	4.638965e-04
1.005310e+00	1.256637e+00	1.162233e-01	4.808165e-04	4.808165e-04
1.256637e+00	1.507964e+00	1.288953e-01	5.006823e-04	5.006823e-04
1.507964e+00	1.759292e+00	1.423194e-01	5.197318e-04	5.197318e-04
1.759292e+00	2.010619e+00	1.583750e-01	5.431131e-04	5.431131e-04
2.010619e+00	2.261947e+00	1.750781e-01	5.660635e-04	5.660635e-04
2.261947e+00	2.513274e+00	1.935192e-01	5.796563e-04	5.796563e-04
2.513274e+00	2.764602e+00	2.086292e-01	5.947400e-04	5.947400e-04
2.764602e+00	3.015929e+00	2.189427e-01	6.082846e-04	6.082846e-04
3.015929e+00	3.267256e+00	2.232138e-01	6.094507e-04	6.094507e-04
3.267256e+00	3.518584e+00	2.202538e-01	6.063529e-04	6.063529e-04
3.518584e+00	3.769911e+00	2.093738e-01	5.958715e-04	5.958715e-04
3.769911e+00	4.021239e+00	1.932950e-01	5.802520e-04	5.802520e-04
4.021239e+00	4.272566e+00	1.760973e-01	5.629978e-04	5.629978e-04
4.272566e+00	4.523893e+00	1.591149e-01	5.410152e-04	5.410152e-04
4.523893e+00	4.775221e+00	1.424813e-01	5.190320e-04	5.190320e-04
4.775221e+00	5.026548e+00	1.281891e-01	4.971983e-04	4.971983e-04
5.026548e+00	5.277876e+00	1.168341e-01	4.871371e-04	4.871371e-04
5.277876e+00	5.529203e+00	1.071041e-01	4.592383e-04	4.592383e-04
5.529203e+00	5.780530e+00	1.007314e-01	4.503607e-04	4.503607e-04
5.780530e+00	6.031858e+00	9.606025e-02	4.370780e-04	4.370780e-04
6.031858e+00	6.283185e+00	9.330100e-02	4.339942e-04	4.339942e-04
# END HISTO1D

# BEGIN HISTO1D emubB_homemade.yoda/ATLAS_sherpa/Phiemu
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=emubB_homemade.yoda/ATLAS_sherpa/Phiemu
ScaledBy=0.0012419526589890135
Title=emubB_homemade
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.513274e-01	9.567763e-02	1.105548e-03	1.105548e-03
2.513274e-01	5.026548e-01	9.636808e-02	9.255333e-04	9.255333e-04
5.026548e-01	7.539822e-01	1.006551e-01	1.028589e-03	1.028589e-03
7.539822e-01	1.005310e+00	1.077079e-01	1.002248e-03	1.002248e-03
1.005310e+00	1.256637e+00	1.159100e-01	9.940323e-04	9.940323e-04
1.256637e+00	1.507964e+00	1.281593e-01	1.074651e-03	1.074651e-03
1.507964e+00	1.759292e+00	1.413556e-01	1.114292e-03	1.114292e-03
1.759292e+00	2.010619e+00	1.591483e-01	1.229071e-03	1.229071e-03
2.010619e+00	2.261947e+00	1.753164e-01	1.157613e-03	1.157613e-03
2.261947e+00	2.513274e+00	1.923951e-01	1.207437e-03	1.207437e-03
2.513274e+00	2.764602e+00	2.098471e-01	1.312843e-03	1.312843e-03
2.764602e+00	3.015929e+00	2.218828e-01	1.338744e-03	1.338744e-03
3.015929e+00	3.267256e+00	2.201582e-01	1.203017e-03	1.203017e-03
3.267256e+00	3.518584e+00	2.200347e-01	1.369727e-03	1.369727e-03
3.518584e+00	3.769911e+00	2.071311e-01	1.213148e-03	1.213148e-03
3.769911e+00	4.021239e+00	1.897376e-01	1.116259e-03	1.116259e-03
4.021239e+00	4.272566e+00	1.754969e-01	1.188594e-03	1.188594e-03
4.272566e+00	4.523893e+00	1.574715e-01	1.170874e-03	1.170874e-03
4.523893e+00	4.775221e+00	1.431223e-01	1.118298e-03	1.118298e-03
4.775221e+00	5.026548e+00	1.284225e-01	1.075682e-03	1.075682e-03
5.026548e+00	5.277876e+00	1.159084e-01	9.669456e-04	9.669456e-04
5.277876e+00	5.529203e+00	1.067541e-01	9.754774e-04	9.754774e-04
5.529203e+00	5.780530e+00	1.008365e-01	9.378400e-04	9.378400e-04
5.780530e+00	6.031858e+00	9.702727e-02	9.301359e-04	9.301359e-04
6.031858e+00	6.283185e+00	9.506480e-02	1.661787e-03	1.661787e-03
# END HISTO1D

