# BEGIN PLOT
RatioPlotReference=WWbBSherpa.yoda/ATLAS_sherpa/PtMiss
RatioPlot=1
DrawOnly=WWbBSherpa.yoda/ATLAS_sherpa/PtMiss emubB_homemade.yoda/ATLAS_sherpa/PtMiss
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D WWbBSherpa.yoda/ATLAS_sherpa/PtMiss
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=WWbBSherpa.yoda/ATLAS_sherpa/PtMiss
ScaledBy=4.9999727501484573e-08
Title=WWbBSherpa
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.400000e+01	3.490449e-03	1.370759e-05	1.370759e-05
2.400000e+01	3.200000e+01	8.289831e-03	2.122427e-05	2.122427e-05
3.200000e+01	4.000000e+01	9.649554e-03	2.266176e-05	2.266176e-05
4.000000e+01	4.800000e+01	1.056797e-02	2.386486e-05	2.386486e-05
4.800000e+01	5.600000e+01	1.106916e-02	2.456625e-05	2.456625e-05
5.600000e+01	6.400000e+01	1.105726e-02	2.474662e-05	2.474662e-05
6.400000e+01	7.200000e+01	1.060026e-02	2.443162e-05	2.443162e-05
7.200000e+01	8.000000e+01	9.799466e-03	2.387371e-05	2.387371e-05
8.000000e+01	8.800000e+01	8.739729e-03	2.285473e-05	2.285473e-05
8.800000e+01	9.600000e+01	7.495565e-03	2.158260e-05	2.158260e-05
9.600000e+01	1.040000e+02	6.206445e-03	1.987509e-05	1.987509e-05
1.040000e+02	1.120000e+02	4.920733e-03	1.777645e-05	1.777645e-05
1.120000e+02	1.200000e+02	3.846819e-03	1.576955e-05	1.576955e-05
1.200000e+02	1.280000e+02	2.921326e-03	1.378453e-05	1.378453e-05
1.280000e+02	1.360000e+02	2.121401e-03	1.162499e-05	1.162499e-05
1.360000e+02	1.440000e+02	1.512897e-03	9.709518e-06	9.709518e-06
1.440000e+02	1.520000e+02	1.060770e-03	8.067531e-06	8.067531e-06
1.520000e+02	1.600000e+02	7.411340e-04	7.109326e-06	7.109326e-06
1.600000e+02	1.680000e+02	5.195488e-04	5.484235e-06	5.484235e-06
1.680000e+02	1.760000e+02	3.844668e-04	4.986911e-06	4.986911e-06
1.760000e+02	1.840000e+02	2.851751e-04	4.133926e-06	4.133926e-06
1.840000e+02	1.920000e+02	2.113914e-04	3.592442e-06	3.592442e-06
1.920000e+02	2.000000e+02	1.645395e-04	3.009944e-06	3.009944e-06
# END HISTO1D

# BEGIN HISTO1D emubB_homemade.yoda/ATLAS_sherpa/PtMiss
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=emubB_homemade.yoda/ATLAS_sherpa/PtMiss
ScaledBy=0.0012419526589890135
Title=emubB_homemade
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.400000e+01	3.487247e-03	3.199840e-05	3.199840e-05
2.400000e+01	3.200000e+01	8.316373e-03	4.723842e-05	4.723842e-05
3.200000e+01	4.000000e+01	9.735216e-03	5.035791e-05	5.035791e-05
4.000000e+01	4.800000e+01	1.061048e-02	5.025026e-05	5.025026e-05
4.800000e+01	5.600000e+01	1.102641e-02	5.085539e-05	5.085539e-05
5.600000e+01	6.400000e+01	1.095902e-02	5.142598e-05	5.142598e-05
6.400000e+01	7.200000e+01	1.058869e-02	5.326090e-05	5.326090e-05
7.200000e+01	8.000000e+01	9.768921e-03	4.895320e-05	4.895320e-05
8.000000e+01	8.800000e+01	8.736910e-03	6.175657e-05	6.175657e-05
8.800000e+01	9.600000e+01	7.586585e-03	5.541746e-05	5.541746e-05
9.600000e+01	1.040000e+02	6.200187e-03	4.174343e-05	4.174343e-05
1.040000e+02	1.120000e+02	4.920267e-03	3.979987e-05	3.979987e-05
1.120000e+02	1.200000e+02	3.809326e-03	3.363124e-05	3.363124e-05
1.200000e+02	1.280000e+02	2.843107e-03	2.674940e-05	2.674940e-05
1.280000e+02	1.360000e+02	2.105984e-03	2.320710e-05	2.320710e-05
1.360000e+02	1.440000e+02	1.527066e-03	2.062930e-05	2.062930e-05
1.440000e+02	1.520000e+02	1.043486e-03	1.481958e-05	1.481958e-05
1.520000e+02	1.600000e+02	7.185444e-04	1.089403e-05	1.089403e-05
1.600000e+02	1.680000e+02	5.141651e-04	9.376027e-06	9.376027e-06
1.680000e+02	1.760000e+02	3.805332e-04	7.615442e-06	7.615442e-06
1.760000e+02	1.840000e+02	2.883456e-04	6.900585e-06	6.900585e-06
1.840000e+02	1.920000e+02	2.147144e-04	7.760940e-06	7.760940e-06
1.920000e+02	2.000000e+02	1.696931e-04	5.419652e-06	5.419652e-06
# END HISTO1D

