# BEGIN PLOT
RatioPlotReference=WWbBSherpa.yoda/ATLAS_sherpa/deltaRb
RatioPlot=1
DrawOnly=WWbBSherpa.yoda/ATLAS_sherpa/deltaRb emubB_homemade.yoda/ATLAS_sherpa/deltaRb
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D WWbBSherpa.yoda/ATLAS_sherpa/deltaRb
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=WWbBSherpa.yoda/ATLAS_sherpa/deltaRb
ScaledBy=4.9999727501484573e-08
Title=WWbBSherpa
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	4.540903e-05	1.208698e-05	1.208698e-05
5.000000e-01	6.000000e-01	8.285823e-02	6.236099e-04	6.236099e-04
6.000000e-01	7.000000e-01	1.002649e-01	6.858019e-04	6.858019e-04
7.000000e-01	8.000000e-01	1.176910e-01	7.391979e-04	7.391979e-04
8.000000e-01	9.000000e-01	1.309006e-01	7.764222e-04	7.764222e-04
9.000000e-01	1.000000e+00	1.476895e-01	8.303756e-04	8.303756e-04
1.000000e+00	1.100000e+00	1.611781e-01	8.594688e-04	8.594688e-04
1.100000e+00	1.200000e+00	1.768443e-01	9.018531e-04	9.018531e-04
1.200000e+00	1.300000e+00	1.917003e-01	9.324058e-04	9.324058e-04
1.300000e+00	1.400000e+00	2.081049e-01	9.824183e-04	9.824183e-04
1.400000e+00	1.500000e+00	2.236811e-01	1.010339e-03	1.010339e-03
1.500000e+00	1.600000e+00	2.405244e-01	1.048361e-03	1.048361e-03
1.600000e+00	1.700000e+00	2.585337e-01	1.089822e-03	1.089822e-03
1.700000e+00	1.800000e+00	2.758726e-01	1.123147e-03	1.123147e-03
1.800000e+00	1.900000e+00	2.910334e-01	1.158651e-03	1.158651e-03
1.900000e+00	2.000000e+00	3.102289e-01	1.187000e-03	1.187000e-03
2.000000e+00	2.100000e+00	3.296016e-01	1.230597e-03	1.230597e-03
2.100000e+00	2.200000e+00	3.465792e-01	1.256127e-03	1.256127e-03
2.200000e+00	2.300000e+00	3.692547e-01	1.292813e-03	1.292813e-03
2.300000e+00	2.400000e+00	3.902475e-01	1.328866e-03	1.328866e-03
2.400000e+00	2.500000e+00	4.089869e-01	1.360761e-03	1.360761e-03
2.500000e+00	2.600000e+00	4.324941e-01	1.399008e-03	1.399008e-03
2.600000e+00	2.700000e+00	4.518316e-01	1.424476e-03	1.424476e-03
2.700000e+00	2.800000e+00	4.750365e-01	1.463673e-03	1.463673e-03
2.800000e+00	2.900000e+00	4.936039e-01	1.490669e-03	1.490669e-03
2.900000e+00	3.000000e+00	5.103972e-01	1.516410e-03	1.516410e-03
3.000000e+00	3.100000e+00	5.282402e-01	1.542821e-03	1.542821e-03
3.100000e+00	3.200000e+00	4.639539e-01	1.446628e-03	1.446628e-03
3.200000e+00	3.300000e+00	2.974427e-01	1.179226e-03	1.179226e-03
3.300000e+00	3.400000e+00	2.162236e-01	1.008627e-03	1.008627e-03
3.400000e+00	3.500000e+00	1.634566e-01	8.955946e-04	8.955946e-04
3.500000e+00	3.600000e+00	1.250734e-01	7.829260e-04	7.829260e-04
3.600000e+00	3.700000e+00	9.620852e-02	6.958210e-04	6.958210e-04
3.700000e+00	3.800000e+00	7.358850e-02	6.367404e-04	6.367404e-04
3.800000e+00	3.900000e+00	5.654142e-02	5.429263e-04	5.429263e-04
3.900000e+00	4.000000e+00	4.244849e-02	4.918720e-04	4.918720e-04
4.000000e+00	4.100000e+00	3.250785e-02	4.287860e-04	4.287860e-04
4.100000e+00	4.200000e+00	2.381638e-02	3.771221e-04	3.771221e-04
4.200000e+00	4.300000e+00	1.842582e-02	3.336859e-04	3.336859e-04
4.300000e+00	4.400000e+00	1.353129e-02	2.897965e-04	2.897965e-04
4.400000e+00	4.500000e+00	9.992540e-03	2.724107e-04	2.724107e-04
4.500000e+00	4.600000e+00	7.259307e-03	2.936275e-04	2.936275e-04
4.600000e+00	4.700000e+00	5.063692e-03	1.914752e-04	1.914752e-04
4.700000e+00	4.800000e+00	3.489765e-03	1.507573e-04	1.507573e-04
4.800000e+00	4.900000e+00	2.628402e-03	1.314924e-04	1.314924e-04
4.900000e+00	5.000000e+00	1.827741e-03	1.178309e-04	1.178309e-04
# END HISTO1D

# BEGIN HISTO1D emubB_homemade.yoda/ATLAS_sherpa/deltaRb
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=emubB_homemade.yoda/ATLAS_sherpa/deltaRb
ScaledBy=0.0012419526589890135
Title=emubB_homemade
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	4.849847e-05	2.326461e-05	2.326461e-05
5.000000e-01	6.000000e-01	8.332944e-02	1.318065e-03	1.318065e-03
6.000000e-01	7.000000e-01	9.856902e-02	1.465651e-03	1.465651e-03
7.000000e-01	8.000000e-01	1.148641e-01	1.604161e-03	1.604161e-03
8.000000e-01	9.000000e-01	1.317318e-01	1.843794e-03	1.843794e-03
9.000000e-01	1.000000e+00	1.449639e-01	1.928389e-03	1.928389e-03
1.000000e+00	1.100000e+00	1.593516e-01	1.768283e-03	1.768283e-03
1.100000e+00	1.200000e+00	1.741683e-01	1.919811e-03	1.919811e-03
1.200000e+00	1.300000e+00	1.920466e-01	2.256518e-03	2.256518e-03
1.300000e+00	1.400000e+00	2.103648e-01	3.829952e-03	3.829952e-03
1.400000e+00	1.500000e+00	2.262872e-01	2.411359e-03	2.411359e-03
1.500000e+00	1.600000e+00	2.402383e-01	2.299824e-03	2.299824e-03
1.600000e+00	1.700000e+00	2.556229e-01	2.287025e-03	2.287025e-03
1.700000e+00	1.800000e+00	2.747471e-01	2.536172e-03	2.536172e-03
1.800000e+00	1.900000e+00	2.926548e-01	2.859726e-03	2.859726e-03
1.900000e+00	2.000000e+00	3.076372e-01	2.369052e-03	2.369052e-03
2.000000e+00	2.100000e+00	3.231389e-01	2.440434e-03	2.440434e-03
2.100000e+00	2.200000e+00	3.483171e-01	3.157944e-03	3.157944e-03
2.200000e+00	2.300000e+00	3.672268e-01	2.616043e-03	2.616043e-03
2.300000e+00	2.400000e+00	3.886972e-01	2.766960e-03	2.766960e-03
2.400000e+00	2.500000e+00	4.067567e-01	2.943057e-03	2.943057e-03
2.500000e+00	2.600000e+00	4.341891e-01	3.300903e-03	3.300903e-03
2.600000e+00	2.700000e+00	4.538739e-01	2.927423e-03	2.927423e-03
2.700000e+00	2.800000e+00	4.770916e-01	3.278070e-03	3.278070e-03
2.800000e+00	2.900000e+00	4.958518e-01	3.504196e-03	3.504196e-03
2.900000e+00	3.000000e+00	5.173848e-01	3.150836e-03	3.150836e-03
3.000000e+00	3.100000e+00	5.258487e-01	3.026055e-03	3.026055e-03
3.100000e+00	3.200000e+00	4.694300e-01	2.968065e-03	2.968065e-03
3.200000e+00	3.300000e+00	2.975048e-01	2.375454e-03	2.375454e-03
3.300000e+00	3.400000e+00	2.150382e-01	2.025896e-03	2.025896e-03
3.400000e+00	3.500000e+00	1.652145e-01	1.746152e-03	1.746152e-03
3.500000e+00	3.600000e+00	1.251774e-01	1.558164e-03	1.558164e-03
3.600000e+00	3.700000e+00	9.426887e-02	1.340261e-03	1.340261e-03
3.700000e+00	3.800000e+00	7.434990e-02	1.097519e-03	1.097519e-03
3.800000e+00	3.900000e+00	5.575755e-02	1.014422e-03	1.014422e-03
3.900000e+00	4.000000e+00	4.199662e-02	9.044840e-04	9.044840e-04
4.000000e+00	4.100000e+00	3.227238e-02	7.358004e-04	7.358004e-04
4.100000e+00	4.200000e+00	2.441064e-02	6.175900e-04	6.175900e-04
4.200000e+00	4.300000e+00	1.850030e-02	6.303360e-04	6.303360e-04
4.300000e+00	4.400000e+00	1.261727e-02	3.931482e-04	3.931482e-04
4.400000e+00	4.500000e+00	9.400583e-03	4.217167e-04	4.217167e-04
4.500000e+00	4.600000e+00	7.104177e-03	3.743247e-04	3.743247e-04
4.600000e+00	4.700000e+00	4.895187e-03	2.918539e-04	2.918539e-04
4.700000e+00	4.800000e+00	3.677822e-03	2.466070e-04	2.466070e-04
4.800000e+00	4.900000e+00	2.449295e-03	2.410379e-04	2.410379e-04
4.900000e+00	5.000000e+00	1.534725e-03	1.337450e-04	1.337450e-04
# END HISTO1D

