# BEGIN PLOT
RatioPlotReference=WWbBLeptonS.yoda/ATLAS_sherpa/Eta1
RatioPlot=1
DrawOnly=WWbBLeptonS.yoda/ATLAS_sherpa/Eta1 emubB_homemadeLeptonH.yoda/ATLAS_sherpa/Eta1
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D WWbBLeptonS.yoda/ATLAS_sherpa/Eta1
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=WWbBLeptonS.yoda/ATLAS_sherpa/Eta1
ScaledBy=9.9919564750378098e-07
Title=WWbBLeptonS
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.250000e+00	5.086508e-02	1.810495e-03	1.810495e-03
-2.250000e+00	-2.000000e+00	8.245804e-02	2.460262e-03	2.460262e-03
-2.000000e+00	-1.750000e+00	1.327007e-01	2.909924e-03	2.909924e-03
-1.750000e+00	-1.500000e+00	1.876399e-01	3.324411e-03	3.324411e-03
-1.500000e+00	-1.250000e+00	2.557694e-01	3.940529e-03	3.940529e-03
-1.250000e+00	-1.000000e+00	3.183072e-01	4.599758e-03	4.599758e-03
-1.000000e+00	-7.500000e-01	3.832958e-01	4.927878e-03	4.927878e-03
-7.500000e-01	-5.000000e-01	4.165776e-01	5.125861e-03	5.125861e-03
-5.000000e-01	-2.500000e-01	4.659852e-01	5.460675e-03	5.460675e-03
-2.500000e-01	0.000000e+00	4.835288e-01	5.605246e-03	5.605246e-03
0.000000e+00	2.500000e-01	4.708704e-01	5.473595e-03	5.473595e-03
2.500000e-01	5.000000e-01	4.625840e-01	5.713813e-03	5.713813e-03
5.000000e-01	7.500000e-01	4.303292e-01	5.703610e-03	5.703610e-03
7.500000e-01	1.000000e+00	3.782084e-01	5.307751e-03	5.307751e-03
1.000000e+00	1.250000e+00	3.150226e-01	5.101335e-03	5.101335e-03
1.250000e+00	1.500000e+00	2.537563e-01	4.695165e-03	4.695165e-03
1.500000e+00	1.750000e+00	1.909753e-01	4.148565e-03	4.148565e-03
1.750000e+00	2.000000e+00	1.330355e-01	3.479335e-03	3.479335e-03
2.000000e+00	2.250000e+00	8.557212e-02	2.935593e-03	2.935593e-03
2.250000e+00	2.500000e+00	5.027128e-02	2.221106e-03	2.221106e-03
# END HISTO1D

# BEGIN HISTO1D emubB_homemadeLeptonH.yoda/ATLAS_sherpa/Eta1
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=emubB_homemadeLeptonH.yoda/ATLAS_sherpa/Eta1
ScaledBy=0.0043264140021885339
Title=emubB_homemadeLeptonH
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.250000e+00	4.732588e-02	2.227410e-03	2.227410e-03
-2.250000e+00	-2.000000e+00	8.586072e-02	3.621705e-03	3.621705e-03
-2.000000e+00	-1.750000e+00	1.280328e-01	4.819316e-03	4.819316e-03
-1.750000e+00	-1.500000e+00	1.894524e-01	5.333506e-03	5.333506e-03
-1.500000e+00	-1.250000e+00	2.507430e-01	4.972105e-03	4.972105e-03
-1.250000e+00	-1.000000e+00	3.222445e-01	5.692853e-03	5.692853e-03
-1.000000e+00	-7.500000e-01	3.699416e-01	5.640770e-03	5.640770e-03
-7.500000e-01	-5.000000e-01	4.295816e-01	6.541503e-03	6.541503e-03
-5.000000e-01	-2.500000e-01	4.572780e-01	6.087175e-03	6.087175e-03
-2.500000e-01	0.000000e+00	4.833696e-01	7.210961e-03	7.210961e-03
0.000000e+00	2.500000e-01	4.871340e-01	6.722635e-03	6.722635e-03
2.500000e-01	5.000000e-01	4.705240e-01	6.473220e-03	6.473220e-03
5.000000e-01	7.500000e-01	4.170816e-01	6.315281e-03	6.315281e-03
7.500000e-01	1.000000e+00	3.739080e-01	5.660090e-03	5.660090e-03
1.000000e+00	1.250000e+00	3.092212e-01	5.070198e-03	5.070198e-03
1.250000e+00	1.500000e+00	2.606854e-01	5.376307e-03	5.376307e-03
1.500000e+00	1.750000e+00	1.866458e-01	3.945145e-03	3.945145e-03
1.750000e+00	2.000000e+00	1.285122e-01	3.461399e-03	3.461399e-03
2.000000e+00	2.250000e+00	8.664204e-02	3.126843e-03	3.126843e-03
2.250000e+00	2.500000e+00	4.650544e-02	2.139174e-03	2.139174e-03
# END HISTO1D

