# BEGIN PLOT
RatioPlotReference=WWbBLeptonS.yoda/ATLAS_sherpa/Mlb
RatioPlot=1
DrawOnly=WWbBLeptonS.yoda/ATLAS_sherpa/Mlb emubB_homemadeLeptonH.yoda/ATLAS_sherpa/Mlb
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D WWbBLeptonS.yoda/ATLAS_sherpa/Mlb
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=WWbBLeptonS.yoda/ATLAS_sherpa/Mlb
ScaledBy=9.9919564750378098e-07
Title=WWbBLeptonS
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+01	2.400000e+01	9.911258e-06	3.977758e-06	3.977758e-06
2.400000e+01	3.000000e+01	5.856940e-05	1.469215e-05	1.469215e-05
3.000000e+01	3.600000e+01	2.161530e-04	2.212804e-05	2.212804e-05
3.600000e+01	4.200000e+01	4.468700e-04	2.838903e-05	2.838903e-05
4.200000e+01	4.800000e+01	1.079348e-03	5.202750e-05	5.202750e-05
4.800000e+01	5.400000e+01	1.783242e-03	6.809585e-05	6.809585e-05
5.400000e+01	6.000000e+01	3.067840e-03	9.668618e-05	9.668618e-05
6.000000e+01	6.600000e+01	4.438525e-03	1.251808e-04	1.251808e-04
6.600000e+01	7.200000e+01	6.095493e-03	1.364531e-04	1.364531e-04
7.200000e+01	7.800000e+01	7.770705e-03	1.594976e-04	1.594976e-04
7.800000e+01	8.400000e+01	9.376260e-03	1.746978e-04	1.746978e-04
8.400000e+01	9.000000e+01	1.035687e-02	1.911677e-04	1.911677e-04
9.000000e+01	9.600000e+01	1.061746e-02	1.801083e-04	1.801083e-04
9.600000e+01	1.020000e+02	1.044676e-02	1.832145e-04	1.832145e-04
1.020000e+02	1.080000e+02	9.313732e-03	1.630984e-04	1.630984e-04
1.080000e+02	1.140000e+02	7.878463e-03	1.539022e-04	1.539022e-04
1.140000e+02	1.200000e+02	5.711388e-03	1.181219e-04	1.181219e-04
1.200000e+02	1.260000e+02	3.575592e-03	8.371594e-05	8.371594e-05
1.260000e+02	1.320000e+02	2.052325e-03	6.374975e-05	6.374975e-05
1.320000e+02	1.380000e+02	8.766855e-04	3.675300e-05	3.675300e-05
1.380000e+02	1.440000e+02	3.595528e-04	2.819600e-05	2.819600e-05
1.440000e+02	1.500000e+02	1.880715e-04	3.782089e-05	3.782089e-05
1.500000e+02	1.560000e+02	1.487738e-04	5.159589e-05	5.159589e-05
1.560000e+02	1.620000e+02	7.543150e-05	1.500535e-05	1.500535e-05
1.620000e+02	1.680000e+02	5.288120e-05	1.722659e-05	1.722659e-05
1.680000e+02	1.740000e+02	4.461000e-05	9.036870e-06	9.036870e-06
1.740000e+02	1.800000e+02	5.020312e-05	1.422617e-05	1.422617e-05
1.800000e+02	1.860000e+02	3.100668e-05	5.899623e-06	5.899623e-06
1.860000e+02	1.920000e+02	2.268693e-05	6.091481e-06	6.091481e-06
1.920000e+02	1.980000e+02	2.152992e-05	8.313381e-06	8.313381e-06
1.980000e+02	2.040000e+02	1.756018e-05	5.072161e-06	5.072161e-06
2.040000e+02	2.100000e+02	1.397100e-05	4.483215e-06	4.483215e-06
2.100000e+02	2.160000e+02	8.351805e-06	2.181544e-06	2.181544e-06
2.160000e+02	2.220000e+02	9.530338e-06	2.794941e-06	2.794941e-06
2.220000e+02	2.280000e+02	3.007853e-05	2.299514e-05	2.299514e-05
2.280000e+02	2.340000e+02	8.767447e-06	3.280343e-06	3.280343e-06
2.340000e+02	2.400000e+02	1.892067e-06	5.228252e-07	5.228252e-07
2.400000e+02	2.460000e+02	1.609860e-05	7.739751e-06	7.739751e-06
2.460000e+02	2.520000e+02	6.981330e-06	4.395048e-06	4.395048e-06
2.520000e+02	2.580000e+02	4.756562e-06	2.477041e-06	2.477041e-06
2.580000e+02	2.640000e+02	4.352052e-06	1.480562e-06	1.480562e-06
2.640000e+02	2.700000e+02	6.496368e-07	3.131921e-07	3.131921e-07
2.700000e+02	2.760000e+02	1.139666e-06	6.482356e-07	6.482356e-07
2.760000e+02	2.820000e+02	2.212362e-06	1.098010e-06	1.098010e-06
2.820000e+02	2.880000e+02	1.561754e-06	8.066247e-07	8.066247e-07
2.880000e+02	2.940000e+02	3.314770e-07	1.763859e-07	1.763859e-07
2.940000e+02	3.000000e+02	4.101255e-06	2.387414e-06	2.387414e-06
# END HISTO1D

# BEGIN HISTO1D emubB_homemadeLeptonH.yoda/ATLAS_sherpa/Mlb
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=emubB_homemadeLeptonH.yoda/ATLAS_sherpa/Mlb
ScaledBy=0.0043264140021885339
Title=emubB_homemadeLeptonH
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+01	2.400000e+01	1.262961e-05	8.767218e-06	8.767218e-06
2.400000e+01	3.000000e+01	8.169168e-05	1.749971e-05	1.749971e-05
3.000000e+01	3.600000e+01	3.023887e-04	3.238116e-05	3.238116e-05
3.600000e+01	4.200000e+01	5.754893e-04	4.976964e-05	4.976964e-05
4.200000e+01	4.800000e+01	1.107463e-03	6.463335e-05	6.463335e-05
4.800000e+01	5.400000e+01	1.738580e-03	7.866751e-05	7.866751e-05
5.400000e+01	6.000000e+01	2.786768e-03	9.961246e-05	9.961246e-05
6.000000e+01	6.600000e+01	4.406848e-03	1.393618e-04	1.393618e-04
6.600000e+01	7.200000e+01	5.611980e-03	1.485731e-04	1.485731e-04
7.200000e+01	7.800000e+01	7.572563e-03	1.780116e-04	1.780116e-04
7.800000e+01	8.400000e+01	9.463223e-03	2.188939e-04	2.188939e-04
8.400000e+01	9.000000e+01	1.030424e-02	2.137265e-04	2.137265e-04
9.000000e+01	9.600000e+01	1.050974e-02	2.159624e-04	2.159624e-04
9.600000e+01	1.020000e+02	1.038507e-02	2.007323e-04	2.007323e-04
1.020000e+02	1.080000e+02	9.382565e-03	1.847407e-04	1.847407e-04
1.080000e+02	1.140000e+02	7.794798e-03	1.699895e-04	1.699895e-04
1.140000e+02	1.200000e+02	5.844818e-03	1.348218e-04	1.348218e-04
1.200000e+02	1.260000e+02	3.812645e-03	1.185968e-04	1.185968e-04
1.260000e+02	1.320000e+02	2.114688e-03	6.815962e-05	6.815962e-05
1.320000e+02	1.380000e+02	8.533622e-04	4.346770e-05	4.346770e-05
1.380000e+02	1.440000e+02	2.893358e-04	1.661059e-05	1.661059e-05
1.440000e+02	1.500000e+02	1.345405e-04	1.943903e-05	1.943903e-05
1.500000e+02	1.560000e+02	1.247079e-04	3.917077e-05	3.917077e-05
1.560000e+02	1.620000e+02	7.382420e-05	1.236682e-05	1.236682e-05
1.620000e+02	1.680000e+02	8.692812e-05	4.067220e-05	4.067220e-05
1.680000e+02	1.740000e+02	4.891967e-05	7.855713e-06	7.855713e-06
1.740000e+02	1.800000e+02	2.377310e-05	3.910577e-06	3.910577e-06
1.800000e+02	1.860000e+02	2.635282e-05	6.666215e-06	6.666215e-06
1.860000e+02	1.920000e+02	3.604468e-05	1.423209e-05	1.423209e-05
1.920000e+02	1.980000e+02	3.836888e-05	2.293623e-05	2.293623e-05
1.980000e+02	2.040000e+02	2.129225e-05	6.008827e-06	6.008827e-06
2.040000e+02	2.100000e+02	2.357265e-05	5.765742e-06	5.765742e-06
2.100000e+02	2.160000e+02	1.694863e-05	5.648886e-06	5.648886e-06
2.160000e+02	2.220000e+02	1.391646e-05	7.519850e-06	7.519850e-06
2.220000e+02	2.280000e+02	8.814792e-06	2.906195e-06	2.906195e-06
2.280000e+02	2.340000e+02	6.191588e-06	1.792532e-06	1.792532e-06
2.340000e+02	2.400000e+02	1.576495e-05	9.184322e-06	9.184322e-06
2.400000e+02	2.460000e+02	1.770270e-05	8.315391e-06	8.315391e-06
2.460000e+02	2.520000e+02	9.062185e-06	4.456123e-06	4.456123e-06
2.520000e+02	2.580000e+02	6.921570e-06	4.129431e-06	4.129431e-06
2.580000e+02	2.640000e+02	2.402147e-06	1.072562e-06	1.072562e-06
2.640000e+02	2.700000e+02	3.914372e-06	1.269014e-06	1.269014e-06
2.700000e+02	2.760000e+02	2.990927e-06	1.489402e-06	1.489402e-06
2.760000e+02	2.820000e+02	1.273897e-06	5.077397e-07	5.077397e-07
2.820000e+02	2.880000e+02	3.302397e-06	2.931109e-06	2.931109e-06
2.880000e+02	2.940000e+02	3.991218e-07	2.023367e-07	2.023367e-07
2.940000e+02	3.000000e+02	1.311841e-06	7.778621e-07	7.778621e-07
# END HISTO1D

