# BEGIN PLOT
RatioPlotReference=WWbBLeptonS.yoda/ATLAS_sherpa/Phiemu
RatioPlot=1
DrawOnly=WWbBLeptonS.yoda/ATLAS_sherpa/Phiemu emubB_homemadeLeptonH.yoda/ATLAS_sherpa/Phiemu
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D WWbBLeptonS.yoda/ATLAS_sherpa/Phiemu
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=WWbBLeptonS.yoda/ATLAS_sherpa/Phiemu
ScaledBy=9.9919564750378098e-07
Title=WWbBLeptonS
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.513274e-01	1.390230e-01	3.206887e-03	3.206887e-03
2.513274e-01	5.026548e-01	1.470174e-01	3.301464e-03	3.301464e-03
5.026548e-01	7.539822e-01	1.557446e-01	3.413322e-03	3.413322e-03
7.539822e-01	1.005310e+00	1.638968e-01	3.619848e-03	3.619848e-03
1.005310e+00	1.256637e+00	1.795514e-01	3.679040e-03	3.679040e-03
1.256637e+00	1.507964e+00	1.911875e-01	3.655340e-03	3.655340e-03
1.507964e+00	1.759292e+00	2.228615e-01	4.154784e-03	4.154784e-03
1.759292e+00	2.010619e+00	2.415753e-01	4.345700e-03	4.345700e-03
2.010619e+00	2.261947e+00	2.596906e-01	4.162590e-03	4.162590e-03
2.261947e+00	2.513274e+00	2.903930e-01	4.413026e-03	4.413026e-03
2.513274e+00	2.764602e+00	3.056582e-01	4.411244e-03	4.411244e-03
2.764602e+00	3.015929e+00	3.128140e-01	4.467951e-03	4.467951e-03
3.015929e+00	3.267256e+00	3.043690e-01	4.184460e-03	4.184460e-03
3.267256e+00	3.518584e+00	3.065567e-01	4.366279e-03	4.366279e-03
3.518584e+00	3.769911e+00	3.012977e-01	4.325676e-03	4.325676e-03
3.769911e+00	4.021239e+00	2.876271e-01	4.472681e-03	4.472681e-03
4.021239e+00	4.272566e+00	2.609983e-01	4.160235e-03	4.160235e-03
4.272566e+00	4.523893e+00	2.441960e-01	4.263845e-03	4.263845e-03
4.523893e+00	4.775221e+00	2.180683e-01	4.025425e-03	4.025425e-03
4.775221e+00	5.026548e+00	1.993064e-01	4.024971e-03	4.024971e-03
5.026548e+00	5.277876e+00	1.798290e-01	3.635992e-03	3.635992e-03
5.277876e+00	5.529203e+00	1.642261e-01	3.607257e-03	3.607257e-03
5.529203e+00	5.780530e+00	1.514567e-01	3.479939e-03	3.479939e-03
5.780530e+00	6.031858e+00	1.487631e-01	3.208429e-03	3.208429e-03
6.031858e+00	6.283185e+00	1.424077e-01	3.229464e-03	3.229464e-03
# END HISTO1D

# BEGIN HISTO1D emubB_homemadeLeptonH.yoda/ATLAS_sherpa/Phiemu
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=emubB_homemadeLeptonH.yoda/ATLAS_sherpa/Phiemu
ScaledBy=0.0043264140021885339
Title=emubB_homemadeLeptonH
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.513274e-01	1.435695e-01	3.658127e-03	3.658127e-03
2.513274e-01	5.026548e-01	1.474058e-01	3.860581e-03	3.860581e-03
5.026548e-01	7.539822e-01	1.489905e-01	3.928625e-03	3.928625e-03
7.539822e-01	1.005310e+00	1.625774e-01	3.843960e-03	3.843960e-03
1.005310e+00	1.256637e+00	1.758548e-01	4.569501e-03	4.569501e-03
1.256637e+00	1.507964e+00	1.945110e-01	3.965468e-03	3.965468e-03
1.507964e+00	1.759292e+00	2.204549e-01	4.610481e-03	4.610481e-03
1.759292e+00	2.010619e+00	2.414402e-01	4.776005e-03	4.776005e-03
2.010619e+00	2.261947e+00	2.590989e-01	4.696331e-03	4.696331e-03
2.261947e+00	2.513274e+00	2.853003e-01	5.288605e-03	5.288605e-03
2.513274e+00	2.764602e+00	2.928002e-01	4.620507e-03	4.620507e-03
2.764602e+00	3.015929e+00	3.002884e-01	4.828613e-03	4.828613e-03
3.015929e+00	3.267256e+00	3.091015e-01	5.681998e-03	5.681998e-03
3.267256e+00	3.518584e+00	3.057228e-01	5.077035e-03	5.077035e-03
3.518584e+00	3.769911e+00	3.067211e-01	6.102969e-03	6.102969e-03
3.769911e+00	4.021239e+00	2.867922e-01	5.933222e-03	5.933222e-03
4.021239e+00	4.272566e+00	2.673468e-01	4.906574e-03	4.906574e-03
4.272566e+00	4.523893e+00	2.361267e-01	4.404884e-03	4.404884e-03
4.523893e+00	4.775221e+00	2.215536e-01	4.513495e-03	4.513495e-03
4.775221e+00	5.026548e+00	2.017319e-01	4.789056e-03	4.789056e-03
5.026548e+00	5.277876e+00	1.847876e-01	4.584030e-03	4.584030e-03
5.277876e+00	5.529203e+00	1.663144e-01	4.180413e-03	4.180413e-03
5.529203e+00	5.780530e+00	1.529431e-01	3.745754e-03	3.745754e-03
5.780530e+00	6.031858e+00	1.437677e-01	3.623235e-03	3.623235e-03
6.031858e+00	6.283185e+00	1.463951e-01	4.849894e-03	4.849894e-03
# END HISTO1D

