# BEGIN PLOT
RatioPlotReference=WWbBLeptonS.yoda/ATLAS_sherpa/Pt1
RatioPlot=1
DrawOnly=WWbBLeptonS.yoda/ATLAS_sherpa/Pt1 emubB_homemadeLeptonH.yoda/ATLAS_sherpa/Pt1
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D WWbBLeptonS.yoda/ATLAS_sherpa/Pt1
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=WWbBLeptonS.yoda/ATLAS_sherpa/Pt1
ScaledBy=9.9919564750378098e-07
Title=WWbBLeptonS
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	4.000000e+01	1.292756e-03	4.215728e-05	4.215728e-05
4.000000e+01	5.000000e+01	5.225393e-03	8.890455e-05	8.890455e-05
5.000000e+01	6.000000e+01	1.062320e-02	1.351732e-04	1.351732e-04
6.000000e+01	7.000000e+01	1.548776e-02	1.613539e-04	1.613539e-04
7.000000e+01	8.000000e+01	1.724298e-02	1.750091e-04	1.750091e-04
8.000000e+01	9.000000e+01	1.644063e-02	1.721935e-04	1.721935e-04
9.000000e+01	1.000000e+02	1.468815e-02	1.662541e-04	1.662541e-04
1.000000e+02	1.100000e+02	1.216279e-02	1.506199e-04	1.506199e-04
1.100000e+02	1.200000e+02	9.889506e-03	1.322156e-04	1.322156e-04
1.200000e+02	1.300000e+02	7.782799e-03	1.154897e-04	1.154897e-04
1.300000e+02	1.400000e+02	6.034296e-03	1.015527e-04	1.015527e-04
1.400000e+02	1.500000e+02	4.643076e-03	8.982641e-05	8.982641e-05
1.500000e+02	1.600000e+02	3.496508e-03	7.753370e-05	7.753370e-05
1.600000e+02	1.700000e+02	2.698525e-03	7.031564e-05	7.031564e-05
1.700000e+02	1.800000e+02	2.104693e-03	6.618684e-05	6.618684e-05
1.800000e+02	1.900000e+02	1.641224e-03	5.220231e-05	5.220231e-05
1.900000e+02	2.000000e+02	1.329308e-03	5.221358e-05	5.221358e-05
2.000000e+02	2.100000e+02	1.011514e-03	3.902488e-05	3.902488e-05
2.100000e+02	2.200000e+02	8.512964e-04	4.028712e-05	4.028712e-05
2.200000e+02	2.300000e+02	6.511632e-04	2.970716e-05	2.970716e-05
2.300000e+02	2.400000e+02	5.023073e-04	2.921040e-05	2.921040e-05
2.400000e+02	2.500000e+02	4.236620e-04	2.951372e-05	2.951372e-05
2.500000e+02	2.600000e+02	3.224848e-04	2.510240e-05	2.510240e-05
2.600000e+02	2.700000e+02	2.804210e-04	2.015457e-05	2.015457e-05
2.700000e+02	2.800000e+02	2.173564e-04	1.591969e-05	1.591969e-05
2.800000e+02	2.900000e+02	2.317970e-04	1.867776e-05	1.867776e-05
2.900000e+02	3.000000e+02	2.008674e-04	3.123623e-05	3.123623e-05
3.000000e+02	3.100000e+02	1.541968e-04	1.340243e-05	1.340243e-05
3.100000e+02	3.200000e+02	1.227411e-04	1.547875e-05	1.547875e-05
3.200000e+02	3.300000e+02	9.877946e-05	1.175452e-05	1.175452e-05
3.300000e+02	3.400000e+02	9.905597e-05	1.167622e-05	1.167622e-05
3.400000e+02	3.500000e+02	8.417375e-05	9.102284e-06	9.102284e-06
3.500000e+02	3.600000e+02	7.286547e-05	1.476266e-05	1.476266e-05
3.600000e+02	3.700000e+02	4.457745e-05	6.180782e-06	6.180782e-06
3.700000e+02	3.800000e+02	6.278054e-05	8.844254e-06	8.844254e-06
3.800000e+02	3.900000e+02	4.314436e-05	5.357462e-06	5.357462e-06
3.900000e+02	4.000000e+02	5.445001e-05	1.295165e-05	1.295165e-05
4.000000e+02	4.100000e+02	3.836549e-05	7.598677e-06	7.598677e-06
4.100000e+02	4.200000e+02	3.974664e-05	8.667486e-06	8.667486e-06
4.200000e+02	4.300000e+02	3.509791e-05	7.887143e-06	7.887143e-06
4.300000e+02	4.400000e+02	2.288114e-05	3.995690e-06	3.995690e-06
4.400000e+02	4.500000e+02	2.216505e-05	3.891063e-06	3.891063e-06
4.500000e+02	4.600000e+02	2.689853e-05	8.277486e-06	8.277486e-06
4.600000e+02	4.700000e+02	2.139490e-05	4.186299e-06	4.186299e-06
4.700000e+02	4.800000e+02	1.940783e-05	4.447505e-06	4.447505e-06
4.800000e+02	4.900000e+02	1.388658e-05	4.850104e-06	4.850104e-06
4.900000e+02	5.000000e+02	1.027531e-05	2.333377e-06	2.333377e-06
# END HISTO1D

# BEGIN HISTO1D emubB_homemadeLeptonH.yoda/ATLAS_sherpa/Pt1
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=emubB_homemadeLeptonH.yoda/ATLAS_sherpa/Pt1
ScaledBy=0.0043264140021885339
Title=emubB_homemadeLeptonH
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	4.000000e+01	1.300914e-03	4.877517e-05	4.877517e-05
4.000000e+01	5.000000e+01	5.238664e-03	1.030960e-04	1.030960e-04
5.000000e+01	6.000000e+01	1.072273e-02	1.593387e-04	1.593387e-04
6.000000e+01	7.000000e+01	1.542321e-02	1.928175e-04	1.928175e-04
7.000000e+01	8.000000e+01	1.737524e-02	2.076170e-04	2.076170e-04
8.000000e+01	9.000000e+01	1.635791e-02	2.171346e-04	2.171346e-04
9.000000e+01	1.000000e+02	1.469350e-02	2.032910e-04	2.032910e-04
1.000000e+02	1.100000e+02	1.218845e-02	1.764289e-04	1.764289e-04
1.100000e+02	1.200000e+02	9.875595e-03	1.463414e-04	1.463414e-04
1.200000e+02	1.300000e+02	7.688265e-03	1.300472e-04	1.300472e-04
1.300000e+02	1.400000e+02	6.069293e-03	1.367006e-04	1.367006e-04
1.400000e+02	1.500000e+02	4.616571e-03	1.080660e-04	1.080660e-04
1.500000e+02	1.600000e+02	3.478003e-03	8.601137e-05	8.601137e-05
1.600000e+02	1.700000e+02	2.633081e-03	6.895448e-05	6.895448e-05
1.700000e+02	1.800000e+02	2.107315e-03	6.346483e-05	6.346483e-05
1.800000e+02	1.900000e+02	1.565315e-03	5.809016e-05	5.809016e-05
1.900000e+02	2.000000e+02	1.200671e-03	4.556529e-05	4.556529e-05
2.000000e+02	2.100000e+02	1.007904e-03	5.105358e-05	5.105358e-05
2.100000e+02	2.200000e+02	8.623117e-04	4.723190e-05	4.723190e-05
2.200000e+02	2.300000e+02	6.114731e-04	2.877683e-05	2.877683e-05
2.300000e+02	2.400000e+02	5.671593e-04	4.783469e-05	4.783469e-05
2.400000e+02	2.500000e+02	3.959287e-04	2.423463e-05	2.423463e-05
2.500000e+02	2.600000e+02	3.136123e-04	2.121425e-05	2.121425e-05
2.600000e+02	2.700000e+02	2.635778e-04	1.933848e-05	1.933848e-05
2.700000e+02	2.800000e+02	2.219668e-04	2.069273e-05	2.069273e-05
2.800000e+02	2.900000e+02	2.093511e-04	2.454155e-05	2.454155e-05
2.900000e+02	3.000000e+02	1.838164e-04	2.285836e-05	2.285836e-05
3.000000e+02	3.100000e+02	1.266199e-04	1.411121e-05	1.411121e-05
3.100000e+02	3.200000e+02	1.265489e-04	1.261315e-05	1.261315e-05
3.200000e+02	3.300000e+02	9.379625e-05	1.062335e-05	1.062335e-05
3.300000e+02	3.400000e+02	6.409531e-05	8.039390e-06	8.039390e-06
3.400000e+02	3.500000e+02	8.363803e-05	1.258093e-05	1.258093e-05
3.500000e+02	3.600000e+02	4.521614e-05	6.054738e-06	6.054738e-06
3.600000e+02	3.700000e+02	5.196007e-05	8.520315e-06	8.520315e-06
3.700000e+02	3.800000e+02	5.760876e-05	1.056205e-05	1.056205e-05
3.800000e+02	3.900000e+02	4.594859e-05	9.571049e-06	9.571049e-06
3.900000e+02	4.000000e+02	2.702856e-05	4.641642e-06	4.641642e-06
4.000000e+02	4.100000e+02	5.643656e-05	1.626089e-05	1.626089e-05
4.100000e+02	4.200000e+02	3.581424e-05	7.044149e-06	7.044149e-06
4.200000e+02	4.300000e+02	3.320391e-05	6.845597e-06	6.845597e-06
4.300000e+02	4.400000e+02	1.473150e-05	3.229000e-06	3.229000e-06
4.400000e+02	4.500000e+02	2.302098e-05	6.718771e-06	6.718771e-06
4.500000e+02	4.600000e+02	2.829207e-05	8.767694e-06	8.767694e-06
4.600000e+02	4.700000e+02	1.206145e-05	3.028537e-06	3.028537e-06
4.700000e+02	4.800000e+02	9.336789e-06	1.822338e-06	1.822338e-06
4.800000e+02	4.900000e+02	1.088769e-05	2.826916e-06	2.826916e-06
4.900000e+02	5.000000e+02	1.261059e-05	4.401470e-06	4.401470e-06
# END HISTO1D

