# BEGIN PLOT
RatioPlotReference=WWbBLeptonS.yoda/ATLAS_sherpa/PtMiss
RatioPlot=1
DrawOnly=WWbBLeptonS.yoda/ATLAS_sherpa/PtMiss emubB_homemadeLeptonH.yoda/ATLAS_sherpa/PtMiss
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D WWbBLeptonS.yoda/ATLAS_sherpa/PtMiss
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=WWbBLeptonS.yoda/ATLAS_sherpa/PtMiss
ScaledBy=9.9919564750378098e-07
Title=WWbBLeptonS
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.400000e+01	5.850675e-03	1.164261e-04	1.164261e-04
2.400000e+01	3.200000e+01	1.318295e-02	1.711440e-04	1.711440e-04
3.200000e+01	4.000000e+01	1.499554e-02	1.736661e-04	1.736661e-04
4.000000e+01	4.800000e+01	1.648385e-02	1.892193e-04	1.892193e-04
4.800000e+01	5.600000e+01	1.653251e-02	1.838355e-04	1.838355e-04
5.600000e+01	6.400000e+01	1.667413e-02	1.916301e-04	1.916301e-04
6.400000e+01	7.200000e+01	1.551115e-02	1.760243e-04	1.760243e-04
7.200000e+01	8.000000e+01	1.431554e-02	1.754685e-04	1.754685e-04
8.000000e+01	8.800000e+01	1.283790e-02	1.663423e-04	1.663423e-04
8.800000e+01	9.600000e+01	1.057986e-02	1.509697e-04	1.509697e-04
9.600000e+01	1.040000e+02	9.252748e-03	1.499963e-04	1.499963e-04
1.040000e+02	1.120000e+02	7.056139e-03	1.306585e-04	1.306585e-04
1.120000e+02	1.200000e+02	5.265246e-03	1.164281e-04	1.164281e-04
1.200000e+02	1.280000e+02	4.023003e-03	1.013104e-04	1.013104e-04
1.280000e+02	1.360000e+02	3.028442e-03	8.564145e-05	8.564145e-05
1.360000e+02	1.440000e+02	2.293936e-03	7.950277e-05	7.950277e-05
1.440000e+02	1.520000e+02	1.277171e-03	4.891338e-05	4.891338e-05
1.520000e+02	1.600000e+02	1.037038e-03	5.219393e-05	5.219393e-05
1.600000e+02	1.680000e+02	7.672110e-04	4.184381e-05	4.184381e-05
1.680000e+02	1.760000e+02	5.062510e-04	3.694153e-05	3.694153e-05
1.760000e+02	1.840000e+02	3.753557e-04	2.964073e-05	2.964073e-05
1.840000e+02	1.920000e+02	2.822120e-04	2.726101e-05	2.726101e-05
1.920000e+02	2.000000e+02	2.233446e-04	2.021881e-05	2.021881e-05
# END HISTO1D

# BEGIN HISTO1D emubB_homemadeLeptonH.yoda/ATLAS_sherpa/PtMiss
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=emubB_homemadeLeptonH.yoda/ATLAS_sherpa/PtMiss
ScaledBy=0.0043264140021885339
Title=emubB_homemadeLeptonH
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.400000e+01	5.590936e-03	1.268792e-04	1.268792e-04
2.400000e+01	3.200000e+01	1.332750e-02	2.107387e-04	2.107387e-04
3.200000e+01	4.000000e+01	1.535553e-02	2.116806e-04	2.116806e-04
4.000000e+01	4.800000e+01	1.607815e-02	2.405027e-04	2.405027e-04
4.800000e+01	5.600000e+01	1.665115e-02	2.144932e-04	2.144932e-04
5.600000e+01	6.400000e+01	1.640913e-02	2.271198e-04	2.271198e-04
6.400000e+01	7.200000e+01	1.619430e-02	2.203195e-04	2.203195e-04
7.200000e+01	8.000000e+01	1.474479e-02	2.084188e-04	2.084188e-04
8.000000e+01	8.800000e+01	1.226651e-02	1.897629e-04	1.897629e-04
8.800000e+01	9.600000e+01	1.080826e-02	1.866172e-04	1.866172e-04
9.600000e+01	1.040000e+02	8.709607e-03	1.573156e-04	1.573156e-04
1.040000e+02	1.120000e+02	7.019636e-03	1.464312e-04	1.464312e-04
1.120000e+02	1.200000e+02	5.455232e-03	1.524224e-04	1.524224e-04
1.200000e+02	1.280000e+02	3.962548e-03	1.046417e-04	1.046417e-04
1.280000e+02	1.360000e+02	2.882716e-03	9.384879e-05	9.384879e-05
1.360000e+02	1.440000e+02	1.954237e-03	6.817842e-05	6.817842e-05
1.440000e+02	1.520000e+02	1.458701e-03	6.479851e-05	6.479851e-05
1.520000e+02	1.600000e+02	9.911385e-04	6.252572e-05	6.252572e-05
1.600000e+02	1.680000e+02	6.886633e-04	3.842442e-05	3.842442e-05
1.680000e+02	1.760000e+02	5.033052e-04	4.136121e-05	4.136121e-05
1.760000e+02	1.840000e+02	3.622703e-04	3.021702e-05	3.021702e-05
1.840000e+02	1.920000e+02	2.872439e-04	2.371113e-05	2.371113e-05
1.920000e+02	2.000000e+02	2.445761e-04	2.797443e-05	2.797443e-05
# END HISTO1D

