# BEGIN PLOT
RatioPlotReference=WWbBLeptonS.yoda/ATLAS_sherpa/WEta
RatioPlot=1
DrawOnly=WWbBLeptonS.yoda/ATLAS_sherpa/WEta emubB_homemadeLeptonH.yoda/ATLAS_sherpa/WEta
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D WWbBLeptonS.yoda/ATLAS_sherpa/WEta
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=WWbBLeptonS.yoda/ATLAS_sherpa/WEta
ScaledBy=9.9919564750378098e-07
Title=WWbBLeptonS
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.520000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.520000e+00	-5.040000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.040000e+00	-4.560000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.560000e+00	-4.080000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.080000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.120000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.120000e+00	-2.640000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.640000e+00	-2.160000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.160000e+00	-1.680000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.680000e+00	-1.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.200000e+00	-7.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-7.200000e-01	-2.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-2.400000e-01	2.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e-01	7.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e-01	1.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+00	1.680000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.680000e+00	2.160000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.160000e+00	2.640000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.640000e+00	3.120000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.120000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	4.080000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.080000e+00	4.560000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.560000e+00	5.040000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.040000e+00	5.520000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.520000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

# BEGIN HISTO1D emubB_homemadeLeptonH.yoda/ATLAS_sherpa/WEta
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=emubB_homemadeLeptonH.yoda/ATLAS_sherpa/WEta
ScaledBy=0.0043264140021885339
Title=emubB_homemadeLeptonH
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.520000e+00	1.645386e-03	2.607231e-04	2.607231e-04
-5.520000e+00	-5.040000e+00	4.678465e-03	4.260412e-04	4.260412e-04
-5.040000e+00	-4.560000e+00	1.923987e-02	5.883771e-03	5.883771e-03
-4.560000e+00	-4.080000e+00	4.171279e-02	5.417757e-03	5.417757e-03
-4.080000e+00	-3.600000e+00	8.897717e-02	6.333762e-03	6.333762e-03
-3.600000e+00	-3.120000e+00	2.036319e-01	9.373551e-03	9.373551e-03
-3.120000e+00	-2.640000e+00	4.032263e-01	1.111270e-02	1.111270e-02
-2.640000e+00	-2.160000e+00	7.246085e-01	1.051594e-02	1.051594e-02
-2.160000e+00	-1.680000e+00	1.104596e+00	1.093846e-02	1.093846e-02
-1.680000e+00	-1.200000e+00	1.483397e+00	1.277263e-02	1.277263e-02
-1.200000e+00	-7.200000e-01	1.635030e+00	1.451799e-02	1.451799e-02
-7.200000e-01	-2.400000e-01	1.692655e+00	1.766877e-02	1.766877e-02
-2.400000e-01	2.400000e-01	1.665097e+00	1.110266e-02	1.110266e-02
2.400000e-01	7.200000e-01	1.664472e+00	1.020060e-02	1.020060e-02
7.200000e-01	1.200000e+00	1.650336e+00	1.178442e-02	1.178442e-02
1.200000e+00	1.680000e+00	1.463397e+00	1.229335e-02	1.229335e-02
1.680000e+00	2.160000e+00	1.118573e+00	1.096900e-02	1.096900e-02
2.160000e+00	2.640000e+00	7.166100e-01	1.285696e-02	1.285696e-02
2.640000e+00	3.120000e+00	3.766060e-01	8.987076e-03	8.987076e-03
3.120000e+00	3.600000e+00	1.796167e-01	5.542025e-03	5.542025e-03
3.600000e+00	4.080000e+00	8.892850e-02	7.673604e-03	7.673604e-03
4.080000e+00	4.560000e+00	3.314442e-02	2.701002e-03	2.701002e-03
4.560000e+00	5.040000e+00	1.439472e-02	1.243740e-03	1.243740e-03
5.040000e+00	5.520000e+00	6.406713e-03	1.039854e-03	1.039854e-03
5.520000e+00	6.000000e+00	2.251323e-03	5.350597e-04	5.350597e-04
# END HISTO1D

