# BEGIN PLOT
RatioPlotReference=WWbBLeptonS.yoda/ATLAS_sherpa/WPhi
RatioPlot=1
DrawOnly=WWbBLeptonS.yoda/ATLAS_sherpa/WPhi emubB_homemadeLeptonH.yoda/ATLAS_sherpa/WPhi
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D WWbBLeptonS.yoda/ATLAS_sherpa/WPhi
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=WWbBLeptonS.yoda/ATLAS_sherpa/WPhi
ScaledBy=9.9919564750378098e-07
Title=WWbBLeptonS
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.513274e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.513274e-01	5.026548e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.026548e-01	7.539822e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.539822e-01	1.005310e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.005310e+00	1.256637e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.256637e+00	1.507964e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.507964e+00	1.759292e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.759292e+00	2.010619e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.010619e+00	2.261947e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.261947e+00	2.513274e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.513274e+00	2.764602e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.764602e+00	3.015929e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.015929e+00	3.267256e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.267256e+00	3.518584e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.518584e+00	3.769911e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.769911e+00	4.021239e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.021239e+00	4.272566e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.272566e+00	4.523893e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.523893e+00	4.775221e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.775221e+00	5.026548e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.026548e+00	5.277876e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.277876e+00	5.529203e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.529203e+00	5.780530e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.780530e+00	6.031858e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.031858e+00	6.283185e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

# BEGIN HISTO1D emubB_homemadeLeptonH.yoda/ATLAS_sherpa/WPhi
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=emubB_homemadeLeptonH.yoda/ATLAS_sherpa/WPhi
ScaledBy=0.0043264140021885339
Title=emubB_homemadeLeptonH
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.513274e-01	1.259540e+00	1.810766e-02	1.810766e-02
2.513274e-01	5.026548e-01	1.250310e+00	1.713058e-02	1.713058e-02
5.026548e-01	7.539822e-01	1.266547e+00	1.816280e-02	1.816280e-02
7.539822e-01	1.005310e+00	1.243977e+00	1.888877e-02	1.888877e-02
1.005310e+00	1.256637e+00	1.249348e+00	1.606081e-02	1.606081e-02
1.256637e+00	1.507964e+00	1.246883e+00	1.411931e-02	1.411931e-02
1.507964e+00	1.759292e+00	1.225198e+00	1.429473e-02	1.429473e-02
1.759292e+00	2.010619e+00	1.277562e+00	2.277869e-02	2.277869e-02
2.010619e+00	2.261947e+00	1.283903e+00	2.924109e-02	2.924109e-02
2.261947e+00	2.513274e+00	1.260816e+00	1.996823e-02	1.996823e-02
2.513274e+00	2.764602e+00	1.251568e+00	1.662896e-02	1.662896e-02
2.764602e+00	3.015929e+00	1.235757e+00	1.405491e-02	1.405491e-02
3.015929e+00	3.267256e+00	1.256005e+00	1.501747e-02	1.501747e-02
3.267256e+00	3.518584e+00	1.228450e+00	1.850161e-02	1.850161e-02
3.518584e+00	3.769911e+00	1.243020e+00	1.495164e-02	1.495164e-02
3.769911e+00	4.021239e+00	1.238045e+00	1.474951e-02	1.474951e-02
4.021239e+00	4.272566e+00	1.256549e+00	2.092084e-02	2.092084e-02
4.272566e+00	4.523893e+00	1.219947e+00	1.311950e-02	1.311950e-02
4.523893e+00	4.775221e+00	1.227293e+00	1.333057e-02	1.333057e-02
4.775221e+00	5.026548e+00	1.241455e+00	1.498844e-02	1.498844e-02
5.026548e+00	5.277876e+00	1.253671e+00	1.758202e-02	1.758202e-02
5.277876e+00	5.529203e+00	1.288834e+00	2.452823e-02	2.452823e-02
5.529203e+00	5.780530e+00	1.249765e+00	1.992536e-02	1.992536e-02
5.780530e+00	6.031858e+00	1.282744e+00	1.655117e-02	1.655117e-02
6.031858e+00	6.283185e+00	1.255965e+00	1.619832e-02	1.619832e-02
# END HISTO1D

