# BEGIN PLOT
RatioPlotReference=WWbBLeptonS.yoda/ATLAS_sherpa/deltaRb
RatioPlot=1
DrawOnly=WWbBLeptonS.yoda/ATLAS_sherpa/deltaRb emubB_homemadeLeptonH.yoda/ATLAS_sherpa/deltaRb
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D WWbBLeptonS.yoda/ATLAS_sherpa/deltaRb
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=WWbBLeptonS.yoda/ATLAS_sherpa/deltaRb
ScaledBy=9.9919564750378098e-07
Title=WWbBLeptonS
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	2.348347e-04	1.709859e-04	1.709859e-04
5.000000e-01	6.000000e-01	1.249852e-01	5.039480e-03	5.039480e-03
6.000000e-01	7.000000e-01	1.489792e-01	5.038116e-03	5.038116e-03
7.000000e-01	8.000000e-01	1.822266e-01	5.787474e-03	5.787474e-03
8.000000e-01	9.000000e-01	2.030983e-01	6.560246e-03	6.560246e-03
9.000000e-01	1.000000e+00	2.309619e-01	6.815485e-03	6.815485e-03
1.000000e+00	1.100000e+00	2.412789e-01	6.428802e-03	6.428802e-03
1.100000e+00	1.200000e+00	2.719319e-01	7.162252e-03	7.162252e-03
1.200000e+00	1.300000e+00	2.758499e-01	7.113004e-03	7.113004e-03
1.300000e+00	1.400000e+00	3.154716e-01	7.305085e-03	7.305085e-03
1.400000e+00	1.500000e+00	3.450867e-01	7.694920e-03	7.694920e-03
1.500000e+00	1.600000e+00	3.636082e-01	7.755543e-03	7.755543e-03
1.600000e+00	1.700000e+00	3.815402e-01	8.086654e-03	8.086654e-03
1.700000e+00	1.800000e+00	4.103951e-01	8.367834e-03	8.367834e-03
1.800000e+00	1.900000e+00	4.498585e-01	8.685008e-03	8.685008e-03
1.900000e+00	2.000000e+00	4.679880e-01	9.355273e-03	9.355273e-03
2.000000e+00	2.100000e+00	4.782057e-01	8.962448e-03	8.962448e-03
2.100000e+00	2.200000e+00	5.281342e-01	1.027427e-02	1.027427e-02
2.200000e+00	2.300000e+00	5.534064e-01	1.026882e-02	1.026882e-02
2.300000e+00	2.400000e+00	5.844273e-01	1.013697e-02	1.013697e-02
2.400000e+00	2.500000e+00	6.034505e-01	9.570734e-03	9.570734e-03
2.500000e+00	2.600000e+00	6.396281e-01	1.073578e-02	1.073578e-02
2.600000e+00	2.700000e+00	6.711177e-01	1.036931e-02	1.036931e-02
2.700000e+00	2.800000e+00	7.049601e-01	1.081487e-02	1.081487e-02
2.800000e+00	2.900000e+00	7.264159e-01	1.099597e-02	1.099597e-02
2.900000e+00	3.000000e+00	7.557378e-01	1.095050e-02	1.095050e-02
3.000000e+00	3.100000e+00	7.676193e-01	1.166680e-02	1.166680e-02
3.100000e+00	3.200000e+00	6.735433e-01	1.052766e-02	1.052766e-02
3.200000e+00	3.300000e+00	4.464400e-01	8.839152e-03	8.839152e-03
3.300000e+00	3.400000e+00	3.169850e-01	7.208149e-03	7.208149e-03
3.400000e+00	3.500000e+00	2.487933e-01	7.181401e-03	7.181401e-03
3.500000e+00	3.600000e+00	1.810485e-01	6.084987e-03	6.084987e-03
3.600000e+00	3.700000e+00	1.462003e-01	5.995330e-03	5.995330e-03
3.700000e+00	3.800000e+00	1.129642e-01	4.831672e-03	4.831672e-03
3.800000e+00	3.900000e+00	7.788993e-02	3.616780e-03	3.616780e-03
3.900000e+00	4.000000e+00	5.699733e-02	3.351968e-03	3.351968e-03
4.000000e+00	4.100000e+00	4.935028e-02	3.103613e-03	3.103613e-03
4.100000e+00	4.200000e+00	3.649750e-02	3.176353e-03	3.176353e-03
4.200000e+00	4.300000e+00	2.885154e-02	2.533802e-03	2.533802e-03
4.300000e+00	4.400000e+00	1.845107e-02	1.897953e-03	1.897953e-03
4.400000e+00	4.500000e+00	1.292736e-02	1.664258e-03	1.664258e-03
4.500000e+00	4.600000e+00	1.238937e-02	2.487768e-03	2.487768e-03
4.600000e+00	4.700000e+00	7.814984e-03	1.119433e-03	1.119433e-03
4.700000e+00	4.800000e+00	5.687980e-03	1.032882e-03	1.032882e-03
4.800000e+00	4.900000e+00	3.319576e-03	7.461119e-04	7.461119e-04
4.900000e+00	5.000000e+00	2.393098e-03	1.178261e-03	1.178261e-03
# END HISTO1D

# BEGIN HISTO1D emubB_homemadeLeptonH.yoda/ATLAS_sherpa/deltaRb
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=emubB_homemadeLeptonH.yoda/ATLAS_sherpa/deltaRb
ScaledBy=0.0043264140021885339
Title=emubB_homemadeLeptonH
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	7.178671e-05	5.203255e-05	5.203255e-05
5.000000e-01	6.000000e-01	1.233472e-01	5.996240e-03	5.996240e-03
6.000000e-01	7.000000e-01	1.592407e-01	6.567897e-03	6.567897e-03
7.000000e-01	8.000000e-01	1.828982e-01	7.141655e-03	7.141655e-03
8.000000e-01	9.000000e-01	1.951789e-01	6.971642e-03	6.971642e-03
9.000000e-01	1.000000e+00	2.281987e-01	7.705406e-03	7.705406e-03
1.000000e+00	1.100000e+00	2.367141e-01	7.109435e-03	7.109435e-03
1.100000e+00	1.200000e+00	2.705179e-01	7.420803e-03	7.420803e-03
1.200000e+00	1.300000e+00	2.888510e-01	8.496065e-03	8.496065e-03
1.300000e+00	1.400000e+00	3.102683e-01	8.551722e-03	8.551722e-03
1.400000e+00	1.500000e+00	3.553247e-01	1.098282e-02	1.098282e-02
1.500000e+00	1.600000e+00	3.572739e-01	8.769038e-03	8.769038e-03
1.600000e+00	1.700000e+00	3.855525e-01	9.676668e-03	9.676668e-03
1.700000e+00	1.800000e+00	3.987292e-01	9.402298e-03	9.402298e-03
1.800000e+00	1.900000e+00	4.418070e-01	1.020199e-02	1.020199e-02
1.900000e+00	2.000000e+00	4.682818e-01	1.045290e-02	1.045290e-02
2.000000e+00	2.100000e+00	4.913988e-01	1.038599e-02	1.038599e-02
2.100000e+00	2.200000e+00	5.316826e-01	1.141298e-02	1.141298e-02
2.200000e+00	2.300000e+00	5.529299e-01	1.140047e-02	1.140047e-02
2.300000e+00	2.400000e+00	5.715158e-01	1.277315e-02	1.277315e-02
2.400000e+00	2.500000e+00	5.998774e-01	1.099744e-02	1.099744e-02
2.500000e+00	2.600000e+00	6.573477e-01	1.292782e-02	1.292782e-02
2.600000e+00	2.700000e+00	6.438904e-01	1.170398e-02	1.170398e-02
2.700000e+00	2.800000e+00	6.879154e-01	1.208861e-02	1.208861e-02
2.800000e+00	2.900000e+00	7.174612e-01	1.255404e-02	1.255404e-02
2.900000e+00	3.000000e+00	7.584882e-01	1.362563e-02	1.362563e-02
3.000000e+00	3.100000e+00	7.632835e-01	1.458213e-02	1.458213e-02
3.100000e+00	3.200000e+00	6.669309e-01	1.199512e-02	1.199512e-02
3.200000e+00	3.300000e+00	4.508860e-01	9.670845e-03	9.670845e-03
3.300000e+00	3.400000e+00	3.108819e-01	8.643242e-03	8.643242e-03
3.400000e+00	3.500000e+00	2.540681e-01	1.018308e-02	1.018308e-02
3.500000e+00	3.600000e+00	1.876739e-01	6.706510e-03	6.706510e-03
3.600000e+00	3.700000e+00	1.405499e-01	5.306985e-03	5.306985e-03
3.700000e+00	3.800000e+00	1.053155e-01	4.780652e-03	4.780652e-03
3.800000e+00	3.900000e+00	8.465304e-02	9.081097e-03	9.081097e-03
3.900000e+00	4.000000e+00	6.175155e-02	3.648774e-03	3.648774e-03
4.000000e+00	4.100000e+00	4.803096e-02	3.271448e-03	3.271448e-03
4.100000e+00	4.200000e+00	4.037357e-02	3.307159e-03	3.307159e-03
4.200000e+00	4.300000e+00	3.041291e-02	4.186854e-03	4.186854e-03
4.300000e+00	4.400000e+00	1.899417e-02	2.079503e-03	2.079503e-03
4.400000e+00	4.500000e+00	1.786457e-02	3.565759e-03	3.565759e-03
4.500000e+00	4.600000e+00	1.020644e-02	1.946534e-03	1.946534e-03
4.600000e+00	4.700000e+00	8.559447e-03	1.841004e-03	1.841004e-03
4.700000e+00	4.800000e+00	5.029257e-03	8.315989e-04	8.315989e-04
4.800000e+00	4.900000e+00	2.124553e-03	5.733136e-04	5.733136e-04
4.900000e+00	5.000000e+00	2.370241e-03	5.274645e-04	5.274645e-04
# END HISTO1D

