# BEGIN PLOT
RatioPlotReference=WWbBLeptonS.yoda/ATLAS_sherpa/deltaRl
RatioPlot=1
DrawOnly=WWbBLeptonS.yoda/ATLAS_sherpa/deltaRl emubB_homemadeLeptonH.yoda/ATLAS_sherpa/deltaRl
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D WWbBLeptonS.yoda/ATLAS_sherpa/deltaRl
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=WWbBLeptonS.yoda/ATLAS_sherpa/deltaRl
ScaledBy=9.9919564750378098e-07
Title=WWbBLeptonS
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	1.272280e-02	1.424892e-03	1.424892e-03
1.000000e-01	2.000000e-01	4.115785e-02	2.628760e-03	2.628760e-03
2.000000e-01	3.000000e-01	6.157597e-02	3.187038e-03	3.187038e-03
3.000000e-01	4.000000e-01	8.885645e-02	4.012988e-03	4.012988e-03
4.000000e-01	5.000000e-01	1.216868e-01	4.660187e-03	4.660187e-03
5.000000e-01	6.000000e-01	1.434127e-01	4.902373e-03	4.902373e-03
6.000000e-01	7.000000e-01	1.738557e-01	5.719378e-03	5.719378e-03
7.000000e-01	8.000000e-01	1.965082e-01	5.991928e-03	5.991928e-03
8.000000e-01	9.000000e-01	2.243111e-01	6.213870e-03	6.213870e-03
9.000000e-01	1.000000e+00	2.717804e-01	7.540719e-03	7.540719e-03
1.000000e+00	1.100000e+00	2.746521e-01	7.190113e-03	7.190113e-03
1.100000e+00	1.200000e+00	3.106003e-01	7.551828e-03	7.551828e-03
1.200000e+00	1.300000e+00	3.175829e-01	7.783141e-03	7.783141e-03
1.300000e+00	1.400000e+00	3.539238e-01	8.535704e-03	8.535704e-03
1.400000e+00	1.500000e+00	3.821777e-01	8.536507e-03	8.536507e-03
1.500000e+00	1.600000e+00	3.959752e-01	9.573645e-03	9.573645e-03
1.600000e+00	1.700000e+00	4.165270e-01	8.910770e-03	8.910770e-03
