# BEGIN PLOT
RatioPlotReference=WWbBCutsSherpa.yoda/ATLAS_sherpa/Eta1
RatioPlot=1
DrawOnly=WWbBCutsSherpa.yoda/ATLAS_sherpa/Eta1 emubB_homemade.yoda/ATLAS_sherpa/Eta1
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D WWbBCutsSherpa.yoda/ATLAS_sherpa/Eta1
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=WWbBCutsSherpa.yoda/ATLAS_sherpa/Eta1
ScaledBy=2.2340276683880514e-08
Title=WWbBCutsSherpa
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.250000e+00	3.180044e-02	1.276177e-04	1.276177e-04
-2.250000e+00	-2.000000e+00	5.425944e-02	1.592260e-04	1.592260e-04
-2.000000e+00	-1.750000e+00	8.494888e-02	1.936743e-04	1.936743e-04
-1.750000e+00	-1.500000e+00	1.227132e-01	2.185549e-04	2.185549e-04
-1.500000e+00	-1.250000e+00	1.666338e-01	2.456160e-04	2.456160e-04
-1.250000e+00	-1.000000e+00	2.106236e-01	2.657263e-04	2.657263e-04
-1.000000e+00	-7.500000e-01	2.525255e-01	2.814819e-04	2.814819e-04
-7.500000e-01	-5.000000e-01	2.863734e-01	2.920180e-04	2.920180e-04
-5.000000e-01	-2.500000e-01	3.117545e-01	3.000009e-04	3.000009e-04
-2.500000e-01	0.000000e+00	3.241031e-01	3.009772e-04	3.009772e-04
0.000000e+00	2.500000e-01	3.244960e-01	3.015995e-04	3.015995e-04
2.500000e-01	5.000000e-01	3.114372e-01	2.970951e-04	2.970951e-04
5.000000e-01	7.500000e-01	2.867349e-01	2.903602e-04	2.903602e-04
7.500000e-01	1.000000e+00	2.519906e-01	2.792311e-04	2.792311e-04
1.000000e+00	1.250000e+00	2.104809e-01	2.629081e-04	2.629081e-04
1.250000e+00	1.500000e+00	1.664542e-01	2.422432e-04	2.422432e-04
1.500000e+00	1.750000e+00	1.230130e-01	2.163641e-04	2.163641e-04
1.750000e+00	2.000000e+00	8.491208e-02	1.867339e-04	1.867339e-04
2.000000e+00	2.250000e+00	5.416872e-02	1.558053e-04	1.558053e-04
2.250000e+00	2.500000e+00	3.146250e-02	1.203078e-04	1.203078e-04
# END HISTO1D

# BEGIN HISTO1D emubB_homemade.yoda/ATLAS_sherpa/Eta1
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=emubB_homemade.yoda/ATLAS_sherpa/Eta1
ScaledBy=0.0012419526589890135
Title=emubB_homemade
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.250000e+00	3.162525e-02	4.105358e-04	4.105358e-04
-2.250000e+00	-2.000000e+00	5.550800e-02	6.160948e-04	6.160948e-04
-2.000000e+00	-1.750000e+00	8.491672e-02	7.148825e-04	7.148825e-04
-1.750000e+00	-1.500000e+00	1.241333e-01	9.298611e-04	9.298611e-04
-1.500000e+00	-1.250000e+00	1.685836e-01	1.134128e-03	1.134128e-03
-1.250000e+00	-1.000000e+00	2.125972e-01	1.267874e-03	1.267874e-03
-1.000000e+00	-7.500000e-01	2.528720e-01	1.291582e-03	1.291582e-03
-7.500000e-01	-5.000000e-01	2.905243e-01	1.613028e-03	1.613028e-03
-5.000000e-01	-2.500000e-01	3.144645e-01	1.585682e-03	1.585682e-03
-2.500000e-01	0.000000e+00	3.250107e-01	1.572052e-03	1.572052e-03
0.000000e+00	2.500000e-01	3.288059e-01	1.790863e-03	1.790863e-03
2.500000e-01	5.000000e-01	3.113435e-01	1.610829e-03	1.610829e-03
5.000000e-01	7.500000e-01	2.899369e-01	1.688418e-03	1.688418e-03
7.500000e-01	1.000000e+00	2.557664e-01	1.988561e-03	1.988561e-03
1.000000e+00	1.250000e+00	2.125963e-01	1.482857e-03	1.482857e-03
1.250000e+00	1.500000e+00	1.676211e-01	1.286327e-03	1.286327e-03
1.500000e+00	1.750000e+00	1.215276e-01	1.030543e-03	1.030543e-03
1.750000e+00	2.000000e+00	8.577536e-02	9.027867e-04	9.027867e-04
2.000000e+00	2.250000e+00	5.571124e-02	7.712358e-04	7.712358e-04
2.250000e+00	2.500000e+00	3.186487e-02	5.663062e-04	5.663062e-04
# END HISTO1D

