# BEGIN PLOT
RatioPlotReference=WWbBCutsSherpa.yoda/ATLAS_sherpa/Phiemu
RatioPlot=1
DrawOnly=WWbBCutsSherpa.yoda/ATLAS_sherpa/Phiemu emubB_homemade.yoda/ATLAS_sherpa/Phiemu
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D WWbBCutsSherpa.yoda/ATLAS_sherpa/Phiemu
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=WWbBCutsSherpa.yoda/ATLAS_sherpa/Phiemu
ScaledBy=2.2340276683880514e-08
Title=WWbBCutsSherpa
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.513274e-01	9.347501e-02	1.839081e-04	1.839081e-04
2.513274e-01	5.026548e-01	9.574865e-02	1.858661e-04	1.858661e-04
5.026548e-01	7.539822e-01	9.991581e-02	1.892092e-04	1.892092e-04
7.539822e-01	1.005310e+00	1.069605e-01	1.946663e-04	1.946663e-04
1.005310e+00	1.256637e+00	1.159801e-01	2.003965e-04	2.003965e-04
1.256637e+00	1.507964e+00	1.273536e-01	2.076639e-04	2.076639e-04
1.507964e+00	1.759292e+00	1.413792e-01	2.157420e-04	2.157420e-04
1.759292e+00	2.010619e+00	1.570857e-01	2.231468e-04	2.231468e-04
2.010619e+00	2.261947e+00	1.739415e-01	2.318100e-04	2.318100e-04
2.261947e+00	2.513274e+00	1.912798e-01	2.402561e-04	2.402561e-04
2.513274e+00	2.764602e+00	2.059083e-01	2.453833e-04	2.453833e-04
2.764602e+00	3.015929e+00	2.159398e-01	2.512637e-04	2.512637e-04
3.015929e+00	3.267256e+00	2.199472e-01	2.526543e-04	2.526543e-04
3.267256e+00	3.518584e+00	2.167817e-01	2.511139e-04	2.511139e-04
3.518584e+00	3.769911e+00	2.063212e-01	2.509732e-04	2.509732e-04
3.769911e+00	4.021239e+00	1.912581e-01	2.396664e-04	2.396664e-04
4.021239e+00	4.272566e+00	1.745286e-01	2.325024e-04	2.325024e-04
4.272566e+00	4.523893e+00	1.569815e-01	2.230357e-04	2.230357e-04
4.523893e+00	4.775221e+00	1.413156e-01	2.164791e-04	2.164791e-04
4.775221e+00	5.026548e+00	1.276723e-01	2.079982e-04	2.079982e-04
5.026548e+00	5.277876e+00	1.158759e-01	2.007720e-04	2.007720e-04
5.277876e+00	5.529203e+00	1.067962e-01	1.941631e-04	1.941631e-04
5.529203e+00	5.780530e+00	1.000271e-01	1.899937e-04	1.899937e-04
5.780530e+00	6.031858e+00	9.567609e-02	1.860407e-04	1.860407e-04
6.031858e+00	6.283185e+00	9.324466e-02	1.834848e-04	1.834848e-04
# END HISTO1D

# BEGIN HISTO1D emubB_homemade.yoda/ATLAS_sherpa/Phiemu
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=emubB_homemade.yoda/ATLAS_sherpa/Phiemu
ScaledBy=0.0012419526589890135
Title=emubB_homemade
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.513274e-01	9.567763e-02	1.105548e-03	1.105548e-03
2.513274e-01	5.026548e-01	9.636808e-02	9.255333e-04	9.255333e-04
5.026548e-01	7.539822e-01	1.006551e-01	1.028589e-03	1.028589e-03
7.539822e-01	1.005310e+00	1.077079e-01	1.002248e-03	1.002248e-03
1.005310e+00	1.256637e+00	1.159100e-01	9.940323e-04	9.940323e-04
1.256637e+00	1.507964e+00	1.281593e-01	1.074651e-03	1.074651e-03
1.507964e+00	1.759292e+00	1.413556e-01	1.114292e-03	1.114292e-03
1.759292e+00	2.010619e+00	1.591483e-01	1.229071e-03	1.229071e-03
2.010619e+00	2.261947e+00	1.753164e-01	1.157613e-03	1.157613e-03
2.261947e+00	2.513274e+00	1.923951e-01	1.207437e-03	1.207437e-03
2.513274e+00	2.764602e+00	2.098471e-01	1.312843e-03	1.312843e-03
2.764602e+00	3.015929e+00	2.218828e-01	1.338744e-03	1.338744e-03
3.015929e+00	3.267256e+00	2.201582e-01	1.203017e-03	1.203017e-03
3.267256e+00	3.518584e+00	2.200347e-01	1.369727e-03	1.369727e-03
3.518584e+00	3.769911e+00	2.071311e-01	1.213148e-03	1.213148e-03
3.769911e+00	4.021239e+00	1.897376e-01	1.116259e-03	1.116259e-03
4.021239e+00	4.272566e+00	1.754969e-01	1.188594e-03	1.188594e-03
4.272566e+00	4.523893e+00	1.574715e-01	1.170874e-03	1.170874e-03
4.523893e+00	4.775221e+00	1.431223e-01	1.118298e-03	1.118298e-03
4.775221e+00	5.026548e+00	1.284225e-01	1.075682e-03	1.075682e-03
5.026548e+00	5.277876e+00	1.159084e-01	9.669456e-04	9.669456e-04
5.277876e+00	5.529203e+00	1.067541e-01	9.754774e-04	9.754774e-04
5.529203e+00	5.780530e+00	1.008365e-01	9.378400e-04	9.378400e-04
5.780530e+00	6.031858e+00	9.702727e-02	9.301359e-04	9.301359e-04
6.031858e+00	6.283185e+00	9.506480e-02	1.661787e-03	1.661787e-03
# END HISTO1D

