# BEGIN PLOT
RatioPlotReference=WWbBCutsSherpa.yoda/ATLAS_sherpa/Pt1
RatioPlot=1
DrawOnly=WWbBCutsSherpa.yoda/ATLAS_sherpa/Pt1 emubB_homemade.yoda/ATLAS_sherpa/Pt1
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D WWbBCutsSherpa.yoda/ATLAS_sherpa/Pt1
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=WWbBCutsSherpa.yoda/ATLAS_sherpa/Pt1
ScaledBy=2.2340276683880514e-08
Title=WWbBCutsSherpa
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	4.000000e+01	9.978461e-04	2.918957e-06	2.918957e-06
4.000000e+01	5.000000e+01	3.908291e-03	5.723505e-06	5.723505e-06
5.000000e+01	6.000000e+01	7.472873e-03	7.831972e-06	7.831972e-06
6.000000e+01	7.000000e+01	1.046321e-02	9.257116e-06	9.257116e-06
7.000000e+01	8.000000e+01	1.136735e-02	9.703432e-06	9.703432e-06
8.000000e+01	9.000000e+01	1.068442e-02	9.372198e-06	9.372198e-06
9.000000e+01	1.000000e+02	9.368791e-03	8.758434e-06	8.758434e-06
1.000000e+02	1.100000e+02	7.847008e-03	7.998732e-06	7.998732e-06
1.100000e+02	1.200000e+02	6.354151e-03	7.119233e-06	7.119233e-06
1.200000e+02	1.300000e+02	5.007464e-03	6.296156e-06	6.296156e-06
1.300000e+02	1.400000e+02	3.865211e-03	5.480605e-06	5.480605e-06
1.400000e+02	1.500000e+02	2.977287e-03	4.756785e-06	4.756785e-06
1.500000e+02	1.600000e+02	2.297635e-03	4.172759e-06	4.172759e-06
1.600000e+02	1.700000e+02	1.789640e-03	3.671278e-06	3.671278e-06
1.700000e+02	1.800000e+02	1.408809e-03	3.254177e-06	3.254177e-06
1.800000e+02	1.900000e+02	1.108578e-03	2.909587e-06	2.909587e-06
1.900000e+02	2.000000e+02	8.806102e-04	2.544567e-06	2.544567e-06
2.000000e+02	2.100000e+02	7.112364e-04	2.298464e-06	2.298464e-06
2.100000e+02	2.200000e+02	5.759895e-04	2.065747e-06	2.065747e-06
2.200000e+02	2.300000e+02	4.654677e-04	1.854691e-06	1.854691e-06
2.300000e+02	2.400000e+02	3.841383e-04	1.697902e-06	1.697902e-06
2.400000e+02	2.500000e+02	3.182987e-04	1.562387e-06	1.562387e-06
2.500000e+02	2.600000e+02	2.649331e-04	1.416603e-06	1.416603e-06
2.600000e+02	2.700000e+02	2.205649e-04	1.348413e-06	1.348413e-06
2.700000e+02	2.800000e+02	1.857235e-04	1.194666e-06	1.194666e-06
2.800000e+02	2.900000e+02	1.588243e-04	1.114383e-06	1.114383e-06
2.900000e+02	3.000000e+02	1.369884e-04	1.041331e-06	1.041331e-06
3.000000e+02	3.100000e+02	1.180939e-04	1.016508e-06	1.016508e-06
3.100000e+02	3.200000e+02	1.007928e-04	9.110526e-07	9.110526e-07
3.200000e+02	3.300000e+02	8.752172e-05	8.397806e-07	8.397806e-07
3.300000e+02	3.400000e+02	7.723354e-05	8.225197e-07	8.225197e-07
3.400000e+02	3.500000e+02	6.818890e-05	8.038458e-07	8.038458e-07
3.500000e+02	3.600000e+02	5.859680e-05	7.305629e-07	7.305629e-07
3.600000e+02	3.700000e+02	5.198844e-05	6.562196e-07	6.562196e-07
3.700000e+02	3.800000e+02	4.781142e-05	6.556356e-07	6.556356e-07
3.800000e+02	3.900000e+02	4.256048e-05	6.233828e-07	6.233828e-07
3.900000e+02	4.000000e+02	3.861359e-05	5.960067e-07	5.960067e-07
4.000000e+02	4.100000e+02	3.320696e-05	5.466551e-07	5.466551e-07
4.100000e+02	4.200000e+02	3.077500e-05	5.267725e-07	5.267725e-07
4.200000e+02	4.300000e+02	2.806965e-05	5.518732e-07	5.518732e-07
4.300000e+02	4.400000e+02	2.394042e-05	4.643110e-07	4.643110e-07
4.400000e+02	4.500000e+02	2.232671e-05	4.374651e-07	4.374651e-07
4.500000e+02	4.600000e+02	2.038549e-05	4.303588e-07	4.303588e-07
4.600000e+02	4.700000e+02	1.782976e-05	3.872082e-07	3.872082e-07
4.700000e+02	4.800000e+02	1.679290e-05	4.140620e-07	4.140620e-07
4.800000e+02	4.900000e+02	1.496707e-05	3.490183e-07	3.490183e-07
4.900000e+02	5.000000e+02	1.385595e-05	3.749756e-07	3.749756e-07
# END HISTO1D

# BEGIN HISTO1D emubB_homemade.yoda/ATLAS_sherpa/Pt1
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=emubB_homemade.yoda/ATLAS_sherpa/Pt1
ScaledBy=0.0012419526589890135
Title=emubB_homemade
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	4.000000e+01	9.965063e-04	1.341659e-05	1.341659e-05
4.000000e+01	5.000000e+01	3.908488e-03	3.065331e-05	3.065331e-05
5.000000e+01	6.000000e+01	7.509139e-03	5.297734e-05	5.297734e-05
6.000000e+01	7.000000e+01	1.053071e-02	5.370755e-05	5.370755e-05
7.000000e+01	8.000000e+01	1.149127e-02	4.969779e-05	4.969779e-05
8.000000e+01	9.000000e+01	1.071702e-02	4.944710e-05	4.944710e-05
9.000000e+01	1.000000e+02	9.469488e-03	4.927106e-05	4.927106e-05
1.000000e+02	1.100000e+02	7.927266e-03	4.012403e-05	4.012403e-05
1.100000e+02	1.200000e+02	6.377078e-03	3.414071e-05	3.414071e-05
1.200000e+02	1.300000e+02	5.026822e-03	3.015947e-05	3.015947e-05
1.300000e+02	1.400000e+02	3.922716e-03	2.697917e-05	2.697917e-05
1.400000e+02	1.500000e+02	3.046258e-03	2.316051e-05	2.316051e-05
1.500000e+02	1.600000e+02	2.337021e-03	1.810917e-05	1.810917e-05
1.600000e+02	1.700000e+02	1.840222e-03	1.882450e-05	1.882450e-05
1.700000e+02	1.800000e+02	1.423135e-03	1.435925e-05	1.435925e-05
1.800000e+02	1.900000e+02	1.134343e-03	1.257743e-05	1.257743e-05
1.900000e+02	2.000000e+02	8.915088e-04	1.118179e-05	1.118179e-05
2.000000e+02	2.100000e+02	7.212007e-04	8.982555e-06	8.982555e-06
2.100000e+02	2.200000e+02	5.884745e-04	1.188022e-05	1.188022e-05
2.200000e+02	2.300000e+02	4.601949e-04	6.981311e-06	6.981311e-06
2.300000e+02	2.400000e+02	3.854663e-04	7.881985e-06	7.881985e-06
2.400000e+02	2.500000e+02	3.091248e-04	5.276392e-06	5.276392e-06
2.500000e+02	2.600000e+02	2.632069e-04	5.022074e-06	5.022074e-06
2.600000e+02	2.700000e+02	2.197675e-04	4.786230e-06	4.786230e-06
2.700000e+02	2.800000e+02	1.882675e-04	4.617532e-06	4.617532e-06
2.800000e+02	2.900000e+02	1.576319e-04	3.941046e-06	3.941046e-06
2.900000e+02	3.000000e+02	1.337039e-04	3.776930e-06	3.776930e-06
3.000000e+02	3.100000e+02	1.199905e-04	3.271769e-06	3.271769e-06
3.100000e+02	3.200000e+02	9.902788e-05	3.283347e-06	3.283347e-06
3.200000e+02	3.300000e+02	8.748120e-05	4.294115e-06	4.294115e-06
3.300000e+02	3.400000e+02	7.727712e-05	2.673065e-06	2.673065e-06
3.400000e+02	3.500000e+02	6.872509e-05	2.385139e-06	2.385139e-06
3.500000e+02	3.600000e+02	6.008316e-05	2.196272e-06	2.196272e-06
3.600000e+02	3.700000e+02	5.284559e-05	2.386359e-06	2.386359e-06
3.700000e+02	3.800000e+02	4.631238e-05	1.858229e-06	1.858229e-06
3.800000e+02	3.900000e+02	4.548051e-05	2.285014e-06	2.285014e-06
3.900000e+02	4.000000e+02	3.964239e-05	1.797889e-06	1.797889e-06
4.000000e+02	4.100000e+02	3.186969e-05	1.512111e-06	1.512111e-06
4.100000e+02	4.200000e+02	2.831052e-05	1.357870e-06	1.357870e-06
4.200000e+02	4.300000e+02	2.634565e-05	1.150433e-06	1.150433e-06
4.300000e+02	4.400000e+02	2.626320e-05	1.295566e-06	1.295566e-06
4.400000e+02	4.500000e+02	2.438498e-05	1.211760e-06	1.211760e-06
4.500000e+02	4.600000e+02	2.088706e-05	1.174369e-06	1.174369e-06
4.600000e+02	4.700000e+02	1.939970e-05	1.303304e-06	1.303304e-06
4.700000e+02	4.800000e+02	1.795774e-05	1.000575e-06	1.000575e-06
4.800000e+02	4.900000e+02	1.530350e-05	9.928609e-07	9.928609e-07
4.900000e+02	5.000000e+02	1.453645e-05	8.561958e-07	8.561958e-07
# END HISTO1D

